"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ring Power H E Service","Internal Services","Materials And Supplies","402.75","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","5.48","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ditch Witch","Internal Services","Parts-Motor Equipment","36.25","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ditch Witch","Internal Services","Parts-Motor Equipment","250.39","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ditch Witch","Internal Services","Parts-Motor Equipment","48.14","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ditch Witch","Internal Services","Parts-Motor Equipment","-200.39","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & L Auto Parts","Internal Services","Parts-Motor Equipment","95.85","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Store","Internal Services","Hardware - Fleet","31.45","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Engine And Accessory Inc","Internal Services","Parts-Motor Equipment","71.46","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","23.4","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","7.14","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Strate Welding Supply Co","Internal Services","Materials And Supplies","13.45","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Tractor Llc","Internal Services","Parts-Motor Equipment","373.09","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Myers Tire Supply","Internal Services","Materials And Supplies","112.62","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Streits Lock & Key","Internal Services","Parts-Motor Equipment","80","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Polaris Of Gainesville","Internal Services","Parts-Motor Equipment","10.99","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Central Hydraulics Of Oc","Internal Services","Parts-Motor Equipment","43.11","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Paypal  Joe7mag","Internal Services","Parts-Motor Equipment","88","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","L And S Trailers And Sup","Internal Services","Parts-Motor Equipment","1043.5","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","13.43","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Lowes #02365","Internal Services","Parts-Motor Equipment","9.73","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Central Hydraulics Of Oc","Internal Services","Materials And Supplies","78","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & L Auto Parts","Internal Services","Parts-Motor Equipment","54.45","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Equipment","Internal Services","Parts-Motor Equipment","58.14","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Home Depot #1854","Internal Services","Hardware - Fleet","101","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Florida Fasteners & Tool","Internal Services","Parts-Motor Equipment","2.6","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","18.12","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Hollander's Hydraulics","Internal Services","Parts-Motor Equipment","215.99","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Lowes #02984","Internal Services","Parts-Motor Equipment","9.73","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","The Home Depot #1854","Internal Services","Parts-Motor Equipment","4.2","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Gatorland Kubota","Internal Services","Parts-Motor Equipment","16.99","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","42.42","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Continental Engine","Internal Services","Parts-Motor Equipment","217.67","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Allans Discount Muffler","Internal Services","Parts-Motor Equipment","50","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","65.49","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & L Auto Parts","Internal Services","Parts-Motor Equipment","-19.49","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","13.01","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Harbor Freight Tools 325","Internal Services","Parts-Motor Equipment","19.99","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Texas Trailers","Internal Services","Parts-Motor Equipment","3.6","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & L Auto Parts","Internal Services","Parts-Motor Equipment","84.92","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","197.36","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","93.86","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Clean Air Concepts","Internal Services","Parts-Motor Equipment","385.83","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Flash Equipment, Inc","Internal Services","Parts-Motor Equipment","77.5","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Polaris Of Gainesville","Internal Services","Parts-Motor Equipment","79.99","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Boone Welding","Internal Services","Parts-Motor Equipment","17.6","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Kleen Rite Corp","Internal Services","Parts-Motor Equipment","298.27","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Parts-Motor Equipment","688.2","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","38.62","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Myers Tire Supply","Internal Services","Hardware - Fleet","162.7","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","170.39","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Rom Corp","Internal Services","Parts-Motor Equipment","674.51","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","B & L Auto Parts","Internal Services","Parts-Motor Equipment","97.17","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Flash Equipment, Inc","Internal Services","Parts-Motor Equipment","95.65","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Betterbuilt","Internal Services","Parts-Motor Equipment","47.65","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","In  Convoy Technologies,","Internal Services","Parts-Motor Equipment","169.95","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Zeigler Motorsport","Internal Services","Parts-Motor Equipment","930.4","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Interstate Battery","Internal Services","Parts-Motor Equipment","230.4","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","-140","2015-11-29T00:00:00.000","November","2","2016","Visa"
"Fleet Management Services Fund","Fleet Management","Fleet Operations","Ocala Freightliner, Inc","Internal Services","Parts-Motor Equipment","19.31","2015-11-29T00:00:00.000","November","2","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Risk Management","Target Copy Of Gainesvill","Other General Government","Printing And Binding","201.62","2015-11-29T00:00:00.000","November","2","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Workers Compensation & Safety","Wal-Mart #0538","Other General Government","Materials And Supplies","44.34","2015-11-29T00:00:00.000","November","2","2016","Visa"
"General Insurance Fund","Office Of Risk Management","Health & Wellness Services","Fitness Depot Services","Other General Government","Materials And Supplies","319","2015-11-29T00:00:00.000","November","2","2016","Visa"
