"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"JBRK, LLC","1900-01-01T00:00:00.000","2013-12-19T00:00:00.000","1899-12-31T18:00:00","Friendship Baptist Church","1391 Sykesville Road (Route 32)","Sykesville","21784",,,"C12","14","W SIDE RT. 32 S OF COVENTRY MEADOWS DR","[TaxMap 9 Parcel 18]","RC-DEO","(39.3292, -76.9526)"
"St. Barnabus Episcopal Church","2010-12-08T00:00:00.000","2011-01-05T00:00:00.000","6:30 p.m.","St. Barnabus Episcopal Church","13135 Forsythe Road","Sykesville","21784",,,"C10","11","FORSYTHE RD AT RIVER RD","[TaxMap 4 Parcel 52]","RC-DEO","(39.3611, -76.9697)"
"Village Crest","2008-12-16T00:00:00.000","2009-01-14T00:00:00.000","1899-12-31T18:00:00","Taylor Village Senior Center (Great Hall)","8165 Cypress Cedar","Ellicott City","21043","144","8.35","R20","9","W SIDE OF VILLAGE CREST DR","[TaxMap 25 Parcel 4]","POR","(39.2538, -76.7908)"
"Paragon Columbia","2011-07-21T00:00:00.000","2011-08-15T00:00:00.000","6:30 p.m.","The Gateway Building","6751 Columbia Gateway Drive, Suite 303","Columbia","21046","320","18.6816","R06","12","SW QUADRANT LARK BROWN RD & OLD WATERLOO RD","[TaxMap 37 Parcel 382]","NT","(39.1876, -76.792)"
"AUTUMN RIVER, PH 5","2014-05-07T00:00:00.000","2014-06-09T00:00:00.000","1899-12-31T18:30:00","ELLICOTT CITY SENIOR CENTER","9401 FREDERICK ROAD","ELLICOTT CITY","21042","13","1.5","R68","14","EAST SIDE COLLEGE AVE","[TaxMap 25 Parcel 279]","R-ED","(39.2534, -76.7817)"
"Day Spa","2015-06-16T00:00:00.000","2015-07-08T00:00:00.000","6:00 P.M.","Fifth District Fire Department","5000 Signal Bell Lane","Clarksville","21029",,,"C02","16","S SIDE OF CLARKSVILLE PIKE 1600' W OF CENTENNIAL LN","[TaxMap 29 Parcel 89]","R-20","(39.2351, -76.874)"
"GAITHER'S CHANCE","2014-03-26T00:00:00.000","2014-04-17T00:00:00.000","1899-12-31T18:30:00","DAYTON OAKS ELEMENTARY SCHOOL","4691 TEN OAKS ROAD","DAYTON","21036","19","55","R57","14","N SIDE TEN OAKS RD SE OF MORNING STAR DR","[TaxMap 28 Parcel 45]","RR-DEO","(39.236, -76.9781)"
"Holly House Farm, Lot 3","2016-07-25T00:00:00.000","2016-08-24T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","1","1","R09","17","W SIDE FOLLY QUARTER RD S OF FREDERICK RD","[TaxMap 23 Parcel 118]","RC-DEO","(39.2802, -76.9024)"
"Maryland International School","2015-03-06T00:00:00.000","2015-03-30T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Company","6275 Old Washington Road","Elkridge","21075",,"8","C15","15","E OF OLD WASHINGTON BLVD 800' S OF ST AUGUSTINE AV","[TaxMap 38 Parcel 820]","R-12","(39.2077, -76.7187)"
"Downtown Columbia - Crescent, Parcel A","2015-02-24T00:00:00.000","2015-03-26T00:00:00.000","1899-12-31T18:30:00","Oakland Manor Ballroom","5430 Vantage Point Road","Columbia","21044","0","4.1","T01","15","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 307],[TaxMap 36 Parcel 338],[TaxMap 36 Parcel 399],[TaxMap 36 Parcel 452],[TaxMap 36 Parcel 519],[TaxMap 36 Parcel 527]","NT","(39.2058, -76.8619)"
"ERICKSON AT LIMESTONE VALLEY","2017-10-16T00:00:00.000","2017-11-08T00:00:00.000","1899-12-31T18:30:00","THE GATHERING PLACE","6120 Day Long Lane","Clarksville","21029","1440",,"M06","18",,"[TaxMap 28 Parcel 100],[TaxMap 34 Parcel 185]","RC,RC-DEO","(39.2215, -76.9462)"
"Crossroads Church of the Nazarene","2014-06-16T00:00:00.000","2014-07-10T00:00:00.000","7:00 P.M.","Crossroads Church of the Nararene","2750 Rogers Avenue","Ellicott City","21043",,,"C01","15","SW SIDE OF ROGERS AVE OPPOSITE OLD FREDERICK RD","[TaxMap 17 Parcel 86],[TaxMap 17 Parcel 87]","R-20","(39.2981, -76.8137)"
"Christ Memorial Presbyterian Church","2016-05-16T00:00:00.000","2016-06-22T00:00:00.000","6:00 P.M.","Christ Memorial Presbyterian Church","6410 Amherst Avenue","Columbia","21046",,,"C16","16","AMHERST AVE S OF ALLVIEW DR","[TaxMap 36 Parcel 237]","R-20","(39.1932, -76.865)"
"Fawcett Property","2007-01-17T00:00:00.000","2007-02-08T00:00:00.000","1899-12-31T18:00:00","Ilchester Elementary School","4981 Ilchester Road","Ellicott City","21043","2","2.42",,,"E SIDE BONNIE BRANCH RD 500' S OF TWIN STREAM DR","[TaxMap 31 Parcel 321]","R-20","(39.2351, -76.781)"
"Trotter's Knoll","2008-02-29T00:00:00.000","2008-03-27T00:00:00.000","1899-12-31T18:00:00","Waterloo Elementary School (Cafeteria)","5940 Waterloo Road","Columbia","21045","116","20.5","R59","8","WEST SIDE OF OLD MONTGOMERY ROAD OFF OF RT 100","[TaxMap 37 Parcel 748]","R-20-MXD-3","(39.2139, -76.792)"
"Friendship Pines","2016-03-29T00:00:00.000","2016-04-25T00:00:00.000","1899-12-31T18:00:00","Circle D Farm","15535 Carr's Mill Road","Woodbine","21797","2","7.74","R49","16","FREDERICK RD AT MCKENDREE RT","[TaxMap 15 Parcel 51]","RC-DEO","(39.3141, -76.9979)"
"Faz Property","2014-02-20T00:00:00.000","2014-03-24T00:00:00.000","1899-12-31T18:00:00","East Columiba Library","6600  Cradlerock Way","Columiba","21045","3","1","R46","14","N SIDE LARK BROWN RD W OF WATERLOO RD","[TaxMap 37 Parcel 508]","R-12","(39.1889, -76.7988)"
"Blevins Property","2012-06-05T00:00:00.000","2012-06-28T00:00:00.000","1899-12-31T18:00:00","Claret Hall at River Hill Village Center","6020 Daybreak Circle","Clarksville","21029","8","26.0188","R37","12","W SIDE HALL SHOP RD S OF REDBERRY RD","[TaxMap 35 Parcel 310]","RR-DEO","(39.1868, -76.9324)"
"BARTLETT PROPERTY","2014-10-14T00:00:00.000","2014-11-19T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE VOLUNTEER FIRE DEPT","6275 OLD WASHINGTON ROAD","ELKRIDGE","21075","2","0.8233","R19","15","S SIDE MONTGOMERY RD W OF RUXTON RD","[TaxMap 37 Parcel 397]","R-20","(39.2107, -76.7561)"
"Balakirsky Property Lots 1 & 2","2014-01-16T00:00:00.000","2014-02-12T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Department","5000 Signal Bell Lane","Clarksville","20129","2","6.2009","R40","14","CHAPEL ESTATES DR EAST OF LINDEN CHAPEL","[TaxMap 29 Parcel 42]","RC-DEO","(39.2324, -76.9237)"
"Pfefferkorn Property","2016-11-04T00:00:00.000","2016-12-05T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 State Route 97","Cooksville","21723","7","16.74","R23","17","PFEFFERKORN RD AT ROVER MILL RD","[TaxMap 15 Parcel 169]","RR-DEO","(39.2953, -76.9924)"
"Donna M. Sales-School Bus Parking (COND USE)","2008-02-08T00:00:00.000","2008-03-10T00:00:00.000","1899-12-31T18:00:00","Jennings Chapel UMC","2601 Jennings Chapel Road","Woodbine","21797",,,"C20","8","NORTH SIDE OF ANNAPOLIS ROCK ROAD, ABOUT 1000' EAST OF WOODBINE RD","[TaxMap 19 Parcel 15]","RC-DEO","(39.2805, -77.1284)"
"BP Gas Station","2015-07-24T00:00:00.000","2015-08-24T00:00:00.000","7:00 P.M.","Miller Branch Library","9421 Frederick Road","Ellicott City","21042",,,"C03","16","N SIDE US RT 40 300' SW EXECUTIVE CENTER RD","[TaxMap 24 Parcel 849]","B-2","(39.2809, -76.8147)"
"Columbia Association Maintenance Facility Upgrades","2013-02-27T00:00:00.000","2013-03-25T00:00:00.000","7.00 PM","Existing clubhouse at Hobbit's Glen Golf Club","11130 Willow Bottom Dr. ","Columbia","21044","0","204","N09","13","W SIDE HARPERS FARM RD S OF CLARKSVILLE PIKE","[TaxMap  Parcel ],[TaxMap 29 Parcel 135]","NT","(39.2255, -76.9005)"
"Bonnie Ridge Section II","2007-04-20T00:00:00.000","2007-05-14T00:00:00.000","1899-12-31T19:00:00","Elkridge Library","6540 WASHINGTON BLVD","Elkridge","21075","2","0.426",,,"TERMINUS OF CLAIRE DR","[TaxMap 38 Parcel 130],[TaxMap 38 Parcel 881]","R-12","(39.2092, -76.7213)"
"Harry N. Shipe Property, Lots 1 thru 3","2012-10-16T00:00:00.000","2012-11-07T00:00:00.000","1899-12-31T18:00:00","Lisbon Volunteer Fire Company","1330  Woodbine Road","Lisbon","21795","3","10.669","R19","13","E SIDE MULLINIX MILL RD N OF COUNTY LINE","[TaxMap 12 Parcel 75]","RC-DEO","(39.2982, -77.1418)"
"Brad&TabassumGarrison(CONDUSE)BeautyParlor/Art Gal","2008-07-21T00:00:00.000","2008-08-14T00:00:00.000","1899-12-31T19:00:00","Mount Zion United Methodist Church","12430 Scaggsville Road","Highland","20777",,,"C04","9","SOUTHWEST OF 216","[TaxMap  Parcel ],[TaxMap 0040 Parcel 0126],[TaxMap 40 Parcel 126]","RR-DEO","(39.1655, -76.9417)"
"Great Multitude Presbyterian Church","2009-11-23T00:00:00.000","2009-12-15T00:00:00.000","1899-12-31T06:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C10","10","NW SIDE OF ST CHARLES PLACE, AND SOUTH OF ROUTE 40","[TaxMap 16 Parcel 416]","R-ED","(39.2879, -76.8884)"
"Downtown Columbia Multi-Use Pathway","2013-07-31T00:00:00.000","2013-08-27T00:00:00.000","1899-12-31T18:30:00","Florence Bain Senior Center","5470 Ruth Keeton Way","Columbia","21044","0","1.3","T01","14","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 527]","NT","(39.2116, -76.8675)"
"Robert & Rosalie Welsh (ZONING BOARD) R-20 to R-ED","2007-12-17T00:00:00.000","2008-01-10T00:00:00.000","1899-12-31T18:00:00","Our Lady of Perpetual Help Parish (Harrison Hall)","4795 Ilchester Road","Ellicott City","21043",,,"M03","8","W SIDE ILCHESTER RD N OF BEECHWOOD RD","[TaxMap 31 Parcel 122],[TaxMap 31 Parcel 856]","R-20","(39.242, -76.7699)"
"Marshalee Woods","2010-04-27T00:00:00.000","2010-06-03T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6530 Washington Blvd.","Elkridge","21075","5","1.5","R30","10","TERMINUS OF GOLDEN FERN COURT","[TaxMap 37 Parcel 696]","R-20","(39.2085, -76.7623)"
"McDaniel Property","2012-01-31T00:00:00.000","2012-03-05T00:00:00.000","1899-12-31T06:00:00","St. Mark's Episcopal Church, Parish Hall","12700 Hall Shop Road","Highland","20777","8","39.16","R24","12","HIGHLAND RD OPPOSITE GREEN HOLLOW WAY","[TaxMap 34 Parcel 117],[TaxMap 34 Parcel 78],[TaxMap 40 Parcel 117],[TaxMap 40 Parcel 78]","RR-DEO","(39.1862, -76.9635)"
"T-Mobile Northeast LLC","2009-05-18T00:00:00.000","2009-07-08T00:00:00.000","1899-12-31T19:00:00","Mt Airy Library","705  Ridge Road","Mt Airy","21771",,,"C28","9","WEST SIDE OF LONG CORNER ROAD, ABOUT 700' SOUTH OF PENN SHOP ROAD","[TaxMap 6 Parcel 24]","RC-DEO","(39.3353, -77.1573)"
"John L. Rhine III","2009-03-04T00:00:00.000","2009-03-30T00:00:00.000","1899-12-31T18:30:00","St. James Church","12470 Old Frederick Rd.","Marriottsville","21104",,,"C20","9","SOUTH SIDE OF OLD FREDERICK ROAD ABOUT 1000' WEST OF MD 32.","[TaxMap 9 Parcel 16]","RC","(39.3234, -76.9584)"
"Forever Green","2016-09-19T00:00:00.000","2016-10-18T00:00:00.000","1899-12-31T18:00:00","Elkridge Fire Hall","6275 Old Washington Road","Elkridge","21075","8","2","R16","17","TERMINUS OF FOREVER GREEN CT","[TaxMap 37 Parcel 532]","R-SC","(39.1934, -76.7902)"
"Riverwatch","2008-03-27T00:00:00.000","2008-04-21T00:00:00.000","1899-12-31T18:00:00","Melville Chapel United Methodist Church","5660 Furnace Avenue","Elkridge","21075","95","5.04","R63","8","NE & SW OF FURNACE AVE N OF RAILROAD AVE","[TaxMap 38 Parcel 420],[TaxMap 38 Parcel 421],[TaxMap 38 Parcel 422],[TaxMap 38 Parcel 620],[TaxMap 38 Parcel 623],[TaxMap 38 Parcel 624],[TaxMap 38 Parcel 625]","CAC-CLI","(39.2145, -76.7061)"
"Terry's Place","2014-08-13T00:00:00.000","2014-09-04T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library (Ellicott Room)","9421 Frederick Road","Ellicott City","21042","6","3.03","R12","15","NORTH SIDE OF FREDERICK RD WEST OF CORNNELL LN","[TaxMap 16 Parcel 17]","R-20","(39.2855, -76.8856)"
"Lubavitch of Ho Co, Inc-COND USE(Age Res. Housing)","2007-06-14T00:00:00.000","2007-07-02T00:00:00.000","1899-12-31T19:00:00","Lubavitch of Howard County, Inc.","770 Howes Lane","Columbia","21044",,,,,"EAST OF RODONA DRIVE AT ITS INTERSECTION WITH HOWES LANE","[TaxMap 36 Parcel 88]","R-20","(39.2011, -76.8628)"
"Jones Road Property/Ho. Co. Housing Commission","2006-12-12T00:00:00.000","2007-01-04T00:00:00.000","1899-12-31T19:00:00","Morningside Park","9950 Guilford Road","Jessup","20794","20","9.83",,,"E SIDE JONES RD 150' S OF MARY LN","[TaxMap 42 Parcel 136],[TaxMap 42 Parcel 138],[TaxMap 42 Parcel 139]","R-12","(39.1515, -76.8104)"
"River Hill Overlook","2013-06-19T00:00:00.000","2013-07-12T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Station","5000 Signal Bell Lane","Clarksville","21029","8","5.008","R02","14","TROTTER RD EAST OF GREAT STAR DR","[TaxMap 35 Parcel 66]","R-ED","(39.1983, -76.9207)"
"Cattail Overlook, Buice Property","2013-08-28T00:00:00.000","2013-09-19T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350  Route 97","Glenwood","21723","6","54.73","R20","14","E SIDE OF OLD ROXBURY RD 1200' NE OF RT 97","[TaxMap 21 Parcel 84],[TaxMap 21 Parcel P/O 24]","RC-DEO","(39.2532, -77.0442)"
"WWDC - Waverly Wood Development Corporation","2010-06-30T00:00:00.000","2010-07-28T00:00:00.000","1899-12-31T06:00:00","Waverly Woods Club House","2180 Warwick Way","Woodstock","21163",,,"C19","10","W SIDE OF MARRIOTTSVILLE RD OPPOSITE WARWICK WAY","[TaxMap 16 Parcel 120],[TaxMap 16 Parcel 221],[TaxMap 16 Parcel 249]","PEC,PSC","(39.3123, -76.9031)"
"Brandon's Woods","2007-10-16T00:00:00.000","2007-12-04T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Boulevard","Elkridge","21075","4","2.4","R28","8","TERMINUS OF WHARFF LN","[TaxMap 31 Parcel 315]","R-20","(39.2394, -76.7772)"
"Jordon Overlook","2009-01-19T00:00:00.000","2009-02-17T00:00:00.000","1899-12-31T18:00:00","Taylor Village Senior Center (Great Hall)","8165 Cyprus Cedar","Ellicott City","21043","10","5.995","R25","9","NE SIDE OF CANVASBACK CT, ABOUT 100' WEST OF MELLENBROOK ROAD","[TaxMap 30 Parcel 227],[TaxMap 30 Parcel 309]","R-20","(39.234, -76.8341)"
"LDG, Inc. (ZONING BOARD) RC-DEO DISTRICT TO BR)","2008-11-18T00:00:00.000","2008-12-17T00:00:00.000","1899-12-31T18:00:00","Mount View Middle School","12101 Woodford Drive","Marriottsville","21104",,,"M01","9","EAST SIDE OF LIVESTOCK ROAD","[TaxMap 15 Parcel 103],[TaxMap 15 Parcel 12],[TaxMap 15 Parcel 43]","RC-DEO","(39.3125, -76.953)"
"Sobrina Farms Subdivision, Lots 8 thu 12","2012-11-13T00:00:00.000","2012-12-10T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350  Route 97","Cooksville","21723","5","17.66","R26","13","E SIDE SOBRINA FARMS CT","[TaxMap 2 Parcel 39],[TaxMap 3 Parcel 39]","RC-DEO","(39.353, -77.0631)"
"Chapelgate Presbyterian Church","2014-02-28T00:00:00.000","2014-04-01T00:00:00.000","1899-12-31T19:00:00","On-site, Chapelgate Presbyterian Church, Room 108","2600 Marriottsville Road","Marriottsville","21104",,,"M02","14","NORTHWEST CORNER OF THE INTERSECTION OF US 40 WITH MARRIOTTSVILLE ROAD","[TaxMap 16 Parcel 110]","R-20","(39.2994, -76.9041)"
"Fulton Manor Valley","2011-05-23T00:00:00.000","2011-06-16T00:00:00.000","1899-12-31T06:00:00","Emmanual United Methodist Church - Room 3 ","10755 Scaggsville Road","Laurel","20723","12","25.963","R23","11","ROUTE 216 AT INTERSECTION OF PINDELL SCHOOL RD","[TaxMap 41 Parcel 456],[TaxMap 41 Parcel 78]","RR-DEO","(39.1542, -76.9306)"
"Acra Property","2013-04-22T00:00:00.000","2013-05-28T00:00:00.000","6:00pm","Miller Library","9421  Frederick Road","Ellicott City","21042","3","1.67","R50","13","HORSESHOE RD AT SUNSET DR","[TaxMap  Parcel ],[TaxMap 0031 Parcel 0181],[TaxMap 2 Parcel 181]","R-20","(39.2275, -76.8038)"
"Walls Property - Minor Sub. For Parcel 98","2007-08-23T00:00:00.000","2007-09-22T00:00:00.000","1899-12-31T09:30:00","Savage Branch Library","9525 Durness Lane","Laurel","20723","4","1","R16","8","NORTH OF MISSION ROAD APPROXIMATELY 900' NE OF GUILFORD RD","[TaxMap 42 Parcel 98]","R-MH","(39.1577, -76.8182)"
"Jesse Tubb","2011-01-11T00:00:00.000","2011-02-02T00:00:00.000","7:30 p.m.","Savage Public Library","9525 Durness Lane","Laurel","20723",,,"M05","11","EAST OF ROUTE 1, NORTHWEST OF BRENTWOOD MANOR","[TaxMap 43 Parcel 506]","R-MH","(39.1562, -76.7961)"
"Montgomery Road Townhomes","2012-02-27T00:00:00.000","2012-03-20T00:00:00.000","1899-12-31T06:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21043","44","5.63","R29","12","NE SIDE MONTGOMERY RD E OF RT 29","[TaxMap 24 Parcel 324],[TaxMap 24 Parcel 325],[TaxMap 24 Parcel 326],[TaxMap 24 Parcel 327]","R-SA-8","(39.2528, -76.8152)"
"WINCOPIA","2010-03-05T00:00:00.000","2010-04-05T00:00:00.000","1899-12-31T19:00:00","SAVAGE PUBLIC LIBRARY","9525 DURNESS LANE","LAUREL","20723","220","127.6","R24","10","E SIDE OF GORMAN RD","[TaxMap 42 Parcel 472],[TaxMap 47 Parcel 472]","R-ED","(39.1473, -76.8498)"
"Newell Property","2012-12-06T00:00:00.000","2013-01-02T00:00:00.000","6:00pm","Savage Library","9525  Durness Lane","Laurel","20723","4","1.16","R28","13","OLD SCAGGSVILLE RD N OF ALL SAINTS DR","[TaxMap 50 Parcel 96]","R-SC","(39.1144, -76.8585)"
"Jones Road Project","2007-02-21T00:00:00.000","2007-03-19T00:00:00.000","1899-12-31T18:00:00","(On Site)","7871 Jones Road","Jessup","20794","2","0.63",,,"NE SIDE JONES RD N SIDE ROSE LN","[TaxMap 42 Parcel 246]","R-12","(39.1543, -76.8145)"
"Clark Property","2009-02-06T00:00:00.000","2009-03-23T00:00:00.000","1899-12-31T18:00:00","Rehobeth Ministries Church","15950  North Ave.","Lisbon","21765","4","14.052","R27","9","N SIDE FLORENCE RD 2400' NW OF WOODBINE RD","[TaxMap 13 Parcel 117],[TaxMap 7 Parcel 117]","RC-DEO","(39.3154, -77.1147)"
"Robbins Property","2008-01-09T00:00:00.000","2008-02-05T00:00:00.000","1899-12-31T18:00:00","Turf Valley Resort (Temmara Room)","2700 Turf Valley Road","Ellicott City","21042","6","3.34","R46","8","CORNNELL LANE BETWEEN US RTE 40 AND FREDERICK ROAD","[TaxMap 16 Parcel 235]","R-20","(39.2842, -76.8835)"
"HCLS Elkridge Branch and 50+ Center","2016-01-12T00:00:00.000","2016-02-03T00:00:00.000","1899-12-31T19:00:00","Elkridge Branch Library","6540 Washington Blvd.","Elkridge","21075","0","5.92","N08","16","WASHINGTON BLVD AT ROWANBERRY DR","[TaxMap 38 Parcel 478],[TaxMap 38 Parcel 96],[TaxMap 38 Parcel 97]","B-1,R-12","(39.2012, -76.7367)"
"Chase Land School Site","2017-03-29T00:00:00.000","2017-04-25T00:00:00.000","1899-12-31T18:00:00","Ridgely's Run Community Center","8400 Mission Road","Jessup","20794","0","100","N12","17","MISSION RD AT WASHINGTON BLVD","[TaxMap 42 Parcel 102],[TaxMap 42 Parcel 349],[TaxMap 43 Parcel 235],[TaxMap 47 Parcel 384],[TaxMap 48 Parcel 1],[TaxMap 48 Parcel 548]","B-2,R-12,R-SA-8,R-SA-8-MXD-3,R-SC-MXD-3","(39.1527, -76.8086)"
"Olenka School of Music","2017-08-07T00:00:00.000","2017-09-06T00:00:00.000","6:00 p.m.","Ellicott City 50+ Fitness Center","9411 Frederick Road","Ellicott City","21042",,,"C07","18","BALTIMORE NATIONAL PIKE","[TaxMap 24 Parcel 544]","R-20","(39.2791, -76.8651)"
"Cottages II","2015-12-08T00:00:00.000","2016-01-06T00:00:00.000","1899-12-31T18:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723","33","16","R38","16","JONES RD E OF ROSE LN","[TaxMap 42 Parcel 136],[TaxMap 42 Parcel 138],[TaxMap 42 Parcel 139],[TaxMap 42 Parcel 140]","R-12","(39.1528, -76.8124)"
"Dorsey's Ridge","2015-07-17T00:00:00.000","2015-08-17T00:00:00.000","6:00 p.m.","St. Paul Catholic Church","3755 St. Paul Street","Ellicott Ctiy","21043",,,"M02","16","TERMINUS OF COOKS LN","[TaxMap 24 Parcel 260]","CEF","(39.2631, -76.8166)"
"Ridge Road Property,  Lots 1 & 2","2007-10-09T00:00:00.000","2007-11-01T00:00:00.000","1899-12-31T18:00:00","Howard Chapel Ridgeville United Methodist Church","1970 Long Corner Road","Mt. Airy","21771","2","17.34","R24","8","E SIDE RIDGE RD 600' N OF COUNTY SOUTHERN BORDER","[TaxMap 6 Parcel 158]","RC-DEO","(39.3389, -77.1822)"
"St. Mary Church ","2017-01-11T00:00:00.000","2017-02-15T00:00:00.000","6:00 p.m.","Former Woodmont Academy Main Building","14196 Frederick Road/ MD 144","Cooksville","21723",,,"C14","17","N SIDE OF FREDERICK RD 950' W OF MCKENDREE RD","[TaxMap 14 Parcel 115],[TaxMap 8 Parcel 115]","RC-DEO","(39.3191, -77.0037)"
"Old Lisbon Estates - Linden Grove","2017-01-23T00:00:00.000","2017-02-23T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723","44","176.68","R31","17","FREDERICK RD AT DAISY RD","[TaxMap 7 Parcel 5],[TaxMap 8 Parcel 5]","RC-DEO","(39.3302, -77.0644)"
"Village Crest Age-Restricted","2015-10-02T00:00:00.000","2015-10-28T00:00:00.000","1899-12-31T19:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","12","38.49","R27","16","SW OF COLLEGE AVE 2400' NW OF BONNIE BRANCH RD","[TaxMap 31 Parcel 4]",,"(39.2526, -76.7914)"
"Woodbine Brantly, LLC","2014-09-08T00:00:00.000","2014-10-09T00:00:00.000","6:00 P.M.","Lisbon Volunteer Fire Company","1330 Woodbine Road","Lisbon","21797",,,"C04","15","N SIDE OLD FREDERICK RD E OF WOODBINE RD","[TaxMap 7 Parcel 478]","B-2","(39.3478, -77.0661)"
"Forest Venture II LLC","2009-06-25T00:00:00.000","2009-07-21T00:00:00.000","1899-12-31T18:00:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"M08","9","SOUTH SIDE OF BALTIMORE NATIONAL PIKE","[TaxMap 24 Parcel 1172]","R-20","(39.2774, -76.8578)"
"Melnor","2013-01-23T00:00:00.000","2013-02-20T00:00:00.000","1899-12-31T18:00:00","St. Peters Episcopal Church","3695 Rogers Ave.","Ellicott City","21043","6","3.5","R41","13","CHESTNUT HILL DR OPPOSITE CHESTNUT CREST DR","[TaxMap 18 Parcel 351]","R-20","(39.2886, -76.7947)"
"Collins Property","2007-07-27T00:00:00.000","2007-08-30T00:00:00.000","1899-12-31T19:00:00","Elkridge Branch Library","6540 Washington Blvd.","Elkridge","21075","2","1.5","R12","8","W SIDE OF BRANDONS WAY","[TaxMap 37 Parcel 334]","R-20","(39.2131, -76.7752)"
"Nixon Farm Solar","2012-07-02T00:00:00.000","2012-07-23T00:00:00.000","1899-12-31T18:00:00","West Friendship Elementary School","12500  Frederick Road","West Friendship","21794","0","10","N02","13","NIXON'S FARM SOLAR","[TaxMap  Parcel ],[TaxMap 15 Parcel 90]","RC-DEO","(39.2941, -76.959)"
