"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61345","61345 - Cesar E Chavez Branch","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB16","NB16 - MAIN LIBRARY SERVICES","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","5.98"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS37","PS37 - MEASURE Z","13 - Travel & Education ","Travel & Education","Non-Personnel Expenditures","Expense","55119 - Miscellaneous Travel Expenditures (Tips Parking)","AC_55119","6"
"2015-2016","Existing","DP460 - Information Technology Department","DV461 - Administration Division","DP10 - Information Technology","Information Technology","DV1010","Office of the Chief Information Officer","OR_46121","46121 - Reprographic Services","FD_4300","Fund 4300","4300","Reproduction","4300 - Reproduction","Fund 4300 - Reproduction","PJ_1000011","1000011 - DP460 Administrative Project","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58742 - Interest Penalty-Prompt Payment Ordinance","AC_58742","6.01"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV611 - Library: Administration","DP15 - Oakland Public Library","Oakland Public Library","DV1502","Library Systemwide Support","OR_61121","61121 - Departmental Operation","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB16","NB16 - MAIN LIBRARY SERVICES","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","6.01"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV612 - Main Library Services","DP15 - Oakland Public Library","Oakland Public Library","DV1504","Main Library Services","OR_61237","61237 - Children's Room","FD_2241","Fund 2241","2241","Measure Q-Library Services Retention & Enhancement","2241 - Measure Q-Library Services Retention & Enhancement","Fund 2241 - Measure Q-Library Services Retention & Enhancement","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","6.04"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2260","Fund 2260","2260","Measure WW: East Bay Regional Parks District Local Grant","2260 - Measure WW: East Bay Regional Parks District Local Grant","Fund 2260 - Measure WW: East Bay Regional Parks District Local Grant","PJ_1000702","1000702 - ASTRO PARK TOT LOT IMPROV","PG_CONV","PG_CONV","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","6.05"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_5643","Fund 5643","5643","Central City East TA Bonds Series 2006A-T (Taxable)","5643 - Central City East TA Bonds Series 2006A-T (Taxable)","Fund 5643 - Central City East TA Bonds Series 2006A-T (Taxable)","PJ_1000153","1000153 - CCE MEL BANCRO 5643-P400210","PG_CONV","PG_CONV","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51420 - License","AC_51420","6.05"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30522","30522 - Electrical Services: Maintenance","FD_5612","Fund 5612","5612","Central District:  TA Bonds Series 2005","5612 - Central District:  TA Bonds Series 2005","Fund 5612 - Central District:  TA Bonds Series 2005","PJ_1000048","1000048 - DT STSCPE MP 5612-C500810","PG_IN16","IN16 - STREET LIGHT MANAGEMENT & MAINT","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51420 - License","AC_51420","6.16"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61337","61337 - Rockridge Branch","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000013","1000013 - DP610 Administrative Project","PG_0000","PG_0000","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","6.19"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2109","Watershed & Storm Drain Management & Maintenance ","OR_30245","30245 - Watershed and Stormwater Program","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1001557","1001557 - OAK URBAN GREENING","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58742 - Interest Penalty-Prompt Payment Ordinance","AC_58742","6.2"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1001230","1001230 - TRAFFIC CONTROL PLAN REVIEW","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51627 - Retirement Contributions","AC_51627","6.2"
"2015-2016","Existing","DP750 - Human Services Department","DV781 - Administration Division","DP17 - Human Services","Human Services","DV1700","Administration","OR_78111","78111 - Department of Human Services: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000017","1000017 - DP780 Administrative Project","PG_YS14","YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","53611 - Postage and Mailing","AC_53611","6.2"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2101","Buildings & Facilities Management & Maintenance ","OR_30635","30635 - Facilities Services: Roving Custodial","FD_2310","Fund 2310","2310","Lighting and Landscape Assessment District","2310 - Lighting and Landscape Assessment District","Fund 2310 - Lighting and Landscape Assessment District","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN02","IN02 - FACILITIES MANAGEMENT & DEVELOPMENT","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51216 - Overtime: FLSA Premium","AC_51216","6.24"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30522","30522 - Electrical Services: Maintenance","FD_2215","Fund 2215","2215","Measure F - Vehicle Registration Fee","2215 - Measure F - Vehicle Registration Fee","Fund 2215 - Measure F - Vehicle Registration Fee","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN16","IN16 - STREET LIGHT MANAGEMENT & MAINT","13 - Travel & Education ","Travel & Education","Non-Personnel Expenditures","Expense","55119 - Miscellaneous Travel Expenditures (Tips Parking)","AC_55119","6.25"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61337","61337 - Rockridge Branch","FD_2241","Fund 2241","2241","Measure Q-Library Services Retention & Enhancement","2241 - Measure Q-Library Services Retention & Enhancement","Fund 2241 - Measure Q-Library Services Retention & Enhancement","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51421 - Incentive and Special","AC_51421","6.25"
"2015-2016","Existing","DP750 - Human Services Department","DV781 - Administration Division","DP17 - Human Services","Human Services","DV1700","Administration","OR_78111","78111 - Department of Human Services: Administration","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1000323","1000323 - MEDI-CAL ADMIN ACTIVITIES","PG_YS14","YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","6.26"
"2015-2016","Existing","DP030 - City Clerk","DV031 - City Clerk","DP06 - City Clerk","City Clerk","DV0600","City Clerk Operations","OR_03121","03121 - City Clerk","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000116","1000116 - SUCCESSOR AGENCY ADMIN ALLOW","PG_IP15","IP15 - ELECTIONS & POLITICAL COMPLIANCE","10 -  Misc. Personnel Adjustments","Misc. Personnel Adjustments","Personnel Expenditures","Expense","51912 - Adjustments: Miscellaneous Payroll (Not Subject to Retirement)","AC_51912","6.27"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV613 - Branch and Youth","DP15 - Oakland Public Library","Oakland Public Library","DV1501","Branch Library Services","OR_61335","61335 - M.L. King Jr. Branch","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB17","NB17 - BRANCH LIBRARY SERVICES","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51627 - Retirement Contributions","AC_51627","6.27"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_0000","PG_0000","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51412 - Acting Pay","AC_51412","6.28"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000652","1000652 - RIGHT OF WAY INSPECTIONS 2415","PG_CONV","PG_CONV","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51627 - Retirement Contributions","AC_51627","6.3"
"2015-2016","Existing","DP890 - Housing and Community Development Department","DV899 - Housing and Community Development","DP19 - Housing & Community Development","Housing & Community Development","DP1904","Housing Development","OR_89929","89929 - Housing Development","FD_1610","Fund 1610","1610","Successor Redevelopment Agency Reimbursement Fund","1610 - Successor Redevelopment Agency Reimbursement Fund","Fund 1610 - Successor Redevelopment Agency Reimbursement Fund","PJ_1000075","1000075 - HSNG PROJ STAFF-A468421","PG_SC14","SC14 - HOUSING DEVELOPMENT","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51312 - Allowance: Meal","AC_51312","6.3"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5010 - Parks and Recreation: Administration","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1608","Reservations","OR_501240","501240 - Central Reservations","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_CONV","PG_CONV","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","6.32"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2211","Fund 2211","2211","Measure B: Local Streets & Roads","2211 - Measure B: Local Streets & Roads","Fund 2211 - Measure B: Local Streets & Roads","PJ_1000634","1000634 - LAUREL ACCESS MILLS-LAMMPS","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51313 - Allowance: Auto Flat (1 2 Partially 3)","AC_51313","6.36"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5090 - OPR: Area Three","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1601","Area I - East","OR_509235","509235 - Rainbow","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000012","1000012 - DP5000 Administrative Project","PG_YS16","YS16 - AFTER SCHOOL SPORTS","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51627 - Retirement Contributions","AC_51627","6.36"
