"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"UJA Federation New York","130 E 59th Street","New York","NY","10022","2019","8000","1000","6000","1000","Community-based organization","Advocacy and organizing, Civic engagement (voting, voter registration), Emergency management and disaster response, Employment and workforce development, Faith-based, Human services, Immigrants and/or refugees, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.762367","-73.96854","105","4","11203","1087267","1013137502","Turtle Bay-East Midtown"
"UJC Lillian Wald Senior Center","12 Avenue D","New York","NY","10009","2019","15","10","5","3","Community-based organization","Advocacy and organizing, Environment and sustainability, Human rights, Human services, Immigrants and/or refugees, People with disabilities, Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.720462","-73.978369","103","2","20","1078045","1003560001","Lower East Side"
"Union Grove Missionary Baptist Church","1488 Hoe Ave.","The Bronx","NY","10460","2019","400","0","0","0","Faith-based institution","Children and youth related, Civic engagement (voting, voter registration), Faith-based, Homeless and shelter, Senior Services","Low-income populations, Older adults (60 or older), Youth (17 or under)","BX","BRONX","40.832891","-73.889299","203","17","157","2010651","2029880014","Crotona Park East"
"Union Settlement - Senior Services","2205 1st Avenue","New York","NY","10029","2019","475","10","300","175","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Human services, Senior Services","Low-income populations, Older adults (60 or older), Youth (17 or under), Children","MN","MANHATTAN","40.794319","-73.93665","111","8","180","1081091","1016840001","East Harlem North"
"Unique People Services","4234 Vireo Avenue","The Bronx","NY","10470","2019","5","0","5","1","Community-based organization","Homeless and shelter, People with disabilities","Justice-involved individuals, Low-income populations, People with disabilities, Developmentally Delayed","BK, BX, QN","BRONX","40.89672","-73.864524","212","11","45101","2019744","2033950019","Woodlawn-Wakefield"
"United Activities Unlimited","1000 Richmond terrace, building p 3rd fl","Staten Island","NY","10301","2019","200","60","120","20","Community-based organization","Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Human services, Justice-related","Low-income populations, Youth (17 or under)","SI, BX","STATEN IS","40.645232","-74.104674","501","49","97","5000000","5000760200","West New Brighton-New Brighton-St. George"
"United Senior Citizen Center of Sunset Park, Inc.","475  53 Street","Brooklyn","NY","11220","2019","50","3","20","27","Senior Center","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.64386","-74.012767","307","38","76","3013917","3008070046","Sunset Park West"
"United Way of New York City","205 East 42nd Street","New York","NY","10017","2019","1059","0","1059","0","NYC Branch of Worldwide Non-Profit Organization","Advocacy and organizing, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Homeless and shelter, Women's issues","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.750643","-73.974126","106","4","88","1037550","1013167501","Turtle Bay-East Midtown"
"United Yes We Can, Unidos Si Se Puede, Inc","230 E 123 street #804","New York","NY","10035","2019","68","23","37","8","Community-based organization","Advocacy and organizing, Arts and culture, Emergency management and disaster response, Homeless and shelter, Senior Services, Women's issues","Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.801798","-73.935371","111","8","194","1054629","1017870080","East Harlem North"
"Unspoken Smiles Foundation","26 Broadway, Floor 8","New York","NY","10004","2019","20","0","20","1","Community-based organization, Volunteer-led group","Children and youth related, Employment and workforce development, Health and medicine","Low-income populations, Women, Youth (17 or under)","BK, MN","MANHATTAN","40.70568","-74.013302","101","1","9","1000811","1000220013","Battery Park City-Lower Manhattan"
"Urban Outreach Center","2004 Madison Ave, Apt 4","New York","NY","10035","2019","5200","1300","2600","1300","Community-based organization","Advocacy and organizing, Homeless and shelter, Human services, Immigrants and/or refugees, Justice-related, People with disabilities, Hunger and Food Insecurity","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.807311","-73.939509","111","9","206","1054157","1017520054","Central Harlem North-Polo Grounds"
"USO of Metropolitan New York","625 8th Ave","New York","NY","10018","2019","1496","0","0","0","Community-based organization","Support active and retired military","Military/ veteran families","BK, MN, SI, QN","MANHATTAN","40.756192","-73.990565","104","3","115","1083268","1010320029","Clinton"
"V - ELMS","308 Washington Avenue","Brooklyn","NY","11205","2019","68","7","56","5","Volunteer-led group","Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","BK","BROOKLYN","40.689367","-73.96608","302","35","197","3055337","3019310024","Clinton Hill"
"Van Cortlandt Park Alliance","80 Van Cortlandt Park South, Suite E1","The Bronx","NY","10463","2019","1826","0","0","0","Community-based organization","Environment and sustainability","Youth (17 or under)","BX","BRONX","40.884706","-73.889991","208","11","281","2015473","2032520209","Van Cortlandt Village"
"Venture House","150-10 Hillside Avenue","Jamaica","NY","11432","2019","15","0","12","3","Community-based organization","Human services, People with disabilities, Community Based Mental Health","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, People with Mental Illness","SI, QN","QUEENS","40.706717","-73.806263","412","24","236","4207127","4096970012","Briarwood-Jamaica Hills"
"VISIONS Services For The Blind and Visually Impaired","135 West 23rd Street","New York","NY","10011","2019","271","0","189","82","Social Service Agency","Children and youth related, Employment and workforce development, Human services, People with disabilities, Senior Services","Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Families & children","All Boroughs","MANHATTAN","40.743386","-73.993916","104","3","91","1014949","1007990021","Hudson Yards-Chelsea-Flatiron-Union Square"
"Visiting Neighbors, Inc.","3 Washinton Square Village Suite 1F","New York","NY","10012","2019","360","26","318","16","Community-based organization","Senior Services","Low-income populations, Older adults (60 or older)","MN, QN",,,,,,,,,
"Visiting Nurse Service of New York","107 East 70th Street","New York","NY","10021","2019","515","0","400","115","Home Health & Hospice Care","Health and medicine","All of the above","All Boroughs","MANHATTAN","40.769598","-73.964288","108","4","128","1042715","1014050006","Upper East Side-Carnegie Hill"
"Voces Latinas Corp.","37-63C 83rd St","Jackson Heights","NY","11372","2019","44","19","24","1","Community-based organization","Education and literacy, Health and medicine, Immigrants and/or refugees, LGBTQIA+, Women's issues","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Women, Youth (17 or under)","QN","QUEENS","40.749486","-73.883306","403","21","281","4536749","4014717501","Jackson Heights"
"Volunteers for Springfield Park, Inc.","18205 145th Drive","Springfield Gardens","NY","11413","2019","20","20","10","15","Community-based organization, Volunteer-led group","Advocacy and organizing, Arts and culture, Environment and sustainability","Youth (17 or under)","QN","QUEENS","40.663336","-73.763665","413","31","320","4285779","4133370050","Springfield Gardens South-Brookville"
"Volunteers of America - Greater New York","135 W 50th St, 9th Fl","New York","NY","10020","2019","3695","0","0","0","Community-based organization","Homeless and shelter, Human services","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.760374","-73.981533","105","4","131","1022708","1010030005","Midtown-Midtown South"
"Volunteers of Legal Service","40 Worth Stret","New York","NY","10003","2019","834","0","0","0","Non Profit","Legal services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), Women","All Boroughs","MANHATTAN","40.717363","-74.006897","101","1","33","1001622","1001480015","SoHo-TriBeCa-Civic Center-Little Italy"
"Washington Square Park Conservancy","PO Box 1624","New York","NY","10276","2019","263","0","0","0","Community-based organization","Children and youth related, Environment and sustainability, park/open space","Older adults (60 or older), Youth (17 or under)","MN",,,,,,,,,
"Wave Hill","675 West 252nd Street","The Bronx","NY","10471","2019","83","0","0","0","Cultural Institution","Arts and culture","Youth (17 or under)","BX","BRONX","40.900127","-73.911202","208","11","309","2101020","2059370440","North Riverdale-Fieldston-Riverdale"
"West Side Campaign Against Hunger","263 West 86th Street","New York","NY","10024","2019","1865","-","-","-","Community-based organization","Employment and workforce development, Homeless and shelter, Human services","Low-income populations","MN, BX","MANHATTAN","40.788672","-73.977332","107","6","175","1033195","1012347502","Upper West Side"
"Word - Tilden Neighborhood Senior Center","630 MOTHER GASTON BLVD","Brooklyn","NY","11212","2019","28","0","10","18","Community-based organization","Advocacy and organizing, Senior Services","Low-income populations, Older adults (60 or older), People with disabilities","BK","BROOKLYN","40.663471","-73.905278","316","41","912","3326549","3035760001","Brownsville"
