"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","Youth","Viverito","Per Scholas, Inc.","04-3252955","Cleared","8000.00","DYCD",,"804 East 138th Street",,"10454","To support the Comp2Kids program, which provides computers and technology training to youth and families.",,,"804 East 138th Street
Bronx, NY 10454
(40.80369090884756, -73.91013093512004)","BRONX    ","40.803798","-73.910377","1","17","19","2004004","2025890016","Mott Haven-Port Morris                                                     "
"2012","Youth","Mendez","Good Shepherd Services","135598710-","Cleared","3500.00","DYCD",,"305 Seventh Avenue 9th Floor",,"10001","Good Shepherd Services is requesting a grant to support the continued implementation of Good Shepherd Servicesâ SanctuaryÂ® Model at the Euphrasian Residence. ",,,"305 Seventh Avenue 9th Floor
New York, NY 10001
(40.74679080405372, -73.99364197876082)","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      "
"2011","Geriatric Mental Health Initiative",,"Grand Street Settlement, Inc.","13-5562230","Cleared","84000.00","DOHMH",,"80 Pitt Street",,"10002",,,,"80 Pitt Street
New York, NY 10002
(40.718663669907265, -73.98223064685723)","MANHATTAN","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            "
"2012","Local","Fidler","Flatbush Park Jewish Center","111969900-","Pending","3500.00","DYCD",,"6363 Avenue U",,"11234","Early childhood academic and recreational programs.  Physical education programs for boys and girls in elementary thru high school.  competitive travel basketball programs for high school and middle school students.  In-house sports clinics and baskebtall programs.",,"113199040-","6363 Avenue U
Brooklyn, NY 11234
(40.6162679489851, -73.9126957039268)","BROOKLYN ","40.616209","-73.912697","18","46","698","3236983","3084060035","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"2010","CASA","Gentile","Midtown Management Group, Inc., The","13-3192793","Pending","20000.00","DCA","Public School 102K Bayview School","630 9th Avenue, #502","211 72nd Street, Brooklyn, NY 11209","10036",,,,"630 9th Avenue, #502
New York, NY 10036
(40.7599835298872, -73.99141665969353)","MANHATTAN","40.760038","-73.991449","4","3","121","1024982","1010350001","Clinton                                                                    "
"2009","Local","Brewer","NYCHA Harborview Tenants Association","13-6400434","Cleared","2000.00","MISC",,"530 West 55th Street",,"10019","Funding would provide support for family day programming.",,,"530 West 55th Street
New York, NY 10019
(40.768320573435176, -73.9908001211482)","MANHATTAN","40.768258","-73.990588","4","6","135","1027059","1010830015","Clinton                                                                    "
"2012","Boro","Arroyo","Point Community Development Corporation, The","133765140-","Cleared","22187.00","DCA",,"940 Garrison Avenue",,"10474-5335","To support  the Arts and Advocacy Youth Development Program which offers arts instruction and to foster appreciation of the arts and skill building.

",,,"940 Garrison Avenue
Bronx, NY 10474-5335
(40.81843979012808, -73.89065161996535)",,,,,,,,,
"2011","Local","Ignizio","Council on the Environment of New York City, Inc. D/B/A GrowNYC ","13-2765465","Cleared","3500.00","DYCD",,"51 Chambers Street, Room 228",,"10007","Operation of green markets in 51st Council District.",,,"51 Chambers Street, Room 228
New York, NY 10007
(40.7138132465153, -74.00539442249085)","MANHATTAN","40.713797","-74.005494","1","1","31","1079216","1001530018","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"2011","Local","Oddo","Oceanic Hook and Ladder Company","13-3221795","Cleared","5000.00","FDNY",,"4010 Victory Boulevard",,"10314","Utility bills and the purchase of equipment.",,,"4010 Victory Boulevard
Staten Island, NY 10314
(40.593217061361614, -74.18797977008911)","STATEN IS","40.593414","-74.187737","2","50","29102","5041658","5026250001","New Springville-Bloomfield-Travis                                          "
"2011","Autism Awareness",,"Labor and Industry for Education, Inc.","11-4088055","Cleared","42364.00","DOHMH",,"112 Spruce Street",,"11516",,,,"112 Spruce Street
Cedarhurst, NY 11516
(40.62116450978078, -73.72538321064093)",,,,,,,,,
"2010","CASA","Seabrook","Intrepid Sea Air Space Museum","11-6080521","Pending","20000.00","DCA","Young Scholars Academy of the Bronx","One Intrepid Square, 12th Avenue & 46th Street","3710 Barnes Avenue, Bronx, NY 10467","10036",,,,"One Intrepid Square, 12th Avenue & 46th Street
New York, NY 10036
(40.75912999974986, -73.98824999993741)",,,,,,,,,
"2010","Transportation - Operating Costs",,"Jewish Association for Services for the Aged (JASA)","13-2620896  ","Pending","6100.48","DFTA","Home Delivered Meals","132 West 31st Street",,"10001","Senior Center transportation costs",,,"132 West 31st Street
New York, NY 10001
(40.748454549807946, -73.99055730420031)","MANHATTAN","40.748345","-73.990245","5","3","101","1015171","1008060058","Midtown-Midtown South                                                      "
"2011","Local","Fidler","Brooklyn Philharmonic Symphony Orchestra, Inc.","11-1773636","Cleared","5500.00","DCA",,"55 Washington Street, Suite 656",,"11201","Funds will provide musical instruction to children.",,,"55 Washington Street, Suite 656
Brooklyn, NY 11201
(40.702688366154774, -73.98957290186571)","BROOKLYN ","40.70273","-73.989602","2","33","21","3000088","3000380001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2012","Cultural After-School Adventure (CASA) ","Eugene","Brooklyn Conservatory of Music","111532426-","Cleared","20000.00","DCA","Public School 217 ","58 Seventh Avenue","1100 NEWKIRK AVENUE","11217",,,,"58 Seventh Avenue
Brooklyn, NY 11217
(40.6759062417043, -73.97451339919758)","BROOKLYN ","40.675843","-73.974533","6","39","159","3019495","3009480048","Park Slope-Gowanus                                                         "
"2012","Local","Recchia","Kings Highway Beautification Association, Inc.","204986882-","Cleared","15000.00","DYCD",,"1899 EAST 4TH STREET",,"11223","THE FUNDING WILL BE USED TO LAUNCH A DISTRICT -WIDE GRAFFITTI CLEANING PROGRAM IN THE 47TH COUNCIL DISTRICT. THE PROGRAM WILL MAKE AVE S BETWEEN OCEAN PKWAY STILLWELL AVE, AVE U BETWEEN OCEAN PKWAY STILLWELL AVE AVE X BETWEEN OCEAN PKWAY SHELL ROAD , MERMAID AVE BETWEEN STILLWELL AVE  37TH ST , 86TH ST BETWEEN 20TH AVE AVE U AND BATH AVE BETWEEN BAY 29TH ST 7STILLWELL AVE GRAFFITTI FREEVIA A 1X CLEANING OF ALL ROLLDOWN GATES, SIDE WALLS, DOORS, STOREFRONTS AND STREET FURNITURE. THE PROGRAM WILL KEEP THESE SIX CORRIDORS AS WELL AS KINGS HIGHWAY BETWEEN OCEAN PARKWAY AND MCDONALD AVE GRAFFITTI FREE VIA MONTHLY GRAFFITTI INSPECTIONS MAINTENANCE. IN ADDITION, THE PROJECT WILL GRAFFITTI CLEAN UP TO 75 RESIDENTIAL PROPERTIES THROUGHOUT THE COUNCIL DISTRICT VIA A GRAFFITTI COMPLAINT PROGRAM IN WHICH CONSTITUENTS CALL IN GRATTIFIED LOCATIONS TO THE COUNCIL OFFICE FOR FAST RESPONSE CLEAN-UP.",,,"1899 EAST 4TH STREET
BROOKLYN, NY 11223
(40.603960479360296, -73.96894659583626)","BROOKLYN ","40.603851","-73.96895","15","47","41402","3178655","3066810383","Homecrest                                                                  "
"2011","Local","Vann","Tompkins Houses Resident Association, Inc.","11-3095879","Government","1000.00","MISC",,"77 Tompkins Avenue, Suite 1",,"11206","To support tenant organizing activities and family day event for residents and the surrounding community.",,,"77 Tompkins Avenue, Suite 1
Brooklyn, NY 11206
(40.696889440735006, -73.94653316193377)","BROOKLYN ","40.696995","-73.946591","3","36","25902","3324252","3017400001","Bedford                                                                    "
"2011","Local","Dickens","Midori Foundation, Inc., The (d/b/a Midori and Friends)","13-3682472","Cleared","3500.00","DOE",,"352 Seventh Avenue, Suite 301",,"10001","To provide education programs to thousands of students throughout NYC: Adventures in Making Music, First Adventures in Sound and Adventures in Sound, and Musical Learning Concerts & Workshops.",,,"352 Seventh Avenue, Suite 301
New York, NY 10001
(40.74820273963974, -73.99270668385032)","MANHATTAN","40.748208","-73.992663","5","3","95","1014291","1007790041","Midtown-Midtown South                                                      "
"2012","Cultural After-School Adventure (CASA) ","Fidler","Brooklyn Arts Council, Inc.","237072915-","Cleared","20000.00","DCA","Public School 52","55 Washington Street, Suite 218",,"11201",,,,"55 Washington Street, Suite 218
Brooklyn, NY 11201
(40.702688366154774, -73.98957290186571)","BROOKLYN ","40.70273","-73.989602","2","33","21","3000088","3000380001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2011","CASA","Van Bramer","Queens Theatre in the Park, Inc.","11-3381629","Cleared","20000.00","DCA","Public School 199Q - Maurice A. Fitzgerald","P.O. Box 520069","39-20 48 AVENUE, Sunnyside, NY 11104","11352",,,,"P.O. Box 520069
Flushing, NY 11352
(40.74602999998467, -73.82616999984549)",,,,,,,,,
"2012","Local","Lappin","City Parks Foundation","133561657-","Cleared","8000.00","DFTA",,"830 Fifth Avenue",,"10065","CityParks Foundation will offer, free of charge, CityParks Seniors Fitness in Fall 2011 and Spring 2012 at three sites. CityParks Seniors Fitness, which consists of yoga, fitness walking, or tennis, presents two sessions of classes (spring and fall) that introduce seniors to athletic activities in a supportive and social environment. In addition to promoting fitness and well-being, the program also encourages seniors to enjoy and utilize the community resource of their local park.",,,"830 Fifth Avenue
New York, NY 10065
(40.7674392428363, -73.97077743085444)","MANHATTAN","40.767711","-73.970516","64","6","143","1083811","1011110001","park-cemetery-etc-Manhattan                                                "
