"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department of Parks and Recreation (DPR)","k5ta-2trh","Forestry Tree Points","Record of Forestry tree points for NYC Parks & Recreation. 

Tree Points and Planting Spaces form the basis of ForMS 2.0’s data inventory and are the core entities that all Service Requests, Inspections, and Work Orders are associated to.  The system has built-in rules to ensure that every Tree Point has a Planting Space and each Planting Space can have no more than one active Tree Point at a given time.  Locations that have had one tree removed and another tree replanted will appear in ForMS 2.0 as a single Planting Space associated with one retired Tree Point (that has a removal Work Order) and one active Tree Point.

This dataset can be joined to the Forestry Planting Spaces dataset by joining PlantingSpaceGlobalID from Forestry Tree Points to GLOBALID from Forestry Planting Spaces.

User guide: https://docs.google.com/document/d/1PVPWFi-WExkG3rvnagQDoBbqfsGzxCKNmR6n678nUeU/edit?usp=sharing

Data dictionary: https://docs.google.com/spreadsheets/d/1yMfZgcsrvx9M0b3-ZdEQ3WCk2dFxgitCWytTrJSwEAs/edit?usp=sharing","map","Environment","YES","https://data.cityofnewyork.us/d/k5ta-2trh","05/11/2018","Monthly","2022-08-01T13:59:16.000","Yes","Yes","Yes","No","N/A","No","N/A","Yes","5057","0",,"hn5i-inap","true"
"Department of Parks and Recreation (DPR)","h6af-x63h","Outdoor Aquatics Programming","Attendance and location information for outdoor aquatics programming.","dataset","Recreation","YES","https://data.cityofnewyork.us/d/h6af-x63h","10/31/2018","Annually","2021-11-29T12:59:57.000","No","No","Yes","No","N/A","No","N/A","No","254","1798","12",,"false"
"Mayor’s Office to End Domestic and Gender-Based Violence","6ynm-g82n","A Foundation Report: Stalking","This data set contains count data of stalking related offenses that occurred in New York City between 2013 through 2018.","dataset","Public Safety","YES","https://data.cityofnewyork.us/d/6ynm-g82n","10/21/2020","Historical data","2020-10-16T20:24:02.000","No","No","Yes","No","N/A","Yes","Historical","No","240","6","8",,"false"
"Department of Transportation (DOT)","rn6h-i66u","Citywide Low Bridges","Contains the locations with low vertical clearances on the limited access highway system.

Click here for metadata - http://www.nyc.gov/html/dot/downloads/pdf/lowbridge_kml_readme_july09.pdf","href","Transportation","Yes","https://data.cityofnewyork.us/d/rn6h-i66u","10/21/2014","Annually","2014-10-21T21:09:57.000","No","No","Yes","No","N/A","No","N/A","Yes","1698",,,,"false"
"Department of Education (DOE)","vqix-8bak","English Language Arts (ELA) Test Results 2006-2012 - District - Ethnicity","Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by district and student ethnicity.","dataset","Education","No","https://data.cityofnewyork.us/d/vqix-8bak","2/21/2013","Historical data","2013-02-20T22:05:23.000","No","No","Yes","No","N/A","No","N/A","No","431","6272","16",,"false"
"Department of Education (DOE)","utu8-j8sk","2018 - 2019 Average Class Size Report School K-8","2018-2019 Class Size School report for kindergarten through eighth grades by program type, number of students, number of classes and average class size.","dataset","Education","Yes","https://data.cityofnewyork.us/d/utu8-j8sk","December 31, 2020","Annually","2020-12-31T23:44:07.000","No","No","Yes","No","No","N/A","N/A","No","96","12423","9",,"false"
"Department of Education (DOE)","xni9-ncns","2018-2019 Diversity Report - Pre-Kindergarten, K-8 & Grades 9-12 District, Schools, Special Programs, Diversity Efforts, Admissions Methods","Enrollment counts are based on the October 31st Audited Register for 2018. 
Data on students with disabilities, English language learners and students poverty status are as of March 12 2019.   Due to missing demographic information in rare cases, demographic categories do not always add up to citywide totals. 
In order to view all data there is an excel file attached which you would select to open.","dataset","Education","No","https://data.cityofnewyork.us/d/xni9-ncns","April 28, 2021","Annually","2021-04-28T18:31:08.000","No","No","Yes","No","No","N/A","N/A","No","375","192","69",,"false"
"Department of Housing Preservation and Development (HPD)","ucdy-byxd","Local Law 44 - Projects","The Projects data table contains information about Housing Development Projects about which HPD is required to report pursuant to Local Law 44 of 2012.  This includes general project information such as start and completion dates, units, Borrower Legal Entity, general contractor (GC), and prevailing wage information.  There is a one-to-one relationship between this information and the project. This is part of the <a <a href='https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=HPD+Local+Law+44'>Housing Projects Receiving City Financial Assistance (Local Law 44) collection of data tables</a>.","dataset","Housing & Development","YES","https://data.cityofnewyork.us/d/ucdy-byxd","01/23/2018","Every 6 months","2022-03-29T18:03:55.000","No","No","Yes","No","N/A","No","N/A","No","3513","858","17",,"false"
"Department of Information Technology & Telecommunications (DoITT)","7t6i-mkth","Open Data Plan Update 2016","This inventory includes all datasets scheduled for release between July 2016 and December 31, 2018.","filter","City Government","No","https://data.cityofnewyork.us/d/7t6i-mkth","7/16/2014","Historical data","2016-09-20T23:07:51.000","No","No","Yes","No","N/A","No","N/A","No","40975","212",,"tyjc-nqc2","true"
"Department of City Planning (DCP)","bpt7-i8t8","Zoning Map Index: Section","Shapefile of zoning section map index, grid to determine which zoning section map relates to specific areas of NYC.
A sectional index grid to determine which Zoning Map refers to specific areas of New York City. Zoning maps show the boundaries of zoning districts throughout the city. The maps are regularly updated after the City Planning Commission and the City Council have approved proposed zoning changes. The set of 126 maps, which are part of the Zoning Resolution, are displayed in 35 sections. Each section is identified by a number from 1 to 35. Each map covers an area of approximately 8,000 feet (north/south) by 12,500 feet (east/west).

All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>","map","City Government","Yes","https://data.cityofnewyork.us/d/bpt7-i8t8","9/12/2016","As needed","2016-09-12T19:21:09.000","Yes","No","Yes","No","N/A","No","N/A","No","1380",,,,"false"
"Department of City Planning (DCP)","pf5b-73bw","State Assembly Districts","GIS data: Boundaries of State Assembly Districts.

All previously released versions of this data are available at <a href=""https://www1.nyc.gov/site/planning/data-maps/open-data/bytes-archive.page?sorts[year]=0"">BYTES of the BIG APPLE- Archive</a>","map","City Government","No","https://data.cityofnewyork.us/d/pf5b-73bw","4/4/2013","Quarterly","2022-08-16T13:27:53.000","Yes","No","Yes","No","N/A","Yes","Quarterly","No","5019",,,,"false"
"Department of Education (DOE)","fb4j-itwb","2011-2012 School Closure Discharge Reporting Age - School","In June 2012, 7 New York City public schools closed for poor performance.  This report provides data regarding students enrolled in these schools during the 2011-2012 school year, according to the guidelines set by Local Law 2011/043","dataset","Education","No","https://data.cityofnewyork.us/d/fb4j-itwb","March 23, 2018","Historical data","2018-03-23T17:57:02.000","No","No","Yes","No","N/A","No","N/A","No","128",,"0",,"false"
"Department of Parks and Recreation (DPR)","pbi9-jd5i","NYC Street Tree Map - Favorite Trees","Current number of times a given tree has been marked as a favorite by registered users of the NYC Street Tree Map (nyc.gov/parks/treemap).

This dataset can be joined to the Forestry Tree Points dataset (https://data.cityofnewyork.us/Environment/Forestry-Tree-Points/k5ta-2trh) by joining the TreeId to OBJECTID from Forestry Tree Points.

Live data feed: https://www.nycgovparks.org/tree-map-feeds/favorite-trees.json","href","Environment","YES","https://data.cityofnewyork.us/d/pbi9-jd5i","8/31/2017","As needed","2017-08-31T19:48:09.000","Yes","No","Yes","No","N/A","Yes","Daily","Yes","1451",,,,"false"
"Department of Education (DOE)","kiy2-qiem","City Council Report June 14, 2021","This report denotes statistics for receommended special education services by primary program and related services categorized by students who are fully, partially or not receiving services.  The statistics are aggregated by program type, superintendent, district and school.","dataset","Education","No","https://data.cityofnewyork.us/d/kiy2-qiem","October 7, 2021","Monthly","2021-10-07T17:28:47.000","No","No","Yes","N/A","N/A","N/A","N/A","No","698","5","7",,"false"
"Department of Education (DOE)","jbtw-tj3x","School Bus Report October_2021_21-993","For the 2020-2021 school year, only students who were enrolled in blended learning were assigned to bus routes. Therefore, students who are routed are assumed to be enrolled in blended learning.
Students are reported as those who were planned and routed, but may or may not have used the service provided.
Routes were determined by those routed with a vendor and student(s) assigned
Vehicles are identified by school bus company reported data. This data is subject to data entry error and is dependent on the school bus companies to maintain.
All transportation sites were included, and reported by type. A transportation site was defined by a unique location identified by a street address. Please note: multiple students or schools can be located in the same address and would therefore represent a stop for multiple students at the same site.
MetroCard passes are assigned at the school. For public and charter schools, OPT reports students assigned to MetroCard, which includes those assigned a MetroCard by serial number or ""T'd"" for MetroCard, meaning the school indicated the student as eligible for a MetroCard but did not yet assign a serial number. For Non-Public schools, OPT reports on students who are eligible for MetoCards if they are not assigned to yellow bus service
Some special education schools do not classify students by grade level. Students attending such schools are identified as “NG.”
Service type is representative only of the type of busing a student is assigned to and is not reflective of the educational classification of a student. Students who are classified as special education but do not have an IEP mandate for specific transportation accommodations may be assigned to general education busing. General education students under certain circumstances including, but not limited to temporary housing status, orders of protection and medical conditions may be assigned to special education busing.
OPT assigns students to busing but cannot confirm student ridership. This reporting would have to be captured at the school level.
Students in temporary housing (STH) situations other than those reported to be living in a DHS shelter* were excluded from the report due to data quality issues. While the DOE student data system (ATS) has a housing indicator flag, it is often inaccurate and unreliable. Therefore, OPT cannot reliably report on the temporary housing status of students other than those residing in DHS shelters, where a daily report indicating shelter status is provided. 
*Transportation data for students in Foster Care is also provided. Please see section 21-993 B7 for reporting.
Stop to school bus service is typically not provided to students after the 6th grade. Those assigned to this service are students who are granted individual or school-wide exceptions.
In addition to students who applied for transportation because of foster care placement, also reported were students known to be in foster care who received busing or A MetroCard to provide a more complete report of students in foster care who received service.
Students in foster care were identified by a monthly data feed from ACS to OPT via DIIT. Source is subject to error due to data matching to identify OSIS based on name and data of birth.","dataset","Education","No","https://data.cityofnewyork.us/d/jbtw-tj3x","11/23/2021","As needed","2021-11-23T14:19:23.000","No","No","Yes","No","N/A","Yes","As-Needed","No","284","114","4",,"false"
