"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Orchard Beach Pavilion - Site Investigation","2018-10-12T00:00:00.000",,"Orchard Beach Pavilion - Site Investigation","X039;","Pelham Bay Park;",,"Bronx","Single Site","EDC","Park Improvement/New Park","Borough Operations;#Planning and Parklands","Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Marvel Architects","2018-11-02T00:00:00.000","X039.20181107",,,,,"2018-11-07T00:00:00.000",,"2018-11-14T00:00:00.000","2018-12-21T00:00:00.000","2019-01-02T00:00:00.000","2019-01-02T00:00:00.000","2019-01-31T00:00:00.000","E1 - Extension thru 1/31/19","X039.E.20181016",,,,,,,,"2018-10-16T13:49:00.000","2019-11-05T15:29:00.000","40.866327, -73.794484"
"Phase II – Construction – 302-314 West 127th Street -New 12 Story residential building","2018-08-17T00:00:00.000","M394","Phase II – Construction – 302-314 West 127th Street (8’ x 20’ sidewalk shed and 8’ high Construction fence) New 12 Story residential building","M394;","St. Nicholas Miracle Garden;",,"Manhattan","Single Site","Private Developer","Private Development","Greenthumb",,"45000000","Construction",,,,,,,,,,,,,,,,"Bruno Frustaci Contracting, Inc","2018-08-17T00:00:00.000",,,,,"i. remove plywood wall (sidewalk bridge)  and fill in any trench with soil, Bring back the garden to its former state
ii. Replace any damaged plants and raised beds 
iii. Make sure to control demolition dust from contaminating the garden","2018-10-18T00:00:00.000",,"2019-02-08T00:00:00.000","2021-03-01T00:00:00.000",,,,,,,,,,,,,"2019-02-07T13:31:00.000","2019-11-05T15:29:00.000",
"939 Woodycrest – Exterior repair","2018-10-25T00:00:00.000","X333","939 Woodycrest – exterior repair (Cut & Point brick mortar joints and brick replacement. (erect overhead protection / sidewalk shed)","X333;","Woodycrest Community Garden;",,"Bronx","Single Site","Private Developer","Private Development","Greenthumb",,,"Construction",,,,,,,,,,,,,,,,"Colgate Restoration Corp.","2018-10-25T00:00:00.000","X333.20190401",,,,"i.	Contractor will clean-up and remedy community garden to existing conditions. 
     ii.	Bring back the garden to its former state, remove all the construction debris. 
       iii.	Any impact to community garden soil must be remedied or replaced with soil according to GreenThumb specifications.                                                                                 
iv.	No gaps or egresses may be allowed along the property line. If gaps or egresses are left as a result of construction along the property they must be fenced off according to GreenThumb fence specifications.","2019-01-04T00:00:00.000",,"2019-02-08T00:00:00.000","2020-01-15T00:00:00.000",,,,,,,,,,,,,"2019-02-07T13:17:00.000","2019-11-05T15:29:00.000",
"Subsurface Geotechnical Investigations","2019-02-04T00:00:00.000","BG.20190204G","Subsurface Geotechnical Investigations",,,,"Brooklyn","Multi Site","Other","Private Development","Borough Operations",,,"Construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-02-05T10:53:00.000","2019-11-05T15:29:00.000",
"Jackson Pond Comfort Station - NYSDEC Spill Number 0904308","2018-03-21T00:00:00.000","Q105","Jackson Pond Comfort Station - NYSDEC Spill Number 0904308 – Decommissioning of (15) Fifteen Groundwater Monitoring Well","Q105;","Howard Von Dohlen Playground;",,"Queens","Single Site","Other",,"Borough Operations",,,"Construction",,,,,,,,,,,,,,,,"Aquifer Drilling & Testing, Inc.","2018-03-21T00:00:00.000","Q105.20170416",,,,"i.	Occupying, using or in any way affecting Parks premises, systems or resources other than that within the Permitted Premises,
ii.	Performing any activities within the Permitted Premises other than those described in  Attachment B, 
iii.	Performing any Work or other activities pursuant to the Permit not supported by industry standards, best practices or applicable construction or material codes, and
iv.	Using or connecting to any of Parks’ utilities, including but not limited to water and electric service. Permittee must independently source its own utility service.",,,"2018-06-15T00:00:00.000","2018-12-01T00:00:00.000",,,,,,,,,,,,,"2019-02-05T10:03:00.000","2019-11-05T15:29:00.000",
"Soil Borings and Test Pits for Gilder Center","2018-08-27T00:00:00.000",,"As part of the Environmental Subsurface Investigation, AKRF would like to complete forty (40) shallow hand auger borings and twelve (12) deep soil borings (or a single test pit) in Theodore Roosevelt Park.","M053;","Theodore Roosevelt Park;","81 St & Columbus Ave","Manhattan","Single Site","DCulA","Public Building","Borough Operations","Staging;#Excavation",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"AKRF, Inc","2018-08-27T00:00:00.000","M053.20180831","2018-08-30T00:00:00.000","Approved","WSU317MF18","i.	Soil borings permitted in lawn only (not in landscaped areas).
ii.	Prior to September 30, soil borings in northwest corner (81st St & Columbus Ave) may only be performed on Monday and Tuesday.
iii.	Borings and test pits must be filled in with clean top soil, leveled, and seeded if necessary.
iv.	Irrigation system must remain operational.","2018-08-31T00:00:00.000",,"2018-09-05T00:00:00.000","2018-10-31T00:00:00.000",,,"2018-10-31T00:00:00.000",,,,,,,,,,"2018-08-31T12:59:00.000","2019-11-05T15:29:00.000","40.782315, -73.974889"
"South Ferry Terminal Complex Rehabilitation - South Ferry Subway Station, Manhattan","2013-07-19T00:00:00.000","A-37593","Resiliency improvements and total rehabilitation of the Sandy-damaged South Ferry station.","M005;","The Battery;","Peter Minuit Place and State St.","Manhattan","Single Site","MTA NYCT",,"Capital Projects;#Borough Operations;#Revenue/Concession;#Arts & Antiquities;#Legal/MOUs;#Borough Forestry;#Planning and Parklands","Staging;#Excavation;#Partial Park Closure;#Sidewalk Closure;#Park Improvement;#Other",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"MTA New York City Transit",,"M-16-15NF",,,,,,"2015-06-26T00:00:00.000","2015-07-01T00:00:00.000","2017-06-26T00:00:00.000",,"2017-01-25T00:00:00.000",,,,,"2018-10-24T00:00:00.000",,,,"2018-11-13T00:00:00.000","2019-01-30T00:00:00.000","2017-03-15T17:21:00.000","2019-11-05T15:29:00.000",
"On-site winterization and de-winterization","2019-01-07T00:00:00.000","cnyg","On-site winterization and de-winterization of green infrastructure monitoring equipment installed under the NYCDPR Community Parks Initiative at NYC Parks sites",,,,"Brooklyn;#Bronx;#Manhattan;#Queens","Multi Borough","Other","Environmental Improvement/Remediation","Other",,,"Construction",,,,,,,,,,,,,,,,"OptiRTC, Inc.","2019-01-07T00:00:00.000","CNYG.20190919",,,,,,,"2019-01-29T00:00:00.000","2021-01-20T00:00:00.000",,,,,,,,,,,,,"2019-01-29T14:37:00.000","2019-11-05T15:29:00.000",
"New Gate Station at Ditmars Boulevard","2017-01-30T00:00:00.000","WO 90000134994","Construction of a new gate station on the Grand Central Parkway, below Overlook Park. Slight impact to Overlook Park. GCP is NYSDOT-owned.","Q299;","Overlook Park;","Ditmars Blvd & 96 St","Queens","Single Site","National Grid","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry","Excavation;#Other;#Sidewalk Closure",,"Presumed Complete",,,,,,,,,,,,,,,,"National Grid","2017-09-07T00:00:00.000","Q299.20170925","2019-01-23T00:00:00.000","Approved","QP17-427","Permission is granted to remove, store, and reinstall sections of wrought iron property fence as needed to facilitate work. When work is not ongoing, plastic fence must be erected in place.
    Permission is granted to dig by hand and pneumatic means only, for up to four feet within the property line.","2017-09-21T00:00:00.000","2017-09-25T00:00:00.000","2017-10-02T00:00:00.000","2017-12-15T00:00:00.000","2018-01-16T00:00:00.000","2018-01-23T00:00:00.000","2018-06-01T00:00:00.000",,,"2019-06-05T00:00:00.000",,"2019-01-23T00:00:00.000",,,,,"2017-09-19T17:07:00.000","2019-11-05T15:29:00.000","40.770750, -73.873237"
"116 JEFFERSON STREET - Waterproofing","2018-02-12T00:00:00.000","B577","WATERPROOF THE FOUNDATION FOR 116 JEFFERSON STREET","B577;","El Garden;",,"Brooklyn","Single Site","Private Developer","Private Development","Greenthumb",,"10000","Construction",,,,,,,,,,,,,,,,"Park Remodeling, LLC","2018-07-23T00:00:00.000","B577.20180503","2018-06-13T00:00:00.000",,,"*i.	Bring back the garden to it's former state, remove the bricks and fill in the trench with soil ( to Green thumb Specs ), 


**ii.	Remove the plants along the trench line and put into containers
***iii.	Replace the water barrel platform and replace any damaged plants ( from before photos )  fix the whole in the back fence (where contractor broke in to dig the trench ) ****
iv.	The material that the contractor uses to fill the trench should have the following a French Drain of PVC pipe with water draining away from garden and building, topped with 2-3"" of gravel, and then topped with topsoil to bring the trench to grade.","2018-07-18T00:00:00.000",,"2018-07-23T00:00:00.000","2018-08-15T00:00:00.000",,,,,,,,,,,,,"2019-01-24T14:03:00.000","2019-11-05T15:29:00.000",
"Safety Improvements on Jackie Robinson Parkway","2008-08-20T00:00:00.000","X025.05 X805.86","Guardrails, striping, retaining wall work along entire parkway corridor.","Q083;","Jackie Robinson Parkway;","Metropolitan Avenue & Jackie Robinson Parkway","Queens","Single Site","SDOT","Parkway/Arterial Improvement","Borough Forestry","Staging;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,,,,"2016-09-09T00:00:00.000",,,,,,,,,,,,,"2016-05-10T00:00:00.000","2016-05-10T00:00:00.000","2016-05-10T00:00:00.000","2016-05-10T00:00:00.000","2016-05-16T00:00:00.000",,"2016-11-04T00:00:00.000","2016-09-12T11:22:00.000","2019-11-05T15:29:00.000","40.709604, -73.839698"
"Deck Replacement & Minor Rehabilitation of Structural Steel & Substructures on the Major Deegan Expwy bet E. 138th St & E. 161st St/Macombs Dam Br Interchange","2012-01-23T00:00:00.000","X720.30 D262391","Major Rehabilitation of a long stretch of Major Deegan viaduct in vicinity of and over Mill Pond Park","X344;","Mill Pond Park;","E 150 St & Exterior St","Bronx","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations;#Planning and Parklands;#Revenue/Concession","Staging;#Partial Park Closure","134090863","Presumed Complete",,,,,,,,,,,"EIC","NYSDOT","2014-04-30T00:00:00.000","2019-05-15T00:00:00.000",,,,"X-14-13NF",,"Not Required",,,,,"2014-03-01T00:00:00.000","2016-03-01T00:00:00.000",,"2016-02-17T00:00:00.000","2017-03-01T00:00:00.000",,,"2018-11-30T00:00:00.000",,,,,,,"2017-10-30T16:42:00.000","2019-11-05T15:29:00.000","40.820149, -73.931042"
"Bridge Corrective Maintenance at Various Locations in the Bronx & New York Counties, NYC to ensure Structural Integrity and Motorist Safety; 77 Bridges Total","2016-08-25T00:00:00.000","XM12.53 BIN222933A&B","Bridge Rehabilitation Henry Hudson Parkway over West 135 St. Repair of underdeck steel.","M072;","Riverside Park;","12 Avenue & West 135 Street, New York NY","Manhattan","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations","Staging","62000000","Presumed Complete",,,,,,,,,,,,,,,,"KiSKA Construction","2016-08-25T00:00:00.000","M072.20160912","2016-09-01T00:00:00.000","Not Required",,"i.	The work area is referenced below as four quadrants, divided north-south by W 135th Street and east-west by the overhead centerline of the Henry Hudson Parkway. Special conditions for each of these areas:
a)	Southwest quadrant: This area may not be occupied before 8 am or after 230 am. Emergency access to the gas transmission plant on the pier to the west must be maintained at all times.
b)	Southeast quadrant: Access shall be coordinated with the district supervisor Benjamin Kramer, c: (646) 879-6630
ii.	Staging Area: a staging area measuring forty-five feet by eighteen, for the storage of work vehicles, is permitted to be located in the northeast quadrant, as diagrammed in Attachment B. This area must be entirely outside of the bicycle path.
iii.	The area below active work is to be closed to the public. When necessary, the bicycle path shall be safely redirected to accommodate work. The path shall never be closed.","2016-09-14T00:00:00.000","2016-09-12T00:00:00.000","2016-09-23T00:00:00.000","2016-12-23T00:00:00.000","2017-04-17T00:00:00.000","2017-05-17T00:00:00.000","2017-09-22T00:00:00.000",,,,,,,,,,"2016-08-29T11:31:00.000","2019-11-05T15:29:00.000","40.821696, -73.958325"
"Bronx County Biennial Inspections - 174 Street Bridge over Starlight Park","2017-07-21T00:00:00.000","XB15.02 D031163","Bridge Inspections","X147A;","Starlight Park;","177 St and Devoe Ave","Bronx","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations","Access-Only",,"Presumed Complete",,,,,,,,,,,,,,,,"HNTB","2016-07-19T00:00:00.000","X147A.E.20160726",,,,,"2016-07-22T00:00:00.000",,"2016-08-01T00:00:00.000","2016-09-30T00:00:00.000",,,,,,,,,,,,,"2016-07-25T10:53:00.000","2019-11-05T15:29:00.000","40.835790, -73.880967"
"Borings and Test Pits in Squibb Park","2018-10-31T00:00:00.000",,"Borings and Test Pits in Squibb Park","B223F;","Squibb Park;","Columbia Heights & Middagh St","Brooklyn","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Borough Forestry;#Conservancy;#Revenue/Concession","Staging;#Excavation;#Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"E2 Project Management LLC","2018-11-08T00:00:00.000","B223F.20181128","2018-11-28T00:00:00.000","Approved","I18-050","i.	The fencing that is cut needs to be replaced to Parks specifications (i.e. 2 threads for any replaced bolts, passes inspection, etc.)
ii.	Parks requires 48 hours’ notice prior to work beginning on the test pits (if they are necessary). A tree work permit is also required for the test pits.","2018-11-28T00:00:00.000",,"2018-12-03T00:00:00.000","2019-01-31T00:00:00.000",,,"2019-01-31T00:00:00.000",,,,,,,,,,"2018-11-28T14:06:00.000","2019-11-05T15:29:00.000","40.700899, -73.995487"
"WO#KVWP-FN-19-01 (#98) from Maintenance Repair of Guide Rail Barrier, Fencing, Signs, and Other Roadside Appurtenances","2019-01-10T00:00:00.000","XM18.45 D263555","Repair and erection of anti-dumping fences at area directly south of a greenstreet that may or may not be State ROW, at East Drumgoole Rd. WO #98 per contractor.","RZ263;","GREENSTREET;","Drumgoole Rd E & Bradford Ave","Staten Island","Single Site","SDOT","Parkway/Arterial Improvement","Borough Horticulture","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-01-10T15:29:00.000","2019-11-05T15:11:00.000","40.531673, -74.201078"
"Removal and Disposal of Residuals from Collection Facilities Citywide","2018-05-02T00:00:00.000","1413-PS(R)","Sanitary Sewer Cleanouts","Q300;X111;","Kissena Corridor Park;Cedar Playground;","Colden St & Geranium Ave","Queens;#Bronx","Multi Borough","DEP","Sewer/Water Main","Borough Forestry;#Borough Operations;#Capital Projects","Access-Only;#Sidewalk Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,,,,"2018-06-19T00:00:00.000",,,,,,,,,,,,,,,,,,,,"2018-05-03T10:44:00.000","2019-11-05T15:29:00.000","40.746538, -73.817307"
"Queens Basketball Court Surface Rehabilitation at the Bronx Whitestone Bridge","2017-02-16T00:00:00.000","GFM-512","GFM-512 WO 10 - drainage repair for the basketball courts beneath the Bronx Whitestone bridge in Francis Lewis Park","Q126;","Francis Lewis Park;","3rd Avenue & 147th street","Queens","Single Site","MTA B&T","Park Improvement/New Park","Borough Operations;#Borough Forestry","Park Improvement","280000","Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Restani Construction Corporation","2018-04-18T00:00:00.000","CNYG.20180521","2018-05-17T00:00:00.000","Pending",,"i.	Contractor to provide two portable toilets (one standard and one ADA-accessible) for the duration of work in Francis Lewis Park. Toilets are to be cleaned a minimum of three times weekly during the duration of work in Francis Lewis Park.
ii.	Contractor must access the site through MTA right-of-way.","2018-05-17T00:00:00.000",,"2018-06-01T00:00:00.000","2018-12-31T00:00:00.000",,,,,,,,,,,,"2019-01-07T00:00:00.000","2018-05-21T13:53:00.000","2019-11-05T15:29:00.000","40.796000,-73.826000"
"Staging/Storage for Met Cloisters Greenhouse Project","2018-08-09T00:00:00.000",,"Staging/Storage for Met Cloisters Greenhouse Project","M029;","Fort Tryon Park;","Margaret Corbin Drive and Margaret Corbin Drive, Manhattan","Manhattan","Single Site","DCulA","Public Building","Borough Operations;#Conservancy",,,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"CNY Interiors LLC","2018-08-09T00:00:00.000","M029.20180821","2018-08-20T00:00:00.000","Not Required",,"•         No concrete pours can occur between September 29-31
•         During concrete pours, a flagger and signage is required both ways before the crosswalk directing people to the pedestrian paths
•         Parks needs at least 24 hours’ notice before each concrete pour
•         A flagger is required when the debris dumpster is in use
•         Debris dumpster must be covered and display a construction sign","2018-08-21T00:00:00.000",,"2018-08-23T00:00:00.000","2018-12-31T00:00:00.000",,,"2018-12-31T00:00:00.000",,,"2019-01-04T00:00:00.000",,,,,,,"2018-08-22T13:36:00.000","2019-11-05T15:29:00.000","40.865735, -73.931625"
"Test Trenches for Battery Playscape","2018-05-25T00:00:00.000",,"AKRF on behalf of Lower Manhattan Development Corporation is performing 9 test trenches in areas that will be disturbed by the Battery Playscape to determine the presence or absence of archaeological resources.","M005;","The Battery;",,"Manhattan","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Conservancy","Excavation",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"AKRF, Inc.","2018-05-25T00:00:00.000","M005.20180607","2018-06-11T00:00:00.000","Approved","WSP111MF18",,"2018-06-05T00:00:00.000",,"2018-06-11T00:00:00.000","2018-06-29T00:00:00.000",,"2018-06-29T00:00:00.000","2018-06-29T00:00:00.000",,,,,,,,,,"2018-06-05T15:50:00.000","2019-11-05T15:29:00.000","40.701905, -74.014545"
