"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SoBRO","New York","SoBRO","(718) 292-3113 x 7611","16+","361 125th Street
,  10027
(40.810931028148, -73.952894165867)",,,,,,,,,
"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","Henry Street Settlement Workforce Development Center","New York","Henry Street Settlement","212.478.5400 ext. 210","16 to 21","99 Essex Street
,  10002
(40.7184474156, -73.988301222787)","10002","40.718943","-73.988012","3","1","18","1087565","1004100064","Chinatown                                                                  "
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","Citizens Advice Bureau - Immigration Assistance Center","Bronx","Citizens Advice Bureau","718-365-0910","All Ages","1477 Townsend Ave
,  10452
(40.841513488175, -73.91566203729)","10452","40.841504","-73.915639","4","14","223","2098821","2028440021","West Concourse                                                             "
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training","Bronx","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","750 Astor Avenue
,  10467
(40.859547368358, -73.865559186365)","10467","40.859588","-73.865442","11","13","330","2050030","2043450029","Bronxdale                                                                  "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 77 I.S. 77","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","OST","976 Seneca Avenue
,  11385
(40.699542257957, -73.902227346824)","11385","40.699516","-73.90214","5","34","555","4085922","4035630023","Ridgewood                                                                  "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","YWCA of Queens","Flushing","YWCA of Queens","(718) 353-4553","16+","42 08 Parsons Boulevard
,  11355
(40.751299796948, -73.821478547897)","11355","40.758297","-73.819779","7","20","857",,,"Flushing                                                                   "
"After-School Programs","Out of School Time","P.S. 89 ELMHURST SCHOOL","Queens","The Child Center of New York (QCG) ","(718) 565-5702","Elementary","85 28 Britton Avenue
,  11373
(40.738710402563, -73.878351155182)","11373","40.745923","-73.880205","4","25","271","4037370","4015140001","Elmhurst                                                                   "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA POLO GROUNDS TOWERS","Manhattan","Alianza Dominicana @Polo Grounds Community Center","(212) 491-6127","6 and up","2975 Eighth Avenue
,  10039
(40.831340130132, -73.935802075638)","10039","40.830651","-73.936189","10","9","24302","1084520","1021060003","Central Harlem North-Polo Grounds                                          "
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrants","F.E.G.S. Brooklyn Resource Center [Program site]","Brooklyn","Federation of Employment and Guidance Services, Inc.","718-336-2836x330 ","Adult","938 Kings Highway
,  11233
(41.034599832155, -73.673688408394)","11223","40.607066","-73.962714","15","44","418","3177634","3066660112","Homecrest                                                                  "
"After-School Programs","Out of School Time","Health Sciences HS","Queens","Mt. Sinai School of Medicine","(718) 344-8753","High School","150 91 87th Road
,  11432
(40.71311535449, -73.792820999789)","11432","40.707527","-73.806412","8","24","236","4207510","4097070048","Briarwood-Jamaica Hills                                                    "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinatown Manpower Project, Inc","New York","Chinatown Manpower Project, Inc","(212) 571-1691 x 235","16+","70 Mulberry Street
,  10013
(40.716141909295, -73.999172809241)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 8 LUIS BELLIARD SCHOOL","Manhattan","The Childrens Aid Society","(212) 740-8655","Elementary","465 167th Street
,  10032
(40.838920516451, -73.936766910909)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Bedford Center 1","Brooklyn","The Salvation Army ","(718) 638-1607","OST","601 Lafayette Avenue
,  11216
(40.69002061869, -73.950384874986)","11216","40.68999","-73.95044","3","36","253","3049768","3017840011","Bedford                                                                    "
"After-School Programs","Out of School Time","Curtis HS","Staten Island","New York Center for Interpersonal Development","(718) 947-4122","High School","105 Hamiton Ave
,  10301
(40.626785508445, -74.096112910882)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 5 DR. RONALD MCNAIR SCHOOL","Brooklyn","SCO Family of Services","(718) 443-8527","Elementary","820 HANCOCK STREET
,  11233
(40.68566371434, -73.922649024062)","11233","40.685695","-73.922463","3","41","377","3039906","3014900001","Stuyvesant Heights                                                         "
"After-School Programs","Teen Action Program","Groundwork, Inc.","Brooklyn","Groundwork Inc,","718.346.2200 ext.127","13 to 21","595 Sutter Avenue
,  11207
(40.669143352764, -73.896938832627)","11207","40.669138","-73.896853","5","42","1156","3084058","3037530043","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Out of School Time","Samuel Field","Queens","Samuel Field YM & YWHA, Inc.","(718) 225-6750","High School","58 20 Little Neck Parkway
,  11362
(40.759074216602, -73.734300177111)","11362","40.761577","-73.723122","11","23","152902","4173029","4083520051","Douglas Manor-Douglaston-Little Neck                                       "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 8 - Luis Belliard School","New York","The Children's Aid Society","212-949-4917","A parent 16 Years Old or Older ","465 167 Street
,  10032
(40.838920516451, -73.936766910909)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","High School for Dual Language and Asian Studies","New York","Brooklyn Housing & Family Services, Inc.","(212) 941-0920"," High School","350 Grand Street
,  10012
(40.725538020863, -73.997896410591)","10002","40.716778","-73.989337","3","1","18","1005283","1004080030","Chinatown                                                                  "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA EASTCHESTER GARDENS","Bronx","Mosholu Montefiore @Eastchester Gardens Community Center","(718) 231-3894","6 and up","3016 Yates Avenue
,  10469
(40.869688693075, -73.854581726333)","10469","40.870125","-73.854588","11","12","348","2093503","2045810001","Allerton-Pelham Gardens                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","East Harlem High School","Manhattan","The Childrens Aid Society","(917) 286-1551","High School","130 101 Street
,  10029
(40.789401947441, -73.949527003948)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Mercy Center, Inc.","Bronx","Mercy Center, Inc.","(718) 993-2789 x 233","16+","377 145th Street
,  10454
(40.813855830175, -73.92035529273)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 149 THE DANNY KAYE SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","Elementary","700 Sutter Avenue
,  11207
(40.66970225634, -73.892808885889)","11207","40.669719","-73.892822","5","42","1158","3084348","3037740016","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Beacon","JHS 166","Brooklyn","East New York Development Corporation","718.257.7003","6 and up","800 Van Siclen Ave
,  11207
(40.660221698125, -73.885485457846)","11207","40.66011","-73.885387","5","42","1104","3097675","3043490050","East New York                                                              "
"After-School Programs","Out of School Time","P.S. 34 OLIVER H. PERRY SCHOOL","Brooklyn","School Settlement","(718) 599-9224","Elementary","131 NORMAN AVENUE
,  11222
(40.726143261064, -73.949669467641)","11222","40.726135","-73.949649","1","33","573","3065733","3026220028","Greenpoint                                                                 "
"After-School Programs","Out of School Time","Mott Haven Village Prep","Bronx","East Side House, Inc.","(718) 993-4719","High School","701 St Ann's Avenue
,  10455
(40.818360513934, -73.911009090951)","10455","40.81825","-73.91103","1","17","71","2001153","2023590240","Melrose South-Mott Haven North                                             "
"After-School Programs","Out of School Time","Bnos Bais Yaakov","Queens","Bnos Bais Yaakov","(718) 337-6000","Elementary","613 Beach 9th Street
,  11691
(40.60131428151, -73.745306950652)",,,,,,,,,
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Colony South Brooklyn Houses","Brooklyn","Colony South Brooklyn Houses","718-643-2930","14 to 24","297 Dean Street
,  11217
(40.684294153023, -73.982115834364)","11217","40.684309","-73.982192","2","33","39","3001188","3001910041","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Community Mediation Services","Queens","Brooklyn Housing & Family Services","(718) 523-6868"," High School","89 64 163rd Street
,  11432
(40.71311535449, -73.792820999789)","11432","40.70664","-73.798033","12","24","44601","4208888","4097610080","Jamaica                                                                    "
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Henry Street Settlement - Workforce Development Center ","Manhattan","Henry Street Settlement, Inc. ","212.766.9200","ESOL/Civics","99 Essex Street
,  10002
(40.7184474156, -73.988301222787)","10002","40.718943","-73.988012","3","1","18","1087565","1004100064","Chinatown                                                                  "
"After-School Programs","Out of School Time","El Puente Williamsburg","Brooklyn","El Puente De Williamsburg","(718) 387-0404","High School","211 4th Street
,  11211
(40.714638461899, -73.956997534348)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 105 - Blythebourne School","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","1031 59th Street
,  11219
(40.63300376502, -74.003813362768)","11219","40.632936","-74.00374","12","38","214","3140612","3057020001","Borough Park                                                               "
"After-School Programs","Out of School Time","Murry Bergtraum HS","Manhattan","YWCA of the City of New York (Main Branch)","(212) 964-9610","High School","411 Pearl Street
,  10038
(40.711348522879, -74.000800582114)","10038","40.711442","-74.000851","1","1","29","1001388","1001130100","Chinatown                                                                  "
