"ceqr","project_name","project_description","borough","lead_agency","url"
"06FDO001X","Construction of Rescue 3","To construct a new facility for Rescue 3 in the Bathgate section of the Bronx. It would be approx. 25,000 sq ft and would be 3 stories high.","Bronx","NYC Fire Department","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4778-06FDO001X"
"12DEP018M","Enhance BNR Process at Wards Island","Implement Supplemental; carbon addition to enhance BNR process at Wards Island.  #Wi-80","Manhattan","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8066-12DEP018M"
"06DCP088M","197-a Plan for the Eastern Section of Community Board 6","The proposed 197-a Plan has been prepared to address ongoing changes in the eastern portion of Community District 6, defined as the area bounded by East 59th and East 14th Streets, the East River and the west side of Second Avenue (for a distance of 100 feet west of Second Avenue). The proposed 197-a Plan focuses particular attention on areas where significant changes are anticipated.  These changes include the following: rebuilding of portions of the FDR Drive,  redevelopment of parts of the Bellevue Hospital and NYU Medical Center campus; decommissioning and redevelopment of the Con Edison Waterside properties on First Avenue between  East 35th and East 41st;  construction of a new UNDC building at the Robert Moses Playground site; construction of the Second Avenue Subway;  additional ferry service landings at 34th Street; and development of the Perlbinder site at 36-37th Streets on Second Avenue.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5019-06DCP088M"
"09BSA071Q","Meadow Park Rehabilitation & Health Care Center Expansion","Variance to permit an enlargement to a health care facility","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/6640-09BSA071Q"
"98DCP001Y","Docks for Gambling Vessels","An amendment to the text of Sec 12-10, 32-15, 32-18, 32-19, 32-23, 32-32, 42-14, 42-32, 62-211, and 62-731.","Citywide","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2045-98DCP001Y"
"14BSA009R","3858 Victory Boulevard","Special Permit (§73-126) to allow a medical office, contrary to bulk regulations (§22-14).  R3A zoning district.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9910-14BSA009R"
"18DCP026R","41 & 43 Ramblewood Avenue","Subdivide one zoning lot into two zoning lots.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13108-18DCP026R"
"13DCP101M","CREATED IN ERROR","This application, which is a modification of CEQR No. 07DCP057M, appears to have been filed incorrectly as a Type II action and assigned a new CEQR number, 13DCP101M.  The applicant was made aware of the error on March 6, 2013, and will be correcting the matter shortly.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9430-13DCP101M"
"15DEP009R","Replacement of Water Mains in Richmond Road and Arthur Kill Road",,"Staten Island","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10793-15DEP009R"
"15DOS012Y","DSNY Rule on Electronic Waste Recycling","DSNY is proposing rules that prohibit persons served by DSNY from placing out certain types of electronic waste for collection and disposal or recycling.  The rules would also generally prohibit persons from putting electronic waste at the curb for intended disposal at a solid waste management facility or hazardous waste management facility in the state.  The purpose is to complement the extended producer responsibility scheme for recycling such waste in the New York State Electronic Equipment Recycling and Reuse Act (2010).","Citywide","Department of Sanitation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11014-15DOS012Y"
"17TLC037X","NYM Medical Transportation Inc.","Establish a new livery business. The proposed location for the dispatch office is at 2809 Webster Avenue, Bronx, N.Y. 10458; the propose off-street parking location is at 2768 Webster Avenue, Bronx, N.Y. 10458.","Bronx","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13036-17TLC037X"
"17BSA054M","27 East 61st Street","Variance (§72-21) to permit the conversion and horizontal enlargement of an existing six-story mixed use building into a six-story commercial (UG 6) building contrary to ZR §33-122 (Maximum Permitted Floor Arear).  C5-1 (Madison Avenue Preservation District)","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12584-17BSA054M"
"16DEP036Q","Jamaica WWTP Implementation of Resiliency Measures","Following Hurricane Sandy, the New York City Department of Environmental Protection (DEP) determined that the Jamaica Wastewater Treatment Plant (WWTP) requires flood protection measures to withstand the risk of flood damage from extreme storm surge events and continued sea level rise.  DEP is proposing to construct a flood barrier around the electrical substation to increase the resiliency of the Jamaica WWTP.","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11519-16DEP036Q"
"11DCP148X","Williamsbridge/Baychester Rezoning","The Department of City Planning is proposing a zoning map amendment to change approximately 181 blocks in the Williamsbridge and Baychester neighborhoods from R4, R5, R6, R7-1 and C8-1 to R4A, R4, R5A, R5, R5D, R6, R6A, and R7A.  The rezoning area is generally bounded by the Bronx River to the west, Grenada Place, Needham Avenue, Marrola Place and the New England Thruway to the east, East 233rd Street to the north and East Gun Hill Road, and Lurting, Givan and Hammerseley Avenues to the south.","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7938-11DCP148X"
"16BSA106K","4180 Ocean Avenue","Special Permit (§73-622) for the enlargement of an existing two story single family home contrary to floor area, lot coverage and open space (ZR 23-141(b); and less than the required rear yard (ZR 23-47). R3-1 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12129-16BSA106K"
"10DCP040M","180 Orchard Street Temporary Public Parking Garage","Application for special permit, pursuant to Sections 13-562 and 74-52 of ZR, for the development of an attended 118-space public parking garage within a partially constructed building.  Construction on the site (approved and permitted as a hotel with an accessory parking garage) has ceased for the short-term future and the applicant seeks to use the already constructed below-grade parking area as a  temporary public parking garage.  Such use would be limited to a term of ten years.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7118-10DCP040M"
"16BSA133M","30 Thompson Street","Variance (§72-21) to allow for the development of a residential building (UG 2) contrary to ZR §42-00.  M1-5B zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12289-16BSA133M"
"12HPD034X","1750 Monroe Avenue (Block 2798 Lot 13)","Third Party Transfer Program (TPT).  The building is owned by Neighborhood Restore HDFC and is located at 1750 Monroe Avenue in the Bronx.  Through the TPT Program this property will be transferred to a non-profit owner during an interim management period after which time the building will be rehabilitated with HPD financing.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8529-12HPD034X"
"14CAS006K","1392 Bedford Avenue",,"Brooklyn","Department of Citywide Administrative Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10289-14CAS006K"
"15TLC019M","New Family Radio Dispatch","Relocation of a livery car service. The proposed dispatch office location is at 72 West 106 Street, New York, N.Y. 10025. The proposed locations for the off-street parking  are at 151 West 108 Street, New York, N.Y. and 143 West 108 Street, New York, N.Y. 10025.","Manhattan","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10827-15TLC019M"
"15DCP044R","381 Harold Avenue","The Applicant, Fred LaRocca, is seeking a certification pursuant to ZR Section 107-08 in conjunction with a subdivision of an existing zoning lot.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10737-15DCP044R"
