"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Signature Management Enterprises LLC","Signature Management Enterprises LLC","646 717-2046","daniel@usdgny.com","822 4th Avenue","664","37","Brooklyn","Commercial, hotel, new building","foundation, electric, elevators, plumbing, etc.","$13,500,000.00","2014-05-01T00:00:00.000","11232","Brooklyn 7","2021-09-26T09:18:55.000","40.658490","-74.000097","7","38","101","3009782","3006640037","Sunset Park West"
"Sobro Center LLC","Unger Realty Services, Inc.","718 543-8200","josepha@ungerrealty.com","2999-3001 Third Avenue","2376","51","Bronx","Commercial, alteration","hvac, plumbing, electric, etc.","$3,500,000.00","2019-03-15T00:00:00.000","10455","Bronx 1","2021-09-26T09:18:55.000","40.819141","-73.913883","1","17","67","2001397","2023760051","Melrose South-Mott Haven North"
"770 Broadway Owner LLC","Podell, Schwartz, Schechter & Banfield LLP","212 883-6518","pgreco@pssb-law.com","756-770 Broadway","554","1","Manhattan","Commercial, retail, alteration","electric, demolition, carpentry, concrete, masonry, flooring, archtectural metal, paint, fire alarm vendor, sprinkler, plumbing, abatement (acm removal), environmental consultant, hvac, etc.","$60,000,000.00","2019-07-15T00:00:00.000","10003","Manhattan 2","2021-09-26T09:18:55.000","40.730675","-73.992326","2","2","57",,,"West Village"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","208","2","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$4,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-09-26T09:18:55.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"Skillman Avenue Corp.","Unger Realty Services, Inc.","718 421-0812","josepha@ungerrealty.com","3302 Skillman Avenue","241","1","Queens","Commercial, Alteration","concrete, masonry, drywall, electrical, steel fire proofing, roofing, hvac, plumbing","$6,000,000.00","2018-03-19T00:00:00.000","11101","Queens 2","2021-09-26T09:18:55.000","40.746728","-73.931112","2","26","179","4003418","4002410001","Hunters Point-Sunnyside-West Maspeth"
"WI/BSREP III 390 Park LLC","Marcu & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","360 Park Avenue","1289","36","Manhattan","Commercial, retail, alteration","elevators, plumbing, hvac, electric, concrete, pavers, carpenters, painters, etc.","$54,301,711.00","2021-03-01T00:00:00.000","10022","Manhattan 5","2021-09-26T09:18:55.000","40.758531","-73.973011","5","4","102","1035713","1012880033","Midtown-Midtown South"
"Janus VII LLC","Unger Realty Services, Inc.","718 421-0812","josepha@ungerrealty.com","1361 Amsterdam Avenue","1967","40","Manhattan","Commercial, alteration","hvac, electric, plumbing, etc.","$5,000,000.00","2019-04-30T00:00:00.000","10027","Manhattan 9","2021-09-26T09:18:55.000","40.814216","-73.955640","9","7","21303","1081781","1019670040","Manhattanville"
"RAR2 - 405 Park LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","405 Park Avenue","1309","1","Manhattan","Commercial, alteration, addition of new space","Hoist, fence, demolition, concrete, foundation, brick fa̤ade, stone, ornamental iron work, carpentry, waterproofing, roofing, fireproofing, doors, frames, hardware, ceramic tile, painting, signage, plumbing, electrical, elevators, hvac, excavation, piles, improvements, bathroom accessories","$107,000,000.00","2019-04-01T00:00:00.000","10022","Manhattan 5","2021-09-26T09:18:55.000","40.759826","-73.972036","5","4","100","1036476","1013090001","Turtle Bay-East Midtown"
"OAC 550 Owner LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","550 Madison Avenue","1291","10","Manhattan","Commercial, retail, alteration","concrete, steel, electrical, carpentry, hvac, plumbing, sheetrock","$60,000,000.00","2017-02-01T00:00:00.000","10022","Manhattan 5","2021-09-26T09:18:55.000","40.761089","-73.973252","5","4","102","1035769","1012910010","Midtown-Midtown South"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","208","2","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$40,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-09-26T09:18:55.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"Staten Island Stages LLC","Lawrence J. Berger P.C.","212-532-0222","jfiedman@ljbpc.com","2911 Arthur Kill Road","7187","1","Staten Island","Commercial, alteration","A/C Units, bathroom, block, concrete, crane, doors, duct, electric, electric boards, elevator, floor, gates, joist, kitchen, roof, sidewalk, sound, steel, tile, waterproofing, windows","$20,000,000.00","2018-12-01T00:00:00.000","10309","Staten Island 3","2021-09-26T09:18:55.000","40.548258","-74.225183","3","51","226","5086719","5071870001","Charleston-Richmond Valley-Tottenville"
"730 Fifth Upper LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","730 Fifth Ave.","1272","1202","Manhattan","Commercial, hotel, alteration, addition to existing space","carpentry, sheetrock, electrical, hvac, plumbing, concrete, steel, masonry, general construction, etc.","$33,148,107.00","2018-05-01T00:00:00.000","10019","Manhattan 5","2021-09-26T09:18:55.000","40.762635","-73.974222","5","4","11201","1035053","1012727503","Midtown-Midtown South"
"RD Brooklyn LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","4510-4514 16th Avenue","5433","1001, 1002, 1003, 1004","Brooklyn","Commercial, retail, alteration","electric, hvac, plumbing, etc.","$2,500,000.00","2018-03-02T00:00:00.000","11204","Brooklyn 12","2021-09-26T09:18:55.000","40.633160","-73.983315","12","44","232","3320669","3054337502","Borough Park"
"flooring","ceiling","structural work","demolition","etc.'","$9,400,000.00","7/1/2018","10014","Manhattan 2",,,,,,"2021-09-26T09:18:55.000",,,,,,,,
"KNY 154 Property LLC","Park & Park LLP","718-313-0211","jspsquire@gmail.com","154-19 Northern Boulevard","5265","1","Queens","Commercial, retail, alteration, addition to existing space","Electric, plumbing, steel, foundation, etc.","$4,500,000.00","2018-11-15T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000","40.764623","-73.810726","7","19","1171","4119173","4052650001","Murray Hill"
"RD Brooklyn LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","1575 46th Street","5433","46","Brooklyn","Commercial, retail, new building","electric, hvac, plumbing, etc.","$3,200,000.00","2018-03-02T00:00:00.000","11204","Brooklyn 12","2021-09-26T09:18:55.000","40.633152","-73.984465","12","44","232","3128434","3054330046","Borough Park"
"QPP Clocktower LLC","Rosenberg & Estis PC","212 551-8484","dbernstein@rosenbergstis.com","29-27 Queens Plaza North","403","9","Long Island City","Commercial, residential, alterations","electric, carpentry, elevators, etc.","$17,813,100.00","2017-09-01T00:00:00.000","11101","Queens 1","2021-09-26T09:18:55.000","40.749915","-73.936630","1","26","33","4004872","4004030009","Queensbridge-Ravenswood-Long Island City"
"3108 Northern Blvd LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 687-3747","bgottlieb@twkwll.com","31-08 Northern Boulevard","239","105, 109, 150, 210","Queens","Commercial, new building","steel, framing, hvac, electrical, plumbing, sprinkler/standpipe, drywall, painting flooring, fire alarm, rough carpentry, masonry/concrete, millwork, windows, finishing, insulation, roofing, elevator/asphalt, foundation/excavation, doors/frames/hardware, facade","$29,500,000.00","2019-01-15T00:00:00.000","11101","Queens 1","2021-09-26T09:18:55.000","40.751669","-73.933507","1","26","171","4003414","4002390105","Hunters Point-Sunnyside-West Maspeth"
"RW 5901 Flatlands LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","5901 Flatlands Avenue","7763","12","Brooklyn","Commercial, new building","general contracting, concrete, plumbing, electrical, etc.","$3,000,000.00","2018-09-20T00:00:00.000","11234","Brooklyn 19","2021-09-26T09:18:55.000","40.631569","-73.919410","18","46","722","3254543","3077630012","Flatlands"
"Kar Hotel Owner","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","102-05 Ditmars Boulevard","1641","1","Queens","Hotel, alteration","electrical, carpentry, hvac, plumbing, elevators, etc.","$30,800,000.00","2017-12-31T00:00:00.000","11369","Queens 3","2021-09-26T09:18:55.000","40.768801","-73.868315","3","21","357","4040899","4016410001","East Elmhurst"
"Greenpoint Industrial Serivces, Inc.","Metropolitan Realty Exemptions, Inc.","718 387-3004","shaindy@mretax.com","305 Calyer Street","2580","1","Brooklyn","Commercial abatement, new building","concrete, steel, electrical, carpentry,  plumbing, mansory, fa̤ade, flooring","$5,835,000.00","2018-04-01T00:00:00.000","11222","Brooklyn 1","2021-09-26T09:18:55.000","40.729944","-73.947816","1","33","579","3000000","3025800001","Greenpoint"
"5 Bryant Park Property Investors IV, LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","5 Bryant Park aka 1065 Avenue of Americas","993","29","Manhattan","Commercial alteration, retail","Electrical, hvac, drywall, painting","$20,000,000.00","2018-12-31T00:00:00.000","10018","Manhattan 5","2021-09-26T09:18:55.000",,,,,,,,
"Park Row 23 Owners LLC","Seiden & Schein P.C.","212 935-1400","jayseiden@seidenschein.com","25 Park Row","90","7","Manhattan","Commercial, retail, new building","plumbing, concrete, electrical, etc.","$18,300,000.00","2017-10-01T00:00:00.000","10038","Manhattan 1","2021-09-26T09:18:55.000","40.711601","-74.007420","1","1","1501","1090475","1000907504","Battery Park City-Lower Manhattan"
"Alexander's Rego Shopping Center, Inc.","Boris Saks, Esq. PLLC","718 998 1800","boris@bsaksesq.com","9605 Queens Blvd","284","101","Queens","Retail, Alteration","Retail, Alteration","$19,000,000.00","2020-01-06T00:00:00.000","11374","Queens 6","2021-09-26T09:18:55.000","40.730170","-73.862416","6","29","71701","4050415","4020840101","Rego Park"
"140th Street Studios LLC","Robert S. Altman, Esq., PLLC","212 232-8713","rsalaw@nyctaxbreak.com","903 East 140th Street","2598","86","Bronx","Commercial, New Building","electrical, plumbing, hvac, etc.","$10,000,000.00","2020-03-31T00:00:00.000","10454","Bronx 1","2021-09-26T09:18:55.000","40.803675","-73.906567","1","17","19","2004049","2025980086","Mott Haven-Port Morris"
"31 Avenue Realty LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinator@verizon.net","56-02 31 Avenue","1134","1","Queens","Commercial, retail, new building","Electrical, plumbing, windows, doors, elevator, foundation, superstructure","$12,000,000.00","2017-07-01T00:00:00.000","11377","Queens 1","2021-09-26T09:18:55.000","40.757178","-73.905495","1","26","297","4025257","4011340001","Woodside"
"91-14 Merrick Blvd LLC","D'Agostino, Levine, Landesman & Lederman, LLP","212 564-9800","jvanvleet@dlpartnerlaw.com","165-19 Jamaica Avenue","9795","1","Queens","Commercial, alteration","Mechanical, HVAC, sprinkler, plumbing, electrical, fire alarm","$3,200,000.00","2021-03-15T00:00:00.000","11432","Queens 12","2021-09-26T09:18:55.000","40.705569","-73.794638","12","27","460","4209597","4097950001","Jamaica"
"Thor 280 Richards Street","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","270 Richards Street","612","150","Brooklyn","New building, industrial","hvac, electrical, plumbing, etc.","$55,000,000.00","2020-01-06T00:00:00.000","11231","Brooklyn 6","2021-09-26T09:18:55.000","40.673992","-74.014016","6","38","53","3000000","3006120150","Carroll Gardens-Columbia Street-Red Hook"
"609 5th Avenue Tenant LLC","Akerman LLP","212 822-2211","djuro.villaran-rokovich@akerman.com","609 Fifth Avenue","1284","1001, 1002","Manhattan","Commercial, retail, alteration","fa̤ade, hvac, electrical, plumbing, carpentry, painting, etc.","$21,500,000.00","2020-09-01T00:00:00.000","10017","Manhattan 5","2021-09-26T09:18:55.000","40.757816","-73.977711","5","4","94","1035448","1012847501","Midtown-Midtown South"
"Noble BX, LLC","MGNY Consulting Corp","718 522-1111","michael@mgnyconsulting.com","4511 Furman Avenue","5084","9","Bronx","Commercial, hotel alteration","electrical, carpentry,  plumbing, masonry, hvac, etc.","$6,000,000.00","2020-12-01T00:00:00.000","10470","Bronx 12","2021-09-26T09:18:55.000","40.899869","-73.852067","12","11","434","2071129","2050840009","Woodlawn-Wakefield"
"65-73 Eckford Realty LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","65 Eckford Street","2698","26","Brooklyn","Retail, Hotel, new building","electric, hvac, plumbing, elevators, etc.","$6,693,050.00","2017-04-15T00:00:00.000","11222","Brooklyn 1","2021-09-26T09:18:55.000","40.722017","-73.948068","1","33","499","3067535","3026980026","Greenpoint"
"Otsego LLC","MGNY Consulting Group","718 522-1111","michael@mgnyconsulting.com","151 Dwight Street","589","2, 6, 16, 106","Brooklyn","Commercial, industrial, new building","general contractor, electric, plumbing, hvac, etc.","$6,200,000.00","2019-04-01T00:00:00.000","11231","Brooklyn 6","2021-09-26T09:18:55.000","40.674505","-74.010833","6","38","53","3000000","3005890106","Carroll Gardens-Columbia Street-Red Hook"
"790 Allerton, LLC","Verrelli Law Firm","718 405-5657","averrelli@verrellilaw.com","790 Allerton Avenue","4439","81, 86, to be new lot 81","Bronx","New Building, commercial retail","hvac, electrical, plumbing, etc.","$3,100,000.00","2020-10-01T00:00:00.000","10467","Bronx 11","2021-09-26T09:18:55.000","40.865492","-73.863883","11","13","328","2051509","2044390081","Bronxdale"
"3005 GC LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","300 Grand Councourse","3310","72","Bronx","Commercial, new building","elevator, electrical, plumbing, hvac, etc.","$6,000,000.00","2020-04-01T00:00:00.000","10468","Bronx 1","2021-09-26T09:18:55.000",,,,,,,,
"361 Henry LLC","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","97-01 Northern Boulevard","1427","38","Queens","Commercial, new building","steel, electrical, plumbing, painting, carpentry, hvac, steel","$4,500,000.00","2019-01-01T00:00:00.000","11368","Queens 3","2021-09-26T09:18:55.000","40.757059","-73.871190","3","21","361","4035037","4014270038","East Elmhurst"
"JP Morgan Chase Bank, N.A.","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","525 Broadway","484","9","Manhattan","Commercial, alteration, retail","Electrical, carpentry, hvac, plumbing, mechanical, elevator, windows, roofing, concrete,, etc.","$10,000,000.00","2019-04-01T00:00:00.000","10012","Manhattan 2","2021-09-26T09:18:55.000","40.722797","-73.999015","2","1","49","1007248","1004840009","SoHo-TriBeCa-Civic Center-Little Italy"
"CG&J Realty LLC","Robert S. Altman, Esq., PLLC","212 232-8713","rsalaw@nyctaxbreak.com","137-61 Northern Boulevard","4960","29","Queens","Commercial, retail, hotel, new building","concrete, steel, electrical, carpentry, plumbing, masonry, flooring, etc.","$50,000,000.00","2019-08-01T00:00:00.000","11354","Queens 7","2021-09-26T09:18:55.000","40.763716","-73.829064","7","20","869","4112163","4049600029","Flushing"
"CS 119 West 145th Street","Anthony Como Associates","718 273-3080","kgray@nyrets.com","119 West 145th Street","2014","21","Manhattan","Industrial, commercial, new building","concrete, masonry, carpentry, roofing, metal, security, elevators, electrical, plumbing, etc.","$14,400,000.00","2018-12-01T00:00:00.000","10039","Manhattan 10","2021-09-26T09:18:55.000","40.820767","-73.936989","10","9","232","1060187","1020140021","Central Harlem North-Polo Grounds"
"422 Fulton Owner LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","422 Fulton St.","156","1202","Brooklyn","Commercial, new building","concrete, steel, electrical, carpentry, HVAC, plumbing","$135,000,000.00","2016-03-13T00:00:00.000","11201","Brooklyn 2","2021-09-26T09:18:55.000","40.690891","-73.985951","2","33","37","3335899","3001567502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Tamarisk Nassau Place, LLC","Marcus & Pollack, LLP","(212) 490-2900","jmarcus@marcuspollack.com","1 Nassau Place","7971","125","Staten Island","Commerical, new building","Concrete, Steel, Electrical, HVAC, Plumbing, and other trades to be determined by construction plan.","$44,985,236.00","2021-08-01T00:00:00.000","10307","Staten Island 3","2021-09-26T09:18:55.000","40.518674","-74.240139","3","51","248","5127083","5079710125","Charleston-Richmond Valley-Tottenville"
