Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
Bur. voor Objectief Onderzoek en Registratie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bureau Beke;;;;;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Bureau BlauwGeel B.V.;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;1;;;2
Bureau De Jong en de Jong;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Fris B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Bureau G.I.T.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Bureau Handschrift;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bureau Hoekstra Greve Mediation en Advisering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Bureau Lammers B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Liedeweijde B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Loopbaanverandering;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Maaiveld;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Mayet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
bureau MindsWare;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Bureau pAct;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Personal Development B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Rokus Loopik;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Schippers coaching en training;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Ten Bate;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Tromp B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Van de Wijngaart;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Bureau Van Vliet B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Veritas Industrial Services;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
Bureau Visschedijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Bureau Volzin B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;2
Bureau voor Kwaliteitszorg Zwolle B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Bureau voor Ongevraagd Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau voor Toegepast Veiligsheidsonderzoek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Bureau Zuidema B.V.;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Bureau-B.O.T. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
Bureautaal B.V.;;;2;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;2
Buren Dental B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Burger Coaching & Advies;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Burgers Arneym B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Burgers Zoo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BurgGolf Haverleij Den Bosch B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Burgman Security B.V.;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;1;1
Burleson Sports Office;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Burn Out Poli;;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Buro Acting;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Beneker;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Bestuursrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Buro Bis;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro de Goede;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro DSB zorg voor buitenkunst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Buro Grootswagers Communicatie&Spel;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Vermeer;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2
Buro voor Rij- en Verkeersveiligheid;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buromac B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Burotronic B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Bus' Handelmaatschappij B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2
Busch & Van der Worp;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Business Cars & Limousineservice;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Business Events Amsterdam;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Business Fashion;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Business Flash;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Business Graphics;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Business Marketing Services B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Business Talen Rotterdam B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BusinessGames.nl;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BusinessHosting.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Buurtboerderij Horeca B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buxkin B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
BuzzMaster B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;2
Bvba BENEDEN;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
BVO Opleidingen B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
BW Bedrijfsfitness B.V.;;;1;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2
Bwise B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
BWT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
BWT Nederland B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;1;1
ByDirk;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Bygo;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Byloth B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
Byou Centrum Holland;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
C & C Catering;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
C & F Sporting B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C & T Technics B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
C&C-raad B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C&O Travel Special Tours;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C. Aalders Expert. Centrum Mindf. en Zingev.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C. Cure B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
C. Mulckhuyse Bouw- en Aannemingsbedrijf B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1
C.C.W. van Grunsven t.h.o.d.n. High Tea & Co Grave;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.D. Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
C.D. van Leeuwen, huisarts;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.F.C. Taxi;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
C.G. Holthausen B.V.;;;;;;;;;;;;;;1;;;;;1;1;;1;;;;;;;;1;;;;;;1;1
C.G. Top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
C.I.C. Company B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.M.A. De Vries Beheer B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
C.V. Advies B.V.;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
C.V. Vastgoed Ankerplaats;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
C.V.A.B.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
C2B B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C2Results B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Cadac Group ISV B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Cadeau Concepten B.V.;;;4;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;4
Cadir Restaurant B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café 2005;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Berger Beheer;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Beurs;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Bolhuis;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Cafetariabedrijf 't Engeltje;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Colette B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Balie;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café de Bank;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Gekroonde Suikerbiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Café de Hertog-Jan Proeverij;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Hetebrij;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de kroeg;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de Kroeg eten & drinken;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Kroon;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Pimpelaar;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe de Rus;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de Schatkamer;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de Sjmeed;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Tijd - The Legends Sports Bar;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de Tram;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe de Unie;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe du Midi 'De Uylenburg';;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Groothuis;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Haags Filmhuis;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Hekking C.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Hier;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Kanters;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Kromme Knilles;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Lust;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Mano;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Maurickzicht;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Mulder;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Party Centrum 'De Deel';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Bokes;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Dauphine;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant De Beyerd;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Restaurant De Eendracht Abcoude B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant 'De Hoeve' B.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Restaurant De Rietstulp;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Restaurant 'De Vriendschap';;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant De Wits;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Luchthaven Lelystad;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Merz;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Piet Hein B.V.;;;1;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Cafe Restaurant Rootz B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Rootz B.V.;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;1;1
Café Restaurant Stelios;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Restaurant Vandaag B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Ristorante Claudio;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Salden;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Scorpio;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Sintermerte;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Smit&Voogt;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Studio Haarlem B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café 't Trefpunt;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Tapasbar Narbonne;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café Van Beek;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café van Eijk;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café van Uhm;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Verheyden;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Cafe Wouters;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Wouters;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café XO Haarlem B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Zomers & Zomers;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Zuid;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Cafe/Cafetaria 'Effe Om';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Café-Bar-Restaurant 'De Vriendschap';;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Amier B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant De Mol B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Café-Restaurant De Plantage B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant 'De Roskam' B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant 'De Soesterduinen' B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant De Veranda B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant d'Olde Heerd;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Hoogendam;;;;;1;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant New York Den Haag;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant 't Klukske B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafetaria De Violier;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Cafetaria IJssalon de Molenhoek;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Cafetaria Jimmy's;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafetaria Stap es in;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafetaria 't Lambertje;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Cafeteria/Lunchroom 't Eendje;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caffe 500;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CAG AMned B.V.;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;1;;;;;;;1
CAI-Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caiway;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;2;2
Caleidoscoop Leertrajecten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Calertho Bouwkunde B.V.;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;1;;;;;;;2
Caliz B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Caljouw-Rademaker Verhuizingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Calluna Tuindesign;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;;;1;2
Cambrium IT Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Camiel Mikily B.V.;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Caminando;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Camping en Recreatiecentrum Lauwersoog B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Camping Moekesgat B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Camuse;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Canal Company B.V.;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
CANAL DIGITAAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;2
Cannock Chase B.V.;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;1;;;1;1
Canon Nederland N.V.;;;;;;;;;;;;;;;;;1;;;;;;;3;;;1;;;;;;;;;;3
Canoy strafrechtadvocaatuur Leeuwarden;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cantina Mexicana B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cantine Katholieke Sportvereniging Broekhoven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Cantine Service;;;;;;;;;;;;;3;;;;;;2;1;;;;;;;;;;;;;;;;;4
Canton en Brugman;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Capabel Hogeschool;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Capabel Onderwijs Groep B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Caparis N.V.;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Capetown Rotterdam;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Capgemini Educational Services B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Capgemini Nederland B.V.;;;1;;4;;;;;;;;;;;;1;;;;;;;;;5;;;9;;;;;;;;9
Capo Cucina;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Capponsupport;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Capra advocaten;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;1
Carat Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;1
Caravanbedrijf De Schutskooi B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Carbonfilters B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
car-cleaners.nl;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Card ID Solutions;;;1;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;1
Card Vision B.V.;;;;;;;;;;;;;;1;;1;;;;1;;;;;1;;1;;;;;;;;;1;1
Cardan Mobility Services B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cardiologen Maatschap Rijnmond-Zuid;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cardiologie Treant BV;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Career Control F B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Carel Jacobs training & development;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CarePack Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1
CareSharing B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Carex Beheer B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Carglass B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Caribbean Association of Forensïc Sciences Ltd;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Carin Tiggeloven journalistieke producties;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caritas International VZW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Carl Michels Piano's;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Carl Zeiss B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1
Carloskappers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Carlson Wagonlit Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6
Carlton Ambassador Hotel B.V.;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
Carlton De Brug B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carlton Hotel Brussel B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carlton Hotels Nederland B.V.;;;2;;2;;1;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;;3
Carnegie-Stichting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Carolijn Winnubst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Caroline Bun Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caroni;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carpabizzgifts B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CARPEDIEM;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carpo Trainingen;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Carrello Pizza Express;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carthago ICT;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
CARU Containers B.V.;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;;;1;1
CARU Containers Rental B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Casablanca Variete;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
