UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
loon premie werknemersverzekering inhouding,http://standaarden.overheid.nl/owms/terms/loonpwvinh,X,,,,X,X,,K2,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wfsv_art_59,Artikel 59 Wet financiering sociale verzekeringen,https://wetten.overheid.nl/jci1.3:c:BWBR0017745&hoofdstuk=4&Paragraaf=1&artikel=59
loonbelasting,http://standaarden.overheid.nl/owms/terms/loonbelasting,X,,,,X,X,,K2,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_LB_art_1,Artikel 1 Wet op de loonbelasting 1964,https://wetten.overheid.nl/jci1.3:c:BWBR0002471&hoofdstuk=I&artikel=1
loonkostensubsidie,http://standaarden.overheid.nl/owms/terms/loonkostSub,,,,X,,X,,,,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/PW_art_10d,Artikel 10d Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&Paragraaf=2.1&artikel=10d
loonsuppletie,http://standaarden.overheid.nl/owms/terms/loonsuppl,X,,,,X,,,F4;B6,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WAO_art_65c,Artikel 65c Wet op de arbeidsongeschiktheidsverzekering,https://wetten.overheid.nl/jci1.3:c:BWBR0002524&hoofdstuk=IIB&artikel=65c
loophulpmiddel,http://standaarden.overheid.nl/owms/terms/loophulpmiddel,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.1
luchtkwaliteit,http://standaarden.overheid.nl/owms/terms/luchtkwaliteit,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wm_art_5_6,Artikel 5.6 Wet milieubeheer,https://wetten.overheid.nl/jci1.3:c:BWBR0003245&hoofdstuk=5&titeldeel=5.2&Paragraaf=5.2.1&artikel=5.6
luchtvaart geluidscertificaat,http://standaarden.overheid.nl/owms/terms/luchtvGeluidscert,X,,,,,X,X,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Besluit_luchtv_2008_art_14,Artikel 14 Besluit luchtvaartuigen 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0023922&hoofdstuk=5&artikel=14
luchtvaart geluidsverklaring,http://standaarden.overheid.nl/owms/terms/luchtvGeluidsverklaring,X,,,,,X,X,C5,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Besluit_luchtv_2008_art_15,Artikel 15 Besluit luchtvaartuigen 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0023922&hoofdstuk=5&artikel=15
luchtvaart voorvalmelding,http://standaarden.overheid.nl/owms/terms/luchtvVoorvalMelding,X,,,,X,X,,A2,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Reg_mld_voorv_burgerlv_art_3,Artikel 3 Regeling melden voorvallen in de burgerluchtvaart 2019,https://wetten.overheid.nl/jci1.3:c:BWBR0042397&artikel=3
luchtvaart voorvalmelding,http://standaarden.overheid.nl/owms/terms/luchtvVoorvalMelding,X,,,,X,X,,A2,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_376_2014_art_5,"Artikel 5 Verordening (EU) nr. 376/2014 van het Europees Parlement en de Raad van 3 april 2014 inzake het melden, onderzoeken en opvolgen van voorvallen in de burgerluchtvaart",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32014R0376&from=NL
luchtvaartregister,http://standaarden.overheid.nl/owms/terms/luchtvaartregister,X,,,,,X,X,C5,,,,,X,,,http://standaarden.overheid.nl/owms/terms/WLV_art_3_3,Artikel 3.3 Wet luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0005555&hoofdstuk=3&titeldeel=3.1&artikel=3.3
luchtvaartuig teboekstelling,http://standaarden.overheid.nl/owms/terms/luchtvaartuig_teboekstelling,X,,,,X,X,,C1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Kadw_art_92,Artikel 92 Kadasterwet,http://wetten.overheid.nl/jci1.3:c:BWBR0004541&hoofdstuk=6&titeldeel=1&artikel=92
maaltijdservice,http://standaarden.overheid.nl/owms/terms/maaltijdservice,,,,X,X,,,,,X,,,,,,,,
maatregel eindexamen beroep,http://standaarden.overheid.nl/owms/terms/maatrEindexBer,X,,,,X,,,E1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_2_63,"Wet voortgezet onderwijs 2020, art. 2.63",http://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=2&Paragraaf=5&artikel=2.63
maatschappelijke dienstverleningsubsidie,http://standaarden.overheid.nl/owms/terms/maatschappelijke_dienstverleningsubsidie,,,,X,,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
maatschappelijke zorgsubsidie,http://standaarden.overheid.nl/owms/terms/maatschappelijke_zorgsubsidie,,,,X,,X,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
machtiging voorlopig verblijf,http://standaarden.overheid.nl/owms/terms/machtVoorlVerbl,X,,,,X,,,D1;D4,,,,,,X,,http://standaarden.overheid.nl/owms/terms/VW_art_2p,Artikel 2p Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=1a&afdeling=2&Paragraaf=1&artikel=2p
mantelzorgcompliment,http://standaarden.overheid.nl/owms/terms/mantelzorgcompliment,,,,X,X,,,,,X,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_1_6,Artikel 2.1.6 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=1&artikel=2.1.6
mantelzorgondersteuning,http://standaarden.overheid.nl/owms/terms/mantelzorgondersteuning,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_2_2,Artikel 2.2.2 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=2&artikel=2.2.2
marktgelden,http://standaarden.overheid.nl/owms/terms/marktgelden,,,,X,,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/Gemw_art_229,Artikel 229 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&Paragraaf=3&artikel=229
marktmanipulatie of handel met voorwetenschap melding,http://standaarden.overheid.nl/owms/terms/mrktmanhandvwsmld,X,,,,X,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_596_2014_art_16,"Verordening (EU) Nr. 596/2014 van het Europees Parlement en de Raad van 16 april 2014 betreffende marktmisbruik (Verordening marktmisbruik), art.16",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32014R0596&from=EN#d1e2464-1-1
marktvergunning,http://standaarden.overheid.nl/owms/terms/marktvergunning,X,,,X,,X,X,N1,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Marktv_art_2,Artikel 2 Model Marktverordening,
mbo-studentenfonds,http://standaarden.overheid.nl/owms/terms/mboStudFonds,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_8_1_5,Artikel 8.1.5 Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=8&titeldeel=1&artikel=8.1.5
mbo-verklaring,http://standaarden.overheid.nl/owms/terms/mboVerklaring,X,,,,X,,,E1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_7_4_6a,Artikel 7.4.6a Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=7&titeldeel=4&Paragraaf=1&artikel=7.4.6a
mededelingen,http://standaarden.overheid.nl/owms/terms/mededelingen,,,,X,X,X,,,X,X,,,,,,,,
medicijnen mee op reis verklaring,http://standaarden.overheid.nl/owms/terms/medicOpReisVerkl,X,,,,X,,,A4;F2,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Opw_art_6,Artikel 6 Opiumwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001941&artikel=6
medisch dossier,http://standaarden.overheid.nl/owms/terms/medischDossier,X,,,,X,,,F1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_456,Artikel 456 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=7&afdeling=5&artikel=456
medisch haalbaarheidsonderzoek letselschade subsidie,http://standaarden.overheid.nl/owms/terms/medischHaalbOndLetSchSubs,X,,,,X,,,E4,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/RegSubsMedHaalbLets_art_2,Artikel 2 Regeling subsidiëring medische haalbaarheidsonderzoeken in letselschadezaken,https://wetten.overheid.nl/jci1.3:c:BWBR0018592&artikel=2
medisch specialistentitel,http://standaarden.overheid.nl/owms/terms/medspectitel,X,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Reg_specialisten_geneeskunst_art_1,Artikel 1 Regeling specialisten geneeskunst,https://wetten.overheid.nl/jci1.3:c:BWBR0009878&artikel=1
medisch vervoer,http://standaarden.overheid.nl/owms/terms/medVervoer,,,,X,X,X,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Zvw_art_10,Artikel 10 Zorgverzekeringswet,https://wetten.overheid.nl/jci1.3:c:BWBR0018450&hoofdstuk=3&Paragraaf=3.1&artikel=10
medische hulpmiddelen eisen,http://standaarden.overheid.nl/owms/terms/medhlpmiddeis,X,,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bmh,Besluit medische hulpmiddelen,https://wetten.overheid.nl/jci1.3:c:BWBR0007307
medische keuring,http://standaarden.overheid.nl/owms/terms/medKeur,X,,,,X,X,,B6,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wmk_art_1,Artikel 1 Wet op de medische keuringen,https://wetten.overheid.nl/jci1.3:c:BWBR0008819&artikel=1
meerderjarigheidsverklaring,http://standaarden.overheid.nl/owms/terms/meerderjarigheidsverklaring,X,,,,X,,,G1,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_253ha,Artikel 253ha Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=14&afdeling=2&Paragraaf=2a&artikel=253ha
meldcode huiselijk geweld en kindermishandeling,http://standaarden.overheid.nl/owms/terms/mldcdhuisgewkndmis,X,,,,X,X,,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Stb_2013_142,verplichte meldcode huiselijk geweld en kindermishandeling,https://zoek.officielebekendmakingen.nl/stb-2013-142.html
melding gemeentelijke antidiscriminatievoorziening,http://standaarden.overheid.nl/owms/terms/discrMeldGemVoorz,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_gem_antidiscr_art_1,Artikel 1 Wet gemeentelijke antidiscriminatievoorzieningen,https://wetten.overheid.nl/jci1.3:c:BWBR0026168&artikel=1
melding openbare ruimte (algemeen),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(algemeen),,,X,X,X,X,,,X,,,,,,,,,
melding openbare ruimte (groenvoorziening),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(groenvoorziening),,,,X,X,X,,,X,,,,,,,,,
melding openbare ruimte (straatmeubilair),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(straatmeubilair),,,,X,X,X,,,X,,,,,,,,,
melding openbare ruimte (straatverlichting),http://standaarden.overheid.nl/owms/terms/melding_openbare_ruimte_(straatverlichting),,,X,X,X,X,,,X,,,,,,,,,
meldpunt algemeen,http://standaarden.overheid.nl/owms/terms/meldpuntAlg,,X,X,X,X,X,,,,,,,,,,,,
meldpunt zorgfraude,http://standaarden.overheid.nl/owms/terms/meldpuntZorgfraude,X,,,,X,X,,F1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wmg_art_74,Artikel 74 Wet marktordening gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0020078&hoofdstuk=6&Paragraaf=6.1&artikel=74
mentorschap,http://standaarden.overheid.nl/owms/terms/mentorschap,X,,,,X,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_450,Artikel 450 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=20&artikel=450
meubelaanpassing,http://standaarden.overheid.nl/owms/terms/meubelaanp,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/j
