"project_no","title","county","school_district","census_tract","how_far_north","how_far_east","number","direction","name","suffix","location","completion_year_estimate","status","cost_in_millions_of_dollars","overall_classification_type","primary_project_type","primary_activity_type","primary_use_type","complex_project_type","complex_activity_type","complex_use_type","housing_sub_type","office_square_feet","retail_and_commercial_square_feet","industrial_warehouse_heavy_commercial_sq_ft","hotel_rooms","housing_units","description","developer","also_in_1983_to_1989_database","also_in_river_crown_plaza_housing_database"
"1930","Halls Relocation within Crown Center","Jackson","Kansas City","44","* 2,765,333","* 1,061,753","2450"," ","Grand","Av","2450   Grand Av","2014","Completed","* 10","Non-Residential","Building","Reconfiguration","Retail","Building","Reconfiguration","Retail"," ",,,,," ","move to create 60,000 sq. ft. department store","Halls","No","No"
"1248","Boulevard Brewing Expansion","Jackson","Kansas City","153","* 2,761,284","* 1,061,629","2501"," ","Southwest","Bl","2501   Southwest Bl","2003","Completed","* 4","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","several expansions to a brewery","Boulevard Brewing Co.","No","No"
"1337","Boulevard Brewing Expansion II","Jackson","Kansas City","153","* 2,761,284","* 1,061,629","2501"," ","Southwest","Bl","2501   Southwest Bl","2006","Completed","* 25","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","70,000 sq. ft. brewery expansion","Boulevard Brewing Co.","No","No"
"1743","Boulevard Brewing Expansion III","Jackson","Kansas City","153","* 2,761,284","* 1,061,629","2501"," ","Southwest","Bl","2501   Southwest Bl","2010","Completed","* 4","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$4 million expansion to industrial facility","Boulevard Brewing Co.","No","No"
"1833","Boulevard Brewing Expansion IV","Jackson","Kansas City","153","* 2,761,284","* 1,061,629","2501"," ","Southwest","Bl","2501   Southwest Bl","2011","Completed","* 3","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$3 million expansion to industrial facility","Boulevard Brewing Co.","No","No"
"2024","Boulevard Brewing Expansion V","Jackson","Kansas City","153","* 2,761,284","* 1,061,629","2501"," ","Southwest","Bl","2501   Southwest Bl","2015","Underway","* 12","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial"," ",,,,," ","$12 million expansion to industrial facility","Boulevard Brewing Co.","No","No"
"926","Argentine Connection","Jackson","Kansas City","153","* 2,758,339","* 1,060,653","2600"," ","Bi-State","Dr","2600   Bi-State Dr","2004","Completed","* 60","Other Capital Improvement","Infrastructure","New","Bridge","Infrastructure","New","Bridge"," ",,,,," ","new $24 million 0.8 mile Kansas City portion of a $60 million 2 mile viaduct to carry Kansas City Terminal Railway tracks over other tracks from near Southwest Boulevard to the Argentine Railyard in Kansas City, Kansas","Burlington Northern Santa Fe Railway","No","No"
"1116","Internal Revenue Service Center","Jackson","Kansas City","44","* 2,763,027","* 1,061,577","2500"," ","Washington","St","2500   Washington St","2006","Completed","* 370","Non-Residential","Building","New","Office","Building","New / Renovation","Office / Parking / Warehouse / Social Service"," ",,,,," ","new 1.14 million sq. ft. office complex, parking garages with 1,900 spaces, a 25,000 sq. ft. day care center, a pedestrian overpass to the north, plus renovation of existing buildings","DST Realty","No","No"
"1065","UMKC Health Sciences Center","Jackson","Kansas City","43","* 2,767,314","* 1,061,546","2421"," ","Holmes","St","2421   Holmes St","2009","Completed","* 50","Non-Residential","Building","New","Education","Building","New","Education"," ",,,,," ","new $50 million university building","UMKC","No","No"
"1799","Sea Life Kansas City at Crown Center","Jackson","Kansas City","44","* 2,765,532","* 1,061,538",,"E","25th","St","200A E 25th St","2012","Completed","* 15","Non-Residential","Building","Use Conversion","Entertainment","Building","Use Conversion","Entertainment"," ",,,,," ","conversion of retail space into 130,000-gallon aquarium","Merlin Entertainments Group","No","No"
"454","Quality Heights II Duplexes","Jackson","Kansas City","166","* 2,771,731","* 1,061,478","2000","E","24th","Te","2000 E 24th Te","1997","Completed","* 10","Residential","Building","New","Housing","Building","New","Housing","Duplex",,,,,"* 68","new construction of 68 duplex units","Kansas City Neighborhood Alliance","No","No"
"1774","Boys and Girls Club J. and D. Wagner Unit","Jackson","Kansas City","34","* 2,780,383","* 1,061,411","2405"," ","Elmwood","Av","2405   Elmwood Av","2011","Completed","* 3","Non-Residential","Building","Renovation","Recreation","Building","Renovation / Expansion","Recreation"," ",,,,," ","renovation and expansion of 39,000 sq. ft. recreation building","Boys and Girls Clubs of Greater Kansas City","No","No"
"1119","Ronald McDonald House Children's Mercy II","Jackson","Kansas City","43","* 2,766,754","* 1,061,333","2502"," ","Cherry","St","2502   Cherry St","2005","Completed","* 11","Residential","Building","New","Housing","Building","New","Housing","Group Quarters",,,,," ","new 30,000 sq. ft., 41-bed temporary residence for patients and their parents","Ronald McDonald House","No","No"
"950","31st St. Bridge at Wyandotte Replacement","Jackson","Kansas City","44","* 2,763,560","* 1,057,584",," "," "," ","       ","2007","Completed","* 4","City Capital Improvement","Infrastructure","Replacement","Bridge","Infrastructure","Replacement","Bridge"," ",,,,," ","$4 million bridge replacement","City of Kansas City, MO","No","No"
"423","Summit Office Renovation and Conversion","Jackson","Kansas City","153","* 2,761,306","* 1,061,225","2501"," ","West Pennway"," ","2501   West Pennway  ","2005","Completed","* 6","Non-Residential","Building","Use Conversion","Office","Building","Use Conversion / Renovation","Office"," ",,,,," ","use conversion and renovation to create office space in several existing buildings","Summit","No","No"
"1032","Beacon Hill Infrastructure","Jackson","Kansas City","162","* 2,769,247","* 1,061,222",," "," "," ","       ","2017","Underway","* 39","City Capital Improvement","Infrastructure","Replacement","Sidewalks","Infrastructure","Replacement","Sidewalks / Curbs / Lighting / Flood Control"," ",,,,," ","$39 million worth of improvements in sidewalks, curbs, lighgting, catch basisns, sewer lines and signage","City of Kansas City, MO","No","No"
"427","Liberty Memorial Restoration/Shell Expan.","Jackson","Kansas City","44","* 2,764,312","* 1,061,191","100","W","26th","St","100 W 26th St","2002","Completed","* 90","Non-Residential","Building","Renovation","Entertainment","Building","Renovation / Expansion","Entertainment"," ",,,,," ","restoration of the existing 140,000 sq. ft. structure and expansion of the museum shell","City of Kansas City, MO","No","No"
"1260","National World War I Museum","Jackson","Kansas City","44","* 2,764,312","* 1,061,191","100","W","26th","St","100 W 26th St","2006","Completed","* 26","Non-Residential","Building","Expansion","Entertainment","Building","Expansion","Entertainment"," ",,,,," ","finishing already built 33,000 sq. ft. expanded shell with museum","City of Kansas City, MO","No","No"
"650","2555 Grand Office Building","Jackson","Kansas City","44","* 2,765,269","* 1,061,087","2555"," ","Grand","Av","2555   Grand Av","2003","Completed","* 70","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 600,000 sq. ft. office building","Crown Center Redevelopment Corp.","No","No"
"1936","Ronald McDonald House Children's Mercy III","Jackson","Kansas City","43","* 2,766,884","* 1,061,014","2525"," ","Cherry","St","2525   Cherry St","2014","Completed","* 6","Residential","Building","New","Housing","Building","New","Housing","Group Quarters",,,,," ","new 21,000 sq. ft., 20-room temporary residence for patients and their parents","Ronald McDonald House","No","No"
"1923","I-35 Restoration - 21st to State Line","Jackson","Kansas City","153","* 2,762,097","* 1,060,904",," "," "," ","       ","2013","Completed","* 29","Other Capital Improvements","Infrastructure","Restoration","Road","Infrastructure","Restoration","Road"," ",,,,," ","$29 million highway restoration","Missouri Department of Transportation","No","No"
"439","Westside Business Park","Jackson","Kansas City","153","* 2,760,216","* 1,060,903","2600"," ","Southwest","Bl","2600   Southwest Bl","2002","Completed","* 35","Non-Residential","Building","New","Industrial","Building","New / Renovation","Industrial / Office / Warehouse"," ",,,,," ","business park with new 230,000 sq. ft. industrial building and renovation of existing buildings for industrial, warehouse or office use","DST Realty, Inc.","No","No"
"538","Martin Luther King Elderly Housing","Jackson","Kansas City","166","* 2,771,960","* 1,060,774","2525"," ","Euclid","Av","2525   Euclid Av","1993","Completed","* 7","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 108","conversion of hospital into 108 apartments for the elderly","Midwest Asset Management Group","No","No"
"1775","Martin Luther King Elderly Housing Renovation","Jackson","Kansas City","166","* 2,771,960","* 1,060,774","2525"," ","Euclid","Av","2525   Euclid Av","2010","Completed","* 8","Residential","Building","Renovation","Housing","Building","Renovation","Housing","Multifamily",,,,,"* 108","renovation of 108-unit apartment building for the elderly","Kansas City Housing Authority and Universal Management","No","No"
"542","Jesus Christ Latter Day Saints Church","Jackson","Kansas City","166","* 2,772,367","* 1,060,713","2530"," ","Brooklyn","Av","2530   Brooklyn Av","1999","Completed","* 4","Non-Residential","Building","New","Social Service","Building","New","Social Service"," ",,,,," ","new church","Church of Jesus Christ of Latter Day Saints","No","No"
"575","Longfellow Heights Residential I, II & III","Jackson","Kansas City","43","* 2,768,231","* 1,060,607","2600"," ","Harrison","St","2600   Harrison St","2001","Completed","* 23","Residential","Building","New","Housing","Building","New","Housing","Mix",,,,,"* 302","302 new garden apartments and townhomes","McCormack Baron and Assocs.","No","Yes"
"758","Hallmark MIS Renovation","Jackson","Kansas City","43","* 2,765,836","* 1,060,584","2601"," ","McGee","St","2601   McGee St","1994","Completed","* 6","Non-Residential","Building","Renovation","Office","Building","Renovation","Office"," ",,,,," ","$6 million office building renovation","Hallmark","No","No"
"1780","Roasterie Plant Expansion","Jackson","Kansas City","153","* 2,760,625","* 1,060,400","1204","W","27th","St","1204 W 27th St","2012","Completed","* 5","Non-Residential","Building","Expansion","Industrial","Building","Expansion","Industrial / Retail / Meeting Space"," ",,,,," ","$5 million expansion of manufacturing plant, including a 2,000 sq. ft. café and 3,000 sq. ft. event space","The Roasterie","No","No"
"288","2600 Grand Office Building","Jackson","Kansas City","44","* 2,764,882","* 1,060,362","2600"," ","Grand","Av","2600   Grand Av","1991","Completed","* 48","Non-Residential","Building","New","Office","Building","New","Office"," ",,,,," ","new 240,000 sq. ft. office building","Crown Center Redevelopment Corp.","Yes","No"
"1354","Residences at West Paseo","Jackson","Kansas City","162","* 2,769,773","* 1,060,355","2625"," ","West Paseo"," ","2625   West Paseo  ","2006","Completed","* 11","Residential","Building","Use Conversion","Housing","Building","Use Conversion","Housing","Multifamily",,,,,"* 46","conversion of former hospital to 46 housing units for senior citizens","Cohen-Esrey Development LLC","No","No"
"1814","Beacon Park Townhomes","Jackson","Kansas City","162","* 2,770,312","* 1,060,298","2621",,"Flora","Av","2621  Flora Av","2011","Completed","* 11","Residential","Building","New","Housing","Building","New","Housing","Multifamily",,,,,"* 45","45 new townhomes","Beacon Park Associates","No","No"
"1832","Leon Mercer Jordan Campus","Jackson","Kansas City","166","* 2,773,164","* 1,060,121","2640"," ","Prospect","Av","2640   Prospect Av","2015","Underway","* 74","Non-Residential","Building","New","Public Safety","Building","New","Public Safety"," ",,,,," ","new $74 million public safety campus with police station and 54,000 sq. ft. crime lab","City of Kansas City, MO","No","No"
"1871","Penn Valley Park Improvements","Jackson","Kansas City","44","* 2,763,206","* 1,060,034",," "," "," ","       ","2013","Completed","* 7","City Capital Improvement","Open Space","Upgrade","Recreation","Open Space / Infrastructure","Upgrade","Recreation / Road"," ",,,,," ","$7 million of park improvements, including brush removal, wall replacement, stone cleaning and repair, historic lighting, fountain improvements, island removal, fishing piers, better lake access, enhanced skate park, road realignment and traffic calming","City of Kansas City, MO","No","No"
"1894","Beacon Hill Grocery","Jackson","Kansas City","162","* 2,768,658","* 1,060,031","2631"," ","Troost","Av","2631   Troost Av","2015","Approved","* 12","Non-Residential","Building","New","Retail","Building","New","Retail"," ",,,,," ","new 35,000 sq. ft. grocery store","Hospital Hill Economic Development Corporation","No","No"
"1837","Colonnades At Beacon Hill Apartments","Jackson","Kansas City","162","* 2,769,463","* 1,060,010","1312","E","27th","St","1312 E 27th St","2015","Underway","* 6","Residential","Building","New","Housing","Building","New / Restoration","Housing","Multifamily",,,,,"* 30","30 apartments in new or restored buildings","Prairie Dog Development Company and Sparrow Community Development Corporation","No","No"
