Project No.,Title,County,Number,Direction,Name,Suffix,Completion Year Estimate,Status,Cost in Millions of Dollars,Overall Classification Type,Primary Project Type,Primary Activity Type,Primary Use Type,Complex Project Type,Complex Activity Type,Complex Use Type,Housing Sub-Type,Office Square Feet,Retail and Commercial Square Feet,Industrial / Warehouse / Heavy Commercial Sq. Ft.,Hotel Rooms,Housing Units,Description,Developer,Also in 1983 to 1989 Database?,Also in River-Crown-Plaza Housing Database?,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
1611,Sheraton Hotel Renovation,Jackson,9103,E,39th,St,2007,Completed,22,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,372,,$22 million renovation of 372-room former Adam's Mark Hotel,WPH Kansas City LLC,No,No,"9103 39th St
Kansas City, MO
(39.05242263600047, -94.47237165599967)",156,3,7,37
1433,Maple Woods Tornado Shelter,Clay,3100,NE,83rd,St,2007,Completed,3,Non-Residential,Building,Expansion,Public Safety,Building,Expansion,Public Safety, ,,,,,,new tornado shelter,Metropolitan Community Colleges,No,No,"3100 83rd St
Kansas City, MO
(39.24295878200047, -94.54353259699968)",164,6,4,135
476,Rockhurst High School Expan. and Renov.,Jackson,9301, ,Stateline,Rd,2007,Completed,30,Non-Residential,Building,Expansion,Education,Building,Expansion / Renovation,Education, ,,,,,,"$30 million of improvements, including expansion for physical education facilities, bleachers, science labs, classrooms, common areas, and a chapel; plus renovation and expansion of the gymnasium",Rockhurst High School,No,No,"9301 Stateline Rd
Kansas City, MO
(38.96003040000045, -94.60808485599966)",210,1,7,162
1402,Fire Station # 29 Renovation,Jackson,1414,E,63rd,St,2007,Completed,3,Non-Residential,Building,Renovation,Public Safety,Building,Renovation,Public Safety, ,,,,,,$3 million renovation of fire station,"City of Kansas City, MO",No,No,"1414 63rd St
Kansas City, MO
(39.013068260000466, -94.56910949099967)",64,2,7,165
1280,Vine Street Manor Senior Citizen Housing,Jackson,2300, ,Vine,St,2007,Completed,4,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,60,new 60-unit senior citizen apartment building,Vine Street Housing Corp.,No,No,"2300 Vine St
Kansas City, MO
(39.084581725000476, -94.56370621499968)",234,3,7,92
1391,Wheeler Airport Runway 1/19 Overlay & Safety Area,Clay,400,N,Richards,Rd,2007,Completed,39,City Capital Improvement,Infrastructure,Upgrade,Aviation,Infrastructure,Upgrade / Expansion,Aviation, ,,,,,,$39 million overlay of airport runway and expansion of safety area,"City of Kansas City, MO",No,No,"400 Richards Rd
Kansas City, MO
(39.121376592000445, -94.5884497139997)",241,4,4,167
1578,Brighton Hills Residential,Clay,8030,N,Drury,Av,2007,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Multifamily,,,,,31,31 multifamily units built since 2006, ,No,No,"8030 Drury Av
Kansas City, MO
(39.23777917900048, -94.5156760379997)",244,6,4,135
1174,Chinquapin Turn Single Family Homes,Jackson,7215, ,Larson,Av,2007,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,36,36 single family homes built since 1990, ,No,No,"7215 Larson Av
Kansas City, MO
(38.98818973700048, -94.43656813899969)",214,2,7,37
1413,College Basketball Experience,Jackson,1401, ,Grand,Av,2007,Completed,24,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 43,000 sq. ft. hall of fame, including 19,000 sq. ft. of exhibit space and a 3/4 length basketball court",National Association of Basketball Coaches,No,No,"1401 Grand Av
Kansas City, MO
(39.09709310800048, -94.58102819099969)",5,4,7,75
1278,One Park Place Condos (BMA Tower),Jackson,700,W,31st,St,2007,Completed,17,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,106,conversion of office building to 106 condos,SWD Communities,No,Yes,"700 31st St
Kansas City, MO
(39.07140753800047, -94.5936599319997)",238,4,7,92
1540,1728 Holmes Commercial and Residential Condos,Jackson,708,E,18th,St,2007,Completed,6,Residential,Building,Renovation,Housing,Building,Renovation / Expansion,Housing / Retail / Office,Multifamily,13000,13000,,,7,"renovation of 26,000 sq. ft. for condo commercial uses, and expansion by 21,000 sq. ft. for 7 residential condos",Priority Realty One,No,Yes,"708 18th St
Kansas City, MO
(39.09154842200047, -94.57513931999966)",11,4,7,92
1593,Intercontinental KC at the Plaza Hotel Renovation,Jackson,401, ,Ward,Pkwy,2007,Completed,15,Non-Residential,Building,Renovation,Lodging,Building,Renovation,Lodging, ,,,,366,,$15 million hotel renovation,Intercontinental KC at the Plaza Hotel,No,No,"401 Ward Pkwy
Kansas City, MO
(39.03973287200046, -94.5920751919997)",167,4,7,44
1523,Vine Street Place Single Family Homes,Jackson,2104, ,Garfield,Av,2007,Completed,6,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,32,32 single family homes built since 2003, ,No,No,"2104 Garfield Av
Kansas City, MO
(39.08667220800049, -94.55782562099967)",234,3,7,95
867,Ivanhoe Mixed Use,Jackson,3901, ,Woodland,Av,2007,Completed,3,Residential,Building,New,Housing,Building,New,Housing / Retail,Multifamily,,30000,,,100,"proposed for mixed use, including multifamily housing", ,No,No,"3901 Woodland Av
Kansas City, MO
(39.055468938000445, -94.5628356739997)",25,3,7,157
1708,Cold Storage & Ice Co. Bldg.,Jackson,416,E,3rd,St,2007,Completed,37,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,224,224 new multifamily units,Gary Hassenflu,No,Yes,"416 3rd St
Kansas City, MO
(39.110666050000475, -94.57951025399967)",71,4,7,75
1272,Copaken Stage,Jackson,25,E,13th,St,2007,Completed,7,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,new 320-seat theater,Kansas City Repertory Theatre,No,No,"25 13th St
Kansas City, MO
(39.19588957800045, -94.68350146299969)",,,3,77
1441,SmartPort ITS System,Jackson,, , , ,2007,Completed,4,Other Capital Improvement,Equipment,New,Transportation,Equipment,New,Transportation, ,,,,,,$4 million of new electronic equipment for a international freight management system,Kansas City SmartPort,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
908,KCI Consolidated Rental Car Facility,Platte,575, ,London,Dr,2007,Completed,90,Non-Residential,Building,New,Transportation,Building / Infrastructure,New,Transportation, ,,,152000,,,"new 152,000 sq. ft. consolidation of 10 rental car facilities","City of Kansas City, MO",No,No,"575 London Dr
Kansas City, MO
(39.30366311600045, -94.71135327999968)",203,5,3,130
1412,Music Hall Expansion / Renovation,Jackson,211,W,13th,St,2007,Completed,15,Non-Residential,Building,Expansion,Entertainment,Building,Expansion / Renovation,Entertainment, ,,,,,,"$15 million expansion of stage depth by 16 ft. and stage width by 10 ft. and renovation of seats, dressing rooms, rigging gear, curtains, plumbing and mechanical systems","City of Kansas City, MO",No,No,"211 13th St
Kansas City, MO
(39.09865369500045, -94.58603233499969)",5,4,7,72
1591,"12th St. Streetscape, Wyandotte to Locust",Jackson,, , , ,2007,Completed,3,City Capital Improvement,Infrastructure,Upgrade,Streetscape,Infrastructure,Upgrade,Streetscape, ,,,,,,"$3 million of streetscape improvements including streetlights, pedestrian lights, curbs, sidewalks, benches, trash receptacles and benches","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1417,Musician's Friend Distribution Center,Clay,4001,N,Norfleet,Rd,2007,Completed,45,Non-Residential,Building,New,Warehouse,Building,New,Warehouse, ,,,702000,,,"new 702,000 sq. ft. warehouse","Panattoni Development Co., Guitar Center, Inc.",No,No,"4001 Norfleet Rd
Kansas City, MO
(39.16614372000049, -94.42522149499968)",138,6,4,116
1479,Sanyo Warehouse Alterations,Clay,3608,N,Kimball,Dr,2007,Completed,6,Non-Residential,Building,Tenant Finish,Warehouse,Building,Tenant Finish,Warehouse, ,,,120000,,,tenant finish of warehouse building,Sanyo,No,No,"3608 Kimball Dr
Kansas City, MO
(39.157701845000474, -94.43975969999968)",138,6,4,89
1056,Bartle Hall Ballroom and Renovation,Jackson,301,W,13th,St,2007,Completed,189,Non-Residential,Building,Expansion,Meeting Space,Building,Expansion / Renovation,Meeting Space, ,,,,,,"$189 million convention facility 130,000 sq. ft. expansion and renovation including a new 46,000 sq. ft. ballroom and renovation of meeting rooms","City of Kansas City, MO",No,No,"301 13th St
Kansas City, MO
(39.0987243780005, -94.58717195899965)",5,4,7,72
953,Beardsley Bridge Replacement- 12th-17th,Jackson,, , , ,2007,Completed,6,City Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation,Bridge, ,,,,,,$6 million bridge rehabilitation,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1492,Holly Ridge Duplexes,Clay,7759,N,Mercier,St,2007,Completed,12,Residential,Building,New,Housing,Building,New,Housing,Duplex,,,,,80,80 duplex units built since 2005, ,No,No,"7759 Mercier St
Kansas City, MO
(39.23581661300045, -94.59293981099967)",59,5,4,154
1668,Dewey Park Single Family Homes,Jackson,3926, ,Wayne,Av,2007,Completed,3,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,18,18 single family units built since 2003, ,No,No,"3926 Wayne Av
Kansas City, MO
(39.054932400000496, -94.56524594699965)",25,3,7,165
811,The Fairways Single Family Homes,Clay,8600,N,Richmond,Av,2007,Completed,81,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,196,196 single family homes built since 1990,Hunt Midwest Real Estate Development,No,No,"8600 Richmond Av
Kansas City, MO
(39.24929519400047, -94.49010581999966)",244,6,4,152
1111,Interstate Bakeries Building,Jackson,, , , ,2007,Completed,2,Non-Residential,Building,New,Industrial,Building,New,Industrial, ,,,40000,,,new industrial building,Interstate Bakeries,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1262,Sprint Center Arena,Jackson,1401, ,Grand,Bl,2007,Completed,276,Non-Residential,Building,New,Entertainment,Building,New,Entertainment, ,,,,,,"new 18,500-seat arena with 72 suites and the National Collegiate Basketball Hall of Fame","City of Kansas City, MO",No,No,"1401 Grand
Bl Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1131,Police Academy,Clay,6901, ,Pleasant Valley,Rd,2007,Completed,30,Non-Residential,Building,New,Public Safety,Building / Infrastructure,New,Public Safety, ,,,,,,"new 100,000 sq. ft. police academy building, plus training courses","City of Kansas City, MO",No,No,"6901 Pleasant Valley Rd
Kansas City, MO
(39.2165737950005, -94.49869189199967)",187,6,4,135
923,Barry West Place - I Office Park,Platte,10900,NW,Barry,Rd,2007,Completed,40,Non-Residential,Building,New,Office,Building,New,Office / Retail, ,315000,30000,,,,"new 315,000 sq. ft. first phase of office park, and five retail shops",Bob Ryals,No,No,"10900 Barry Rd
Kansas City, MO
(39.24713978900047, -94.70705973199966)",203,5,3,130
1372,Bristol South Single Family Homes,Clay,812,NW,110th,St,2007,Completed,9,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,36,36 single family homes built since 2003, ,No,No,"812 110th St
Kansas City, MO
(39.293458273000454, -94.59065745399965)",180,5,4,82
1530,Benson Place Townhomes,Clay,8612,NE,98th,Ct,2007,Completed,21,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,172,172 townhouses built since 2002,Hunt Midwest Real Estate Development,No,No,"8612 98th Ct
Kansas City, MO
(39.27104687500048, -94.47655972699965)",244,6,4,152
1435,Cerner Data Center and Offices,Clay,3512,NE,33rd,Te,2007,Completed,60,Non-Residential,Building,New,Office,Building,New,Office, ,120000,,,,,"new 105,000 sq. ft. data center and 15,000 sq. ft. of other offices",Cerner Corp.,No,No,"3512 33rd
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1136,American Airlines Overhaul Base Renovation,Platte,11200,N,Apron,Rd,2007,Completed,67,Non-Residential,Building,Renovation,Heavy Commercial,Building,Renovation,Heavy Commercial, ,,,1100000,,,"$67 million renovation, including some environmental remediation",American Airlines,No,No,"11200 Apron Rd
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1487,Park View Apartments Conversion,Jackson,318,E,10th,St,2007,Completed,4,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing / Retail / Office,Multifamily,5000,5000,,,15,"Conversion to 15 apartments, 5,000 sq. ft. of office space and 5,000 sq. ft. of retail space",Nicholas Abnos,No,Yes,"318 10th St
Kansas City, MO
(39.10224837800047, -94.57897917599968)",5,4,7,75
1454,Graphic Arts Building Apartment Conversion,Jackson,208,W,10th,St,2007,Completed,11,Residential,Building,Use Conversion,Housing,Building,Use Conversion,Housing,Multifamily,,,,,58,conversion of former office building to 58 apartments,Dale Schulte,No,Yes,"208 10th St
Kansas City, MO
(39.10232702500048, -94.58567796499966)",5,4,7,72
1541,City Hall North Entrance Improvements,Jackson,414,E,12th,St,2007,Completed,4,Non-Residential,Building,Renovation,Office,Building,Renovation,Office, ,,,,,,"$4 million renovation, and improvements for fire safety, security and accessibility","City of Kansas City, MO",No,No,"414 12th St
Kansas City, MO
(39.09976822400046, -94.57760052299966)",5,4,7,75
1069,Tiffany Springs Auto Plaza,Platte,9650,NW,Prairie View,Rd,2007,Completed,35,Non-Residential,Building,New,Retail,Building,New,Retail, ,,210000,,,,seven new car dealerships,Wolfe Automotive Group,No,No,"9650 Prairie View Rd
Kansas City, MO
(39.269411205000495, -94.66700567899966)",203,5,3,130
1437,I-435 and Front Street Diverging Diamond Interchange,Jackson,, , , ,2007,Completed,6,Other Capital Improvement,Infrastructure,Reconfiguration,Road,Infrastructure,Reconfiguration,Road, ,,,,,,$6 million reconfiguration of highway interchange as a diverging diamond,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1439,Paseo Bridge Over Missouri River Improvements,Jackson,, , , ,2007,Completed,21,Other Capital Improvement,Infrastructure,Renovation,Bridge,Infrastructure,Renovation,Bridge, ,,,,,,$21 million of bridge improvements,Missouri Department of Transportation,No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1548,Starlight Theater Improvements - IV,Jackson,4600, ,Starlight,Rd,2007,Completed,3,City Capital Improvement,Infrastructure,Replacement,Entertainment,Infrastructure / Building / Open Space,Replacement / Expansion / Upgrade,Entertainment, ,,,,,,"new party pavilions and west entrance gate, upgraded offset seating and landscaping at Starlight Theater","City of Kansas City, MO",No,No,"4600 Starlight Rd
Kansas City, MO
(39.00825718100049, -94.5348882139997)",52,2,7,151
1434,Penn Valley Tornado Shelter,Jackson,3201, ,Southwest,Tfwy,2007,Completed,4,Non-Residential,Building,Expansion,Public Safety,Building,Expansion,Public Safety, ,,,,,,new tornado shelter,Metropolitan Community Colleges,No,No,"3201 Tfwy
Kansas City, MO
(39.06943904900049, -94.59461575099965)",85,4,7,50
1545,Tiffany Springs Parkway Extension to Amity,Platte,, , , ,2007,Completed,8,City Capital Improvement,Infrastructure,New,Road,Infrastructure,New,Road, ,,,,,,$8 million street extension,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1370,Staley Farms Townhomes,Clay,2114,NE,107th,Te,2007,Completed,18,Residential,Building,New,Housing,Building,New,Housing,Townhouses,,,,,42,42 townhomes built since 2004,Intell Staley Farms LLC,No,No,"2114 107th
Te Kansas City, MO
(39.52368635500045, -99.11415045099966)",,,,
1682,Dean Machinery Headquarters,Jackson,5701,E,87th,St,2008,Completed,63,Non-Residential,Building,New,Industrial,Building,New,Industrial / Warehouse, ,,,180000,,,"new 180,000 sq. ft. industrial and warehouse facility",Dean Machinery,No,No,"5701 87th St
Kansas City, MO
(38.96747323000045, -94.52351090699966)",139,2,7,151
1367,Village at Barrington Woods Duplexes,Clay,9828,N,Home,Av,2008,Completed,16,Residential,Building,New,Housing,Building,New,Housing,Mix,,,,,107,31 single family homes and 76 duplex units built 2004 to 2008,McBride and Son Homes KC LLC,No,No,"9828 Home Av
Kansas City, MO
(39.27101134300045, -94.45560633899964)",244,6,4,152
1647,City Homes Single Family,Jackson,503, ,Oak,St,2008,Completed,11,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,27,27 single family units built since 2007,George Birt and Taylor McKee,No,Yes,"503 Oak St
Kansas City, MO
(39.108921341000496, -94.57917815599967)",71,4,7,75
1574,Chiefs Office Bldg. and Training Facility Renovation,Jackson,4000, ,Wolfpack,Dr,2008,Completed,30,Non-Residential,Building,New,Office,Building / Infrastructure,New / Renovation,Office / Recreation, ,,,,,,"new 85,000 sq. ft. office building and renovation of training facility",Kansas City Chiefs,No,No,"4000 Wolfpack Dr
Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1380,North Creek Village Single Family Homes,Platte,12210,N,Pomona,Av,2008,Completed,19,Residential,Building,New,Housing,Building,New,Housing,Single Family,,,,,76,76 single family homes built since 2003,North Creek Partners,No,No,"12210 Pomona Av
Kansas City, MO
(39.31522298300047, -94.67037650799966)",203,5,3,133
1625,Freight House District Infrastructure & Streetscape,Jackson,, , , ,2008,Completed,5,City Capital Improvement,Infrastructure,Upgrade,Sewer,Infrastructure,Upgrade / Replacement,Sewer / Water Service / Streetscape, ,,,,,,"$4 million project to separate storm and sanitary sewers, add larger water mains, provide new curbs and sidewalks and add to street lighting","City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
1036,KCI Street Rehabilitation,Platte,, , , ,2008,Completed,15,City Capital Improvement,Infrastructure,Upgrade,Road,Infrastructure,Upgrade,Road, ,,,,,,$15 million of airport street improvements,"City of Kansas City, MO",No,No,"Kansas City, MO
(39.10295319700049, -94.5830775179997)",5,4,7,75
