"fiscal_year","service","department","program","revenue_category","recommended_amount","approved_amount","fund","fund_type","description","revenue_type"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Other Contributions","250000","250000","Parks and Recreation","Parks and Recreation","Contr For Park Maintenance","Other Contributions"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","213227","213227","Parks and Recreation","Parks and Recreation","Sports-Meet/Torn Etc","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Health and Medical Care","Special Projects","Miscellaneous Revenues","400000","400000","Health Levy","Health Levy","Miscellaneous Income","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","263216","263216","Convention and Tourism","Convention and Tourism","Space Rental Charges","Rental Income"
"2019","Finance and Governance","Finance","Finance Revenues","Service Charges-General Gov't","3691315","3691315","General Fund","General Fund","Adm Service Fees-Poll Ctrl Dep","Service Charges-General Gov't"
"2019","Finance and Governance","General Services","Facilities Management","Rental Income","0","0","General Fund","General Fund","Rent-Linwood Multi-Purp Ctr","Rental Income"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","115100","115100","Development Services","Development Services","Land Disturbance Permit Review","Service Charges-Public Safety"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","19039921","19039921","KC Airports","KC Airports","Landing Fees - PX - Sig","KCI Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","12000","12000","Golf Operations","Golf Operations","Other Rentals-Shoal Creek","Service Charges-Parks & Rec"
"2019","Public Safety","Municipal Court","Rehabilitative Services","Other Taxes","100000","0","Inmate Security","Inmate Security","Proceeds from the CID Sales Tax","Other Taxes"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","0","0","Convention and Tourism","Convention and Tourism","Utility Charges","Rental Income"
"2019","Finance and Governance","General Services","Facilities Management","Miscellaneous Revenues","80920","80920","General Fund","General Fund","Sale Of City Real Estate","Miscellaneous Revenues"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-Public Safety","13754","13754","Development Services","Development Services","Application-Contractors Lic","Service Charges-Public Safety"
"2019","Public Safety","Fire","Emergency Operations","Service Charges-General Gov't","3486225","3601553","General Fund","General Fund","Reimb Fire Protect Serv-KCI","Service Charges-General Gov't"
"2019","Finance and Governance","Finance","Finance Revenues","Sales Tax-Redirection","-3971400","-3971400","Public Mass Transportation","Public Mass Transportation","Sales Tax - Contra","Sales Tax-Redirection"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Housing Oppor for Persons With Aids","Housing Oppor for Persons With Aids","HOPWA - HUD Grant","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","Federal Grants","0","0","Housing Oppor for Persons With Aids","Housing Oppor for Persons With Aids","HOPWA - HUD Grant","Federal Grants"
"2019","Finance and Governance","Finance","Finance Revenues","Service Charges-General Gov't","4076580","4076580","General Fund","General Fund","Adm Service Fees-Aviation Dept","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","301315","301315","Governmental Grants Fund","Governmental Grants Fund","STD Program","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","0","0","Governmental Grants Fund","Governmental Grants Fund","Refugee Health Screening","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","600","600","General Fund","General Fund","Tow Truck Drivers Application","Licenses & Permits"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Golf Course Operations","Service Charges-Parks & Rec","28000","28000","Golf Operations","Golf Operations","Beer Sales-Blue River","Service Charges-Parks & Rec"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Development Services","Service Charges-General Gov't","0","0","Arterial Street Impact Fee","Arterial Street Impact Fee","North Oak Devel Impact Fee","Service Charges-General Gov't"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","State Grants","0","0","Neighborhood Grants","Neighborhood Grants","Mo Emergency Shelter Grant","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","State Grants","0","0","Neighborhood Grants","Neighborhood Grants","Mo Emergency Shelter Grant","State Grants"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","Long Range Planning and Preservation","Miscellaneous Revenues","0","0","Development Services","Development Services","Miscellaneous Income","Miscellaneous Revenues"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","201269","201269","Governmental Grants Fund","Governmental Grants Fund","05 Mch Education","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Health","Health Revenues","State Grants","81400","81400","Governmental Grants Fund","Governmental Grants Fund","Perinatal Hepatitis B","State Grants"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","1220000","1220000","KC Airports","KC Airports","Prop Rent - Maint & OH Facilty","KCI Airport"
"2019","Public Safety","Municipal Court","Correctional and Security Services","Service Charges-General Gov't","82372","82372","Inmate Security","Inmate Security","Bio Metric Service Fee","Service Charges-General Gov't"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","Service Charges-Downtown Airport","9405000","9405000","KC Airports","KC Airports","Rental Car Concession Fees","Service Charges-Downtown Airport"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","State Grants","100000","100000","General Fund","General Fund","Bruce R Watkins Cultural Arts","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","7000","7000","Parks and Recreation","Parks and Recreation","Budd Pool-Concessions","Service Charges-Parks & Rec"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Cultural Facilities","State Grants","0","0","Parks and Recreation","Parks and Recreation","Bruce R Watkins Cultural Arts","State Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Services","Licenses & Permits","1100","1100","General Fund","General Fund","Salvage Yard Insp  Fees & Permits","Licenses & Permits"
"2019","Finance and Governance","Finance","Finance Revenues","Utility Taxes - Contra","11400","11400","STIF Linwood Shopping Center","STIF Linwood Shopping Center","Power and Light Co-Emerg Contra","Utility Taxes - Contra"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","62000","62000","Convention and Tourism","Convention and Tourism","Miscellaneous Charges","Rental Income"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Rental Income","158010","158010","Water","Water","Rent Of Misc Bldgs & Lots","Rental Income"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","06 Emergency Shelter-Fed HUD","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","06 Emergency Shelter-Fed HUD","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","06 Emergency Shelter-Fed HUD","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","06 Emergency Shelter-Fed HUD","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","NHS Revenues","Federal Grants","0","0","Neighborhood Grants","Neighborhood Grants","06 Emergency Shelter-Fed HUD","Federal Grants"
"2019","Neighborhoods, Housing, and Healthy Communities","Neighborhoods and Housing Services","Neighborhood Preservation","Service Charges-Public Safety","1000","1000","General Fund","General Fund","Nuisance Abatement Fees","Service Charges-Public Safety"
"2019","Planning, Zoning, and Economic Development","Convention and Entertainment Facilities","Convention and Entertainment Facilities","Rental Income","142576","142576","Convention and Tourism","Convention and Tourism","Arena User Fees","Rental Income"
"2019","Planning, Zoning, and Economic Development","City Planning and Development","City Planning Revenues","Federal Grants","0","0","Brownfields Revolving","Brownfields Revolving","Brownfields Coalition Haz Sub","Federal Grants"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Interest","0","0","Sewer","Sewer","Int On Invest Pni-Series 92","Interest"
"2019","Transportation and Infrastructure","Water Services","Water Revenue","Service Charges-Sewer","873113","873113","Sewer","Sewer","Independence Sewer Serv Charge","Service Charges-Sewer"
"2019","Planning, Zoning, and Economic Development","Aviation","Aviation Revenues","KCI Airport","332850","332850","KC Airports","KC Airports","Transportation-Livery Service","KCI Airport"
"2019","Finance and Governance","Finance","Finance Revenues","Other Taxes","7200","7200","STIF Brush Creek-Blue Pkwy Town Center","STIF Brush Creek-Blue Pkwy Town Center","EAT-Zoo","Other Taxes"
"2019","Neighborhoods, Housing, and Healthy Communities","Parks and Recreation","Community Services","Service Charges-Parks & Rec","48054","48054","Parks and Recreation","Parks and Recreation","Ice Rink-Lessons","Service Charges-Parks & Rec"
