"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"COL DE LA UNIVERSIDAD COOPERATIVA DE COLOMBIA","AV CARACAS 38 27","3323565 EXT 1142/1216","GLADYS CRUZ DE CEDIEL",,"gladyscruz5@yahoo.es"
"GIMN INF SAN CAMILO GISAC","CR. 105 H NO. 70 D - 49 ","4318271","MAGNOLIA RODRIGUEZ GONZALEZ",,"gisacedu@hotmail.com"
"GIMN DEL CORAZON DE MARIA                                                                           ","KR 57 A 73 24","2400012 -- 2502460","CARMEN ROSA RODRIGUEZ DE BOYACA ",,"girazoma@starmedia.com"
"GIMN INDOAMERICANO                                                                                  ","KR 10 25 60 SUR"," 2391404 / 2783664                                ","CARLOS JOAQUIN SILVA ALVAREZ",,"gindoamericano@hotmail.com                        "
"GIMN LOS SAUCES                                                                                     ","KR 88 I 51 C 15 SUR","7842752 / 7838395 /  7838388","MARIA HILDA SEGURA  DE ROSAS",,"gimsau@hotmail.com                                "
"GIMN SANTANA DEL NORTE                                                                              ","KR 58 130 A 78","6245937","YAQUELINE SANTANA GALEANO",,"gimsantana@santanadelnorte.edu.co"
"GIMNASIO MODERNO PASOS Y HUELLAS SAS","DG 6 D BIS 78 B 04","2927801 -- 3103305684","MARTHA ROCIO RAMOS RAMOS",,"gimsabiduria@yahoo.es"
"GIMN PSICOPEDAG SUBA                                                                                ","KR 105 C 133 A 22","6883628 / 6883582                                 ","MARIA ISABEL FRANCO SUAREZ",,"gimpsuba@live.com"
"GIMN PSICOPEDAG PERSONALIZADO E INTEGRAL                                                            ","KR 73 A 10 B 82","2923032 / 2647100 / 2649429                       ","MARTHA PATRICIA PEREZ HERRERA",,"gimpsicopedagogico@gmail.com"
"GIMN PRESENCIA DEL DIVINO NIÑO                                                                      ","CL 11 73 A 06","4119570 -- 4242204","BLANCA NELIDA ROMERO CELEITA",,"gimprediv@hotmail.com"
"GIMN PASCAL                                                                                         ","CL 171 # 93 - 35 KM 2.5 VÍA COTA ","6815501 / 6841645","JOAQUIN ALBERTO URBINA MORENO",,"gimpascal@hotmail.com                             "
"GIMNASIO MODERNO SAN FRANCISCO  EL TINTAL ","CL 6 D 90 51","8052542","RAUL LEON CARREÑO",,"gimosft@hotmail.com"
"GIMN MODERNO LA CUMBRE                                                                              ","KR 112 B 75 D 02","4311486","NUBIA MAGDALENA ISAZA MORENO",,"gimolacumbre@yahoo.es"
"GIMNASIO NUESTRA SEÑORA DE LA ESPERANZA","DG 45 B SUR 8 30 ESTE","3641973 -- 8123572","ADRIANA ALBUJA SANTOS",,"gim.nuestrasenoradelaesperanza@gmail.com"
"GIMNASIO PIERRE FAURE","KR 15 BIS 188 A 11","6729396","YANETH RODRIGUEZ COY",,"gimnpierrefaure@hotmail.com"
"GIMN MI BELLA INFANCIA                                                                              ","KR 54 4 45","2608869","LUZ FANNY HIDALGO BELLO",,"gimnmbi@hotmail.com"
"GIMN IMPERIAL IGNACIA CAMACHO DE CIFUENTES                                                          ","CR. 84 NO.55-17 SUR","7770501","NIDYA GISETH CIFUENTES REYES",,"gimnimperial@uole.com                             "
"GIMNASIO YACARD","KR 65 170 85","6718305 -- 6704554 ","YANEDT DE LOS ÁNGELES CARDOZO LÓPEZ ",,"gimnasioyacard@yahoo.es"
"GIMN OXFORD                                                                                         ","CL 152 20 75","2746515","SANDRA MARCELA ROMERO AVILA",,"gimnasioxford@hotmail.com"
"GIMN VILLAMARIN                                                                                     ","CL 31 B SUR 15 B 12","2788896 -- 3614657","BLANCA AURORA SOLARTE VILLAMARIN",,"gimnasio_villamarin@hotmail.com"
"GIMNASIO TALENTOS","CL 1 31 C 30","2471252","CARLOS URIEL CHAVES QUINTERO",,"gimnasiotalentos@gmail.com"
"GIMN SANTO ANGEL","CL 23 B 81 A 95","4105519 -- 2955772","CLAUDIA PATRICIA LOPEZ SANCHEZ",,"gimnasiosantoangel@gmail.com"
"GIMN INF SAN LUIS REY                                                                               ","KR 77 BIS 69 A 66","4341961 /7597646","CONSUELO GUASCA JIMENEZ",,"gimnasiosanluisrey@hotmail.com                    "
"GIMN SAN ANGELO                                                                                     ","CL 223 53 63","6686555","MARIA ISABEL ALVAREZ ISAZA",,"gimnasiosanangelo@hotmail.com - mariaisabelalvarez@gsa.edu.co"
"GIMN PSICOPEDAG REYES GOMEZ                                                                         ","TR. 72 NO.12B-83","4112101","RUTH ELIDIA REYES",,"gimnasioreyesgomez@hotmail.com                    "
"GIMN PUCIARRELLI","CL 70 B 107 A 42","2290054 -- 2290059","MARIA PILAR CEPEDA CASTILLO",,"gimnasiopuciarrelli@yahoo.es"
"GIMNASIO INFANTIL PAULO FREIRE","CL 66 74 17","4361102 /  2234135  /2529225","RUTH STELLA DULCEY ORDOÑEZ",,"gimnasiopaulofreire@yahoo.com                     "
"GIMNASIO OBREGON                                                                                 ","CL 62 BIS SUR 67 19","2385969 -- 7283773 -- 8058390 -- 2307326","LUIS ORLANDO GAMBOA PEREIRA",,"gimnasioobregon@yahoo.es -- gimnasiobregon@gmail.com"
"GIMN NUEVO MODELIA                                                                                  ","TV 73 A 24 C 85","7447295/96                                    ","LUZ DIANA REYES ALONSO",,"gimnasionuevomodelia@hotmail.com"
"GIMN NUEVA VILLA MAYOR                                                                              ","TV 34 BIS 40 B 92 SUR","2041951 -- 5103453","OLGA CECILIA RAMIREZ ROA",,"gimnasionuevavillamayor@gmail.com"
"GIMN NUEVA COLOMBIA DE SUBA                                                                         ","KR 91 130 C 41","6820181 -- 6831201","MARIA OLIVA AFRICANO MORALES",,"gimnasionuevacolombia@hotmail.com"
"GIMN DEIVS                                                                            ","CR.   59 NO. 173-82","6711342","JULIA PATRICIA DEVIS ESTRADA",,"gimnasionanita@yahoo.com                          "
"GIMN MODERNO SUMMERHILL                                                                             ","CL 74 B 110 C 34","4314780  /4346322","LUZ MARINA GUTIERREZ GUERRERO",,"gimnasiomsummerhill@hotmail.com                   "
"GUARD JARD INF MOUNT SINAI                                                                          ","KR 25 40 60","7878863","ISABEL CRISTINA LIZARAZO FLOREZ",,"gimnasiomountsinai@hotmail.com"
"GIMNASIO MONTREAL","KR 92 156 89","6815934 / 6805479","CLAUDIA PATRICIA QUIROGA BOCANEGRA",,"gimnasiomontreal@hotmail.com"
"GIMN MONTEVERDE                                                                                     ","KR 13 145 A 26","2583397 -- 6254618","ROSA ELENA PRADA CORDERO",,"gimnasiomonteverde@yahoo.com"
"GIMNASIO PEDAGOGICO MARIA MONTESSORY","KR 114 A 152 B 67","6026204","VERUSKA TATIANA CORTES CASTILLO",,"gimnasio.montessory@gmail.com"
"GIMN MODERNO JHON NEPER                                                                             ","KR 110 BIS 65 23","4428226","AURORA PILAR VILLAMIL",,"gimnasiomodernojhonneper@hotmail.com"
"GIMN MARROQUIN CAMPESTRE                                                                            ","AK 7 170 B 62","6772937 -- 6775314","JOSE AUGUSTO CASTIBLANCO GARCIA",,"gimnasiomarroquincampestre@hotmail.com"
"GIMN LOS PIRINEOS                                                                                   ","KR 103 D 84 29","2293390 / 2282508                                 ","WILSON SILVA",,"gimnasiolospirineos@hotmail.com                   "
"GIMN LAS AMERICAS                                                                                   ","TV 71 C 5 B 15","4475218 -- 5643256","RUBEN JOAQUIN BOTIA BOHORQUEZ",,"gimnasiolasamericas8@hotmail.com"
"GIMN LA CUSPIDE (ANTIGUO JARD INF PERSONITAS DEL MAÑANA)","IND KM.7 VÍA SUBA - COTA VEREDA CHORRILLOS","6806527 / 6809840","MARIA TERESA POSADA DE VERGARA",,"gimnasiolacuspide@gmail.com   nuevogimnasiolacuspide@gmail.com"
"GIMN LA CLARITA                                                                                     ","CL 71 B 83 34","2521015  TELEFAX7598450","LIC LUIS FERNANDO GUIJO GOMEZ",,"gimnasiolaclarita24@hotmail.com"
"GIMN LA CAMPIÑA                                                                                     ","CL 131 109 B 54","5360774 / 6970008                                 ","JOHN EUZKADY DIAZ GARZON",,"gimnasiolacampiña@yahoo.es                        "
"GIMNASIO KAIPORE CENTRO DE DESARROLLO TEMPRANO                                                      ","DG 113 55 79","2532223 / 2716476","DIANA CUERVO CRIALES",,"gimnasiokaipore@hotmail.com"
"GIMN JEAN PIAGET CIUDAD MODELIA","KR 77 35 A 25","2632665","MARIA DEL PILAR GARCIA",,"gimnasiojeanpiaget@hotmail.com  gimnasiojeanpiaget@gmail.com                    "
"GIMN INF MODERNO                                                                                    ","KR 80 C 25 B 04","4870986","CLAUDIA ACERO VALDERRAMA",,"gimnasioinfantilmoderno@hotmail.com"
"GIMN HENRY FAYOL                                                                                    ","AK 15 135 B 04","6265447 -- 2748169 -- 3002748169","KAROLINA PALENCIA SANCHEZ",,"gimnasiohenryfayol@hotmail.com"
"GIMN GRANADINO                                                                                      ","KR 16 38 18","2323198 / 2323199                                 ","ANGELA SOCORRO RODRIGUEZ DE AYALA",,"gimnasiogranadino@hotmail.com"
"GIMN GARDER                                                                                         ","TV 5 I 48 B 25 SUR","2057109 -- 7145644","VIVIAN LILIBETH YARA RODRIGUEZ",,"gimnasiogardner@hotmail.com"
"GIMN FELIX (GIMN SABER DEL NILO)                                                                    ","CL 63 A 105 G 33","4355245","NOHORA ISABEL CASALLAS VARGAS",,"gimnasiofelix286@hotmail.com"
"GIMN EL RENUEVO","CL 167 62 54","6725031 -- 6782796","CLAUDIA MONTALVO ESCOBAR",,"gimnasioelrenuevo@yahoo.com"
"GIMNASIO FRAY MARTÍN DE PORRES","CL 86 BIS 89 B 28","2524448 -- 5365235 -- 3213447762","MARTHA AURORA GARZON RAMIREZ",,"gimnasioelimperio@yahoo.com"
"GIMN EDUCARTE","CR. 22 NO.49-08","2458380 / 5738535","MARLENY BOHORQUEZ VARGAS",,"gimnasioeducarte@gmail.com"
"GIMNASIO MODERNO DEL PRADO","KR 88 38 A 18 SUR","4944936","MADELBA SEGURA BARRERA",,"gimnasiodelprado@gmail.com"
"GIMN CULT SANTA RITA                                                                                ","KR 152 A 138 D 05","5380814","HERMES MENESES CUNCANCHON",,"gimnasioculturalsantarita@tutopia.com"
"GIMN CULTURAL MIXTO                                                                                 ","KR 17 BIS 63 B 13","7901095","ROCIO ZOQUE MORENO",,"gimnasioculturalmixto@hotmail.com"
"GIMN CRISTIANO LUZ Y VIDA                                                                           ","CL 35 B SUR 86 D 16","4508793 -- 2657092","FELIX EDINSON ANGEL ACUÑA",,"gimnasiocristianoluzyvida@gmail.com"
"GIMN COMERCIAL LOS ANDES","CL 52 A SUR 37 05","7552646 -- 7552645","LUIS ENRIQUE TORRA ROJAS",,"gimnasiocomerciallosandes@hotmail.com"
"JARD INF GIMN CASTELLO                                                                              ","CL 127 B 46 07","6251850","ADRIANA CASASBUENAS SALAVARRIETA",,"gimnasiocastello@yahoo.es"
"GIMN CULT EL ARTE DEL FUTURO                                                                        ","KR 82 A 34 A 11","2953225","DALGY GIOMARA NEGRETE DIAZ",,"gimnasiocamelot@hotmail.com"
"GIMN CACERES                                                                                        ","CL 73 SUR 80 I 37","7777989 -- 7773247","LUZ AMANDA TUNJO BELLO",,"gimnasio_caceres@hotmail.com"
"GIMN BOYACA                                                                                         ","KR 27 45 A 63","2441903 -- 2683149 ","NELSON EDUARDO BUSTOS RODRIGUEZ",,"gimnasioboyaca1945@hotmail.com -- admin@gimnasioboyaca.edu.co"
"GIMN BOSQUES DEL NOGAL                                                                              ","KR 130 132 A 72","6905231","MARY LUZ RODRIGUEZ ALVAREZ",,"gimnasiobosquesdelnogal@gmail.com -- g.m.n_13@hotmail.com"
"GIMNASIO SUR ATLANTA","CL 59 SUR 48 G 90","7187840","MARÍA DORIS FAJARDO BELTRAN",,"gimnasio.atlanta@hotmail.com -- amarcelagonzalez@gmail.com"
"GIMNASIO ANDINO","KR 28 51 A 20","7011304","MARILUZ TROMPETERO SARAY",,"gimnasio_andino@hotmail.com -- gimnasioandinobogota@hotmail.com"
"GIMN ANTONIO ARBOLEDA                                                                               ","TR. 96 NO.88A-09 INT. 106-108","2281530   2280408                                 ","BLANCA BARRERO RODRIGUEZ",,"gimnasioacademicoabadia@tutopia.com               "
"GIMN SAN JOSE                                                                                       ","KR 13 A BIS 27 A 21 SUR","2723525","ELBA LUZ LIZARAZO DE USSA ",,"gimnasanjose@hotmail.com                          "
"GIMN MIX MANUEL DEL SOCORRO RODRIGUEZ                                                               ","CLL. 157BIS NO. 94-05","6839499 / 6856054                                 ","VICTOR SALAS VARGAS",,"gimmaso@yahoo.com                                 "
"GIMN PSICOPEDAG MARIA ISABEL                                                                        ","DG 5 70 C 12","2608602","PEDRO RODRIGUEZ MORENO",,"gimmariaisabel@007mundo.com                       "
"GIMN LOMAS DEL VALLE (ANTES OSO MELOSO)","AC 116 71 83","2534687","IRMA NUBIA SAAVEDRA DE SALAZAR",,"gimlomasdelvalle@hotmail.es"
"GIMN JULIO GARAVITO                                                                                 ","DG 62 G SUR 70 F 17 CS 19","7769277","ANA FIDELIGNA VILLAMIL NIETO",,"gimjuliogaravito@hotmail.com                      "
"GIMNASIO INFANTIL DA VINCI","CL 143 A 127 D 42",,"BROCHERO GONZALEZ LIGIA",,"giminfantildavinci@hotmail.es"
"GIMNASIO LA FONTAINE","KR 74 F 59 A 16 SUR","6958187  --  7771743","LUZ NELLY FORERO REYES",,"gimfontaine.lac@gmail.com"
"GIMNASIO INFANTIL FEDERICO FROEBEL","CL 32 SUR 52 A 54","7100349","SANDRA MILENA MENDEZ",,"gimfedebel@hotmail.com"
"GIMN MODERNO EL BOSQUE                                                                              ","KR 107 BIS 70 F 04","4358090","MARTHA PATRICIA VANEGAS MORALES",,"gimelbosque@hotmail.com                           "
"GIMN CULT LIBERTAD                                                                                  ","KR 7 A 153 31","6745738","PABLO ALEJANDRO CASALLAS JEREZ",,"gimculiber@yahoo.com"
"GIMN CAMPESTRE LA SABANA                                                                            ","CL 64 A 81 A 61","2510626 / 4360162                                 ","SANDRA JEANNETTE CRUZ MUÑOZ",,"gimclasabana@hotmail.com"
"GIMNASIO CASTILLO DEL SABER","CL 187 15 88","4785625 -- 6724021","ELSA ADELINA MUÑOZ VELOZA",,"gimcastillodelsaber@hotmail.com"
"GIMN MARTIN GALEANO                                                                                 ","KR 87 73 D 21 SUR","7764274","ALICIA MERCHAN M.",,"gimarga2005@hotmail.com"
"GIMN MANOS UNIDAS                                                                                   ","CL 41 B SUR 3 A 62 ESTE","2061470 -- 3626577","MARGARITA DEL CARMEN ARDILA ALDANA",,"gimanosunidas@hotmail.com"
"GIMN LOS ANDES                                                                                      ","AC 209 45 80","6761129","APOLINAR MENDOZA MUÑOZ",,"gimandes@gimandes.edu.co - leonordelgado2@yahoo.es"
"GIMNASIO MODERNO ALEXANDER SUTHERLAND","CL 4 53 B 31","4948439","MONICA VIVIANA SUAREZ GOMEZ",,"gimalsutherland05@hotmail.com"
"GIMNASIO MATERNO INFANTIL CLAUDIA JESUS","KR 94 H 83 19","4345780 -- 5350142","ALBA NELLY GUERRON VALLEJO",,"gimainfclaje@hotmail.com"
"GIMNASIO ACADEMICO AMOR BONDAD Y CIENCIA","CL 127 D BIS 88 C 07","6817906 -- 3124572820","DAYRA INGRID GARZÓN SALAMANCA",,"gimabc2011@hotmail.com"
"GIMN COLOMBIANO DEL SUR                                                                             ","KR 23 63 A 15 SUR","7152732 / 7153603                                 ","ABSALON CHAVERRA BERMUDEZ",,"gicosur@007mundo.com  gicosur@etb.net.co                             "
"GIMN INF GUATIQUIA                                                                                  ","CL 59 A SUR 45 D 02","7151827","RUBIELA ANGEL GALVIS",,"gguatiquia@gmail.com"
"GIMN GENERACION DEL FUTURO                                                                          ","KR 114 152 D 63","6240917/ 6240918  /5386348","CLAUDIA FERNANDA PARRA CAMACHO",,"ggfuturo@hotmail.com   generaciondelfuturo@hotmail.com                             "
