"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"Public Engagement Feedback Survey","Ongoing through Saturday, December 31, 2022, 11:55pm","2022-03-01T15:00:00.000","2023-01-01T00:55:00.000","Edmonton",,,"Online",,"Survey","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d158484064",,"158484064",,,"Public Engagement|External","https://www.edmontoninsightcommunity.ca/c/a/5s1tuJqXNNoBog1lZT0XDd","Surveys and Focus Groups",,"Public Engagement Feedback",,"We are always seeking ways to improve Public Engagement in the City of Edmonton. We ask for you to take roughly 5 minutes to complete a very quick survey on our services.We want to hear from you. Please share your thoughts about the public engagement activity you recently participated in. <a href=""https://www.edmontoninsightcommunity.ca/c/a/5s1tuJqXNNoBog1lZT0XDd"" target=""_blank""><strong>Give your feedback here</strong></a>",
"Edmonton Folk Music Festival","Thursday, August 4 - Sunday, August 7, 2022","2022-08-04T00:00:00.000","2022-08-08T00:00:00.000","Edmonton","6070","Cloverdale","Gallagher Park","tbc","Concerts / Performances,Festivals,Major Events,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d158027651","Other","158027651","www.edmontonfolkfest.org for information www.frontgatetickets.com for tickets","7804291999","City of Edmonton|Festivals","http://www.edmontonfolkfest.org",,"Music Festival",,"Line up announced and tickets available spring 2022.","Beginning in 1980 with one staff and 300 volunteers, the Edmonton Folk Music Festival has grown and matured to become one of the leading folk festivals in the world. Now boasting a volunteer force of over 2700, the festival is a charitable not-for-profit society dedicated to bringing in the best of folk music from Edmonton, Canada, and around the world.",
"Agenda Review Committee","Tuesday, September 20, 2022, 9 - 9:30am","2022-09-20T08:00:00.000","2022-09-20T09:30:00.000","Edmonton",,,"City Hall, Mayor's Boardroom, 2nd Floor",,"City Council Committee Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240831",,"157240831",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Committee Meeting",,"Agenda Review Committee",,,
"City Council (Non-regular)","Wednesday, September 14, 2022, 9:30am - 5pm","2022-09-14T08:30:00.000","2022-09-14T17:00:00.000","Edmonton",,,"City Hall, Council Chamber, 2nd Floor",,"City Council Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240830",,"157240830",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Meeting",,"City Council (Non-regular)",,"<strong>Please note:</strong> City Hall is open to the public at reduced capacity. Members of the public may choose to participate at Council and Committee meetings in person or remotely. Those participating in person are required to wear face coverings at all times while in City Hall, including while speaking (per Temporary Mandatory Face Coverings Bylaw 19408). <font>The public is invited to view in-progress meetings online via the Agenda, <a href=""http://councilontheweb.edmonton.ca/#cc"" target=""_blank""><strong>Council on the Web</strong> </a>or <a href=""https://www.youtube.com/channel/UCvNVcW_fAV0J8qXOEzomycg"" target=""_blank""><strong>City Council&#39;s YouTube Channel</strong></a>. </font><br /><br /><br /><em><font>*In order to avoid overloading the streaming service, please open live web streaming before the meeting begins.</font></em>",
"City Council Public Hearing","Tuesday, September 13, 2022, 1:30 - 9:30pm","2022-09-13T12:30:00.000","2022-09-13T21:30:00.000","Edmonton",,,"City Hall, Council Chamber, 2nd Floor",,"City Council Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240827",,"157240827",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Meeting",,"City Council Public Hearing",,"<strong>Please note:</strong>&nbsp;City Hall is open to the public at reduced capacity. Members of the public may choose to participate at Council and Committee meetings in person or remotely. Those participating in person are required to wear face coverings at all times while in City Hall, including while speaking (per Temporary Mandatory Face Coverings Bylaw 19408).&nbsp;<font><font>The public is invited to view in-progress meetings online via the Agenda, <a href=""http://councilontheweb.edmonton.ca/#cc"" target=""_blank""><strong>Council on the Web</strong> </a>or <a href=""https://www.youtube.com/channel/UCvNVcW_fAV0J8qXOEzomycg"" target=""_blank""><strong>City Council&#39;s YouTube Channel</strong></a>.&nbsp;</font></font><br /><br /><em><font>*In order to avoid overloading the streaming service, please open live web streaming before the meeting begins.</font></em>",
"Agenda Review Committee","Tuesday, September 13, 2022, 9 - 9:30am","2022-09-13T08:00:00.000","2022-09-13T09:30:00.000","Edmonton",,,"City Hall, Mayor's Boardroom, 2nd Floor",,"City Council Committee Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240813",,"157240813",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Committee Meeting",,"Agenda Review Committee",,,
"City Council","Monday, September 12, 2022, 9:30am - 5pm","2022-09-12T08:30:00.000","2022-09-12T17:00:00.000","Edmonton",,,"City Hall, Council Chamber, 2nd Floor",,"City Council Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240781",,"157240781",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Meeting",,"City Council",,"<strong>Please note:</strong>&nbsp;City Hall is open to the public at reduced capacity. Members of the public may choose to participate at Council and Committee meetings in person or remotely. Those participating in person are required to wear face coverings at all times while in City Hall, including while speaking (per Temporary Mandatory Face Coverings Bylaw 19408).&nbsp;<font>The public is invited to view in-progress meetings online via the Agenda, <a href=""http://councilontheweb.edmonton.ca/#cc"" target=""_blank""><strong>Council on the Web</strong> </a>or <a href=""https://www.youtube.com/channel/UCvNVcW_fAV0J8qXOEzomycg"" target=""_blank""><strong>City Council&#39;s YouTube Channel</strong></a>. </font><br /><br /><br /><em><font>*In order to avoid overloading the streaming service,&nbsp;please open live web streaming before the meeting begins.</font></em>",
"Audit Committee (non-regular)","Wednesday, September 7, 2022, 12:15 - 1:15pm","2022-09-07T11:15:00.000","2022-09-07T13:15:00.000","Edmonton",,,"City Hall, Council Chambers, 2nd Floor",,"City Council Committee Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240776",,"157240776",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Committee Meeting",,"Audit Committee",,"<strong>Please note:</strong>&nbsp;City Hall is open to the public at reduced capacity. Members of the public may choose to participate at Council and Committee meetings in person or remotely. Those participating in person are required to wear face coverings at all times while in City Hall, including while speaking (per Temporary Mandatory Face Coverings Bylaw 19408).&nbsp;<font>The public is invited to view in-progress meetings online via the Agenda, <a href=""http://councilontheweb.edmonton.ca/#cc"" target=""_blank""><strong>Council on the Web</strong> </a>or <a href=""https://www.youtube.com/channel/UCvNVcW_fAV0J8qXOEzomycg"" target=""_blank""><strong>City Council&#39;s YouTube Channel</strong></a>. </font><br /><br /><br /><em><font>*In order to avoid overloading the streaming service,&nbsp;please open live web streaming before the meeting begins.</font></em>",
"Executive Committee","Wednesday, September 7, 2022, 9:30am - 5pm","2022-09-07T08:30:00.000","2022-09-07T17:00:00.000","Edmonton",,,"City Hall, Council Chamber, 2nd Floor",,"City Council Committee Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240769",,"157240769",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Committee Meeting",,"Executive Committee",,"<strong>Executive Committee meeting will be held in Council Chamber today to accommodate public speakers.</strong><br /><br /><br /><strong>Please note:</strong>&nbsp;Members of the public may choose to participate at Council and Committee meetings in person or remotely..&nbsp;<font>The public is invited to view in-progress meetings online via the Agenda, <a href=""http://councilontheweb.edmonton.ca/#cc"" target=""_blank""><strong>Council on the Web</strong> </a>or <a href=""https://www.youtube.com/channel/UCvNVcW_fAV0J8qXOEzomycg"" target=""_blank""><strong>City Council&#39;s YouTube Channel</strong></a>. </font><br /><br /><em><font>*In order to avoid overloading the streaming service,&nbsp;please open live web streaming before the meeting begins.</font></em>",
"Urban Planning Committee","Tuesday, September 6, 2022, 9:30am - 5pm","2022-09-06T08:30:00.000","2022-09-06T17:00:00.000","Edmonton",,,"City Hall, Council Chamber, 2nd Floor",,"City Council Committee Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240768",,"157240768",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Committee Meeting",,"Urban Planning Committee",,"<strong>Please note: </strong>City Hall is open to the public at reduced capacity. Members of the public may choose to participate at Council and Committee meetings in person or remotely. Those participating in person are required to wear face coverings at all times while in City Hall, including while speaking (per Temporary Mandatory Face Coverings Bylaw 19408). The public is invited to view in-progress meetings online via the Agenda,&nbsp;<strong><a href=""https://councilontheweb.edmonton.ca/"" target=""_blank"">Council on the Web</a></strong>&nbsp;or&nbsp;<a href=""https://www.youtube.com/channel/UCvNVcW_fAV0J8qXOEzomycg"" target=""_blank""><strong>City Council&#39;s YouTube Channel</strong></a>.",
"Community and Public Services Committee","Friday, September 9, 2022, 9:30am - 5pm","2022-09-09T08:30:00.000","2022-09-09T17:00:00.000","Edmonton",,,"City Hall, Council Chambers",,"City Council Committee Meeting","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d157240766",,"157240766",,,"City of Edmonton","https://www.edmonton.ca/city_government/council-committee-meetings.aspx","City Council Committee Meeting",,"Community and Public Services Committee",,"<strong>Please note:</strong>&nbsp;Members of the&nbsp;public&nbsp;may choose to participate at Council and&nbsp;Committee&nbsp;meetings in person or remotely.&nbsp;<font><font>The public is invited to view in-progress meetings online via the Agenda or<strong> </strong><a href=""http://www.edmonton.ca/meetings"" target=""_blank"">www.edmonton.ca/meetings</a></font></font><br /><br /><em>*In order to avoid overloading the streaming service, please open live web streaming before the meeting begins.</em>",
