"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Brian Fisher Memorial","15802 SE 264th St
Covington, WA 98042
(47.36529, -122.130664)","45-0584574","9850","https://Brianfishermemorial.com","Established to provide financial assistance and emotional support to Corrections and Law Enforcement Officers and their immediate family in time of need.","Emergency & Disaster Services",,"Food & Hunger",,,,,"Returning","No",,,,,,"Economically Disadvantaged People","Black, African American, African","Veterans & Military"
"ALS Association, Evergreen Chapter","19226 66th Ave S Ste L105
Kent, WA 98032
(47.428484, -122.251283)","91-1950869","4074","https://www.alsa-ec.org","Improving quality of life for those living with ALS, support and researching a cure. ALS (aka Lou Gehrig’s Disease) is a fatal, incurable neurodegenerative disease.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/91-1950869",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1950869",,,"People With Disabilities","Economically Disadvantaged People","Women & Girls"
"Marine Science Afloat",,"91-1271685","10926","https://www.marinescienceafloat.org","For 37 years we have educated future Puget Sound stewards by taking local students on a 5.5-hour marine science & conservation field trip on board our 65' floating classroom & lab.","Environment",,"Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911271685","https://www.guidestar.org/profile/91-1271685",,,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911271685","https://www.guidestar.org/profile/91-1271685",,,"Children & Youth","Economically Disadvantaged People",
"Goodwin Connections","1631 15th Ave W Ste 116
Seattle, WA 98119
(47.634851, -122.376194)","91-0619698","10905","https://goodwinconnections.org","Connecting families to educational opportunities that build financial stability and create generational change. #childcare #preK #studentparents #highereducation #brighterfutures","Education & Literacy",,,,"https://www.guidestar.org/profile/91-0619698",,,"Number Change","No",,,"https://www.guidestar.org/profile/91-0619698",,,"Economically Disadvantaged People","Women & Girls","Children & Youth"
"The Elephant Sanctuary in Tennessee",,"62-1587327","9484","https://www.elephants.com","The nation's largest natural habitat refuge developed specifically for endangered elephants, improving elephant lives through sanctuary, education, research & overseas assistance.","Animals",,"Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7257","https://www.guidestar.org/profile/62-1587327","https://give.org/charity-reviews/national/animal-protection/elephant-sanctuary-in-tennessee-in-hohenwald-tn-3634",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7257","https://www.guidestar.org/profile/62-1587327","https://give.org/charity-reviews/national/animal-protection/elephant-sanctuary-in-tennessee-in-hohenwald-tn-3634",,,,
"National Parks Conservation Association","777 6th St NW Ste 700
Washington, DC 20001
(38.899372, -77.019912)","53-0225165","2578","https://www.npca.org","Preserves national parks from the Grand Canyon to Gettysburg; protects endangered wildlife and cultural sites.","Environment",,,,,,,"Returning","No",,,,,,,,
"Special Olympics Washington","2815 2nd Ave Ste 370
Seattle, WA 98121
(47.617479, -122.351509)","91-0962383","9970","https://www.specialolympicswashington.org","Changing the lives of children and adults with intellectual disabilities through programming in sports, inclusive health, education and community building.","Youth Development","Mental Health, Disabilities, & Substance Abuse","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9230","https://www.guidestar.org/profile/91-0962383",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9230","https://www.guidestar.org/profile/91-0962383",,,"People With Disabilities","Children & Youth",
"Hagar USA Inc.","1609 E 5th St
Charlotte, NC 28204
(35.214352, -80.824672)","20-1507669","4177","https://hagarusa.org/","Hagar is dedicated to the recovery of women & children who have endured extreme human rights abuses; human trafficking, gender-based violence, & sexual exploitation.","Mental Health, Disabilities, & Substance Abuse","Community Development","Social & Economic Justice",,"https://www.guidestar.org/profile/20-1507669",,,"New","No",,,"https://www.guidestar.org/profile/20-1507669",,,"Children & Youth","Economically Disadvantaged People","Immigrants, Migrants, Refugees"
"Millionair Club, Inc.","2515 Western Ave
Seattle, WA 98121
(47.614101, -122.349735)","91-0607513","2737","https://www.millionairclub.org","The Millionair Club Charity provides jobs, meals and support services to individuals who are low-income, unemployed or under-employed in the greater Seattle area.","Housing & Employment",,,,,,,"Returning","No",,,,,,,,
"Food Resource Network",,"94-3076806","3000","https://www.frnf.org","Providing hungry families in our community with food, infant supplies, and other basic needs; offering referrals for vital services, and connecting gardeners with food banks.","Food & Hunger",,,,"https://www.guidestar.org/profile/94-3076806",,,"Returning","No",,,"https://www.guidestar.org/profile/94-3076806",,,"Seniors","Children & Youth",
"Virginia Mason Foundation","1218 Terry Ave D1-MF
Seattle, WA 98101
(47.610809, -122.327978)","91-0565539","9837","https://www.virginiamasonfoundation.org/","With an unwavering commitment to becoming the quality leader, we have been trusted for more than 90 years to provide patients with the most advanced and compassionate health care.","Health (General)",,,,,,,"Returning","No",,,,,,,,
"Water Access Now","2121 N 61 St
Seattle, WA 98103
(47.672919, -122.332629)","45-3246965","10845","https://wateraccessnow.org","Seattle area all-volunteer organization with sole mission to financially support clean water systems in Ghana. Overhead under 2% since 2011. 200 systems installed; 90% sustained by village committees.","Health (General)",,"Food & Hunger",,,,,"Number Change","No",,,,,,"Black, African American, African","Women & Girls",
"Wellspring Family Services","1900 Rainier Ave S
Seattle, WA 98144
(47.586327, -122.304234)","91-0567261","9284","https://www.wellspringfs.org","Help us end the cycle of family homelessness. In 2019, Wellspring helped 1,351 and their 2,209 children to stay stable in their homes or find new homes.","Housing & Employment",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12906","https://www.guidestar.org/profile/91-0567261",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12906","https://www.guidestar.org/profile/91-0567261",,,"Economically Disadvantaged People","Black, African American, African","Children & Youth"
"Kindred Souls Foundation",,"38-3707806","9359","https://www.kindredsoulsfoundation.org","Provides sanctuary to abandoned, abused, and neglected cats and dogs, holistic care, outreach, education. Programs for senior, medically fragile, special needs, and animals of DV.","Animals",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=383707806","https://www.guidestar.org/profile/38-3707806",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=383707806","https://www.guidestar.org/profile/38-3707806",,,"Seniors",,
"United Way of King County","720 2nd Ave
Seattle, WA 98104
(47.603499, -122.33364)","91-0565555","9386","https://www.uwkc.org","Together, we are building a community where people have homes, students graduate and families are financially stable.","Community Development",,"Housing & Employment","https://www.charitynavigator.org/index.cfm?bay+search.summary&orgid4642","https://www.guidestar.org/profile/91-0565555",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay+search.summary&orgid4642","https://www.guidestar.org/profile/91-0565555",,,"Economically Disadvantaged People","Children & Youth","Black, African American, African"
"Bread of Life Mission","97 S Main St
Seattle, WA 98104
(47.600041, -122.334295)","91-6057907","10864","https://www.breadoflifemission.org/","Nondenominational social services organization providing critically needed goods and services to the homeless, poor, & struggling with addiction through Christ approach in Seattle.","Housing & Employment","Mental Health, Disabilities, & Substance Abuse","Emergency & Disaster Services","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10120","https://www.guidestar.org/profile/91-6057907","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/bread-of-life-mission-in-seattle-wa-22215158",,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10120","https://www.guidestar.org/profile/91-6057907","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/bread-of-life-mission-in-seattle-wa-22215158",,"Economically Disadvantaged People","Incarcerated People","Immigrants, Migrants, Refugees"
"Humane Society International","1255 23rd St NW Ste 450
Washington, DC 20037
(38.906272, -77.050108)","52-1769464","5089","https://www.hsi.org","Global animal welfare organization working to end animal abuse from dog meat farms, wildlife threats, street dog welfare programs, factory farming and more.","Animals",,"Emergency & Disaster Services","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5456","https://www.guidestar.org/profile/52-1769464","https://give.org/charity-reviews/national/Animal-Protection/Humane-Society-International-in-Washington-dc-22447","https://greatnonprofits.org/org/humane-society-international","Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5456","https://www.guidestar.org/profile/52-1769464","https://give.org/charity-reviews/national/Animal-Protection/Humane-Society-International-in-Washington-dc-22447","https://greatnonprofits.org/org/humane-society-international",,,
"Seattle Audubon Society","8050 35th Ave NE
Seattle, WA 98115
(47.688222, -122.290643)","91-6009716","9047","https://www.seattleaudubon.org","Seattle Audubon advocates and organizes for cities where people and birds thrive.","Environment",,"Animals","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7911","https://www.guidestar.org/profile/91-6009716",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7911","https://www.guidestar.org/profile/91-6009716",,,,,
"Open Doors for Multicultural Families","24437 Russell Rd Ste #110
Kent, WA 98032
(47.382684, -122.261519)","27-1206272","9668","https://multiculturalfamilies.org/","We are dedicated to ensuring that diverse families with loved ones with disabilities have equal access to culturally appropriate information, resources, and services.","Social & Economic Justice",,"Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=271206272","https://www.guidestar.org/profile/27-1206272",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=271206272","https://www.guidestar.org/profile/27-1206272",,,"Children & Youth",,
"Mona Foundation","14150 NE 20th St F1-527
Bellevue, WA 98007
(47.627992, -122.151459)","91-1968512","9603","https://monafoundation.org","Supports grassroots educational initiatives that provide education to all children, increase opportunities for women and girls, and emphasize service to the community.","Education & Literacy",,"International Relief & Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911968512","https://www.guidestar.org/profile/91-1968512","https://www.give.org/charity-reviews/national/education-and-literacy/mona-foundation-in-kirkland-wa-20725",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911968512","https://www.guidestar.org/profile/91-1968512","https://www.give.org/charity-reviews/national/education-and-literacy/mona-foundation-in-kirkland-wa-20725",,"Children & Youth","Economically Disadvantaged People","Women & Girls"
