Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
Population Services International,"1120 19th St NW Ste 600
Washington, DC 20036
(38.904524, -77.043461)",International Relief & Development,56-0942853,PSI makes it easier for all people to lead healthier lives and plan the families they desire by marketing affordable products and services.,Health (General),,,4499,
Post-Prison Education Program,"506 2nd Ave W
Seattle, WA 98119
(47.623624, -122.359346)",Education & Literacy,20-4841958,Our goal is to dramatically reduce recidivism by harnessing the power of education and meeting the legitimate needs of former prisoners.,,,101,19575,1450
Praisealujah,"19825 Des Moines Memorial Dr
Des Moines, WA 98148
(47.424316, -122.319676)",Spiritual Development,01-0964541,Praisealujah offers 6 months to 1 year of Discipleship training. We are Faith-based and we serve people from all walks of life. Our focus is to serve all those who are addicted.,Community Development,Food & Hunger,92,17922,309
Pratt Fine Arts Center,"1902 S Main St
Seattle, WA 98144
(47.59997, -122.30763)","Arts, Culture, & Humanities",91-1186639,"Pratt creates opportunities for everyone to learn, make, and experience the visual arts through classes, studio access, and free public programs.",Education & Literacy,,101,17919,13
Prevent Cancer Foundation,"1600 Duke St Ste 500
Alexandria, VA 22314
(38.804112, -77.058374)","Disease, Disorders, & Medical Research",52-1429544,Your donation funds cancer prevention research; educates people about how they can prevent cancer and detect it early; and supports community cancer prevention programs.,,,,12448,
Prevent Child Abuse America,"228 S Wabash Ave 10th Fl
Chicago, IL 60604
(41.879162, -87.626095)",Health (General),23-7235671,"We are America's leading organization working at the local, state and national levels to strengthen families and prevent child abuse and neglect.",Youth Development,Human & Civil Rights,,14912,
Prevention Time,"30020 2nd Ct S
Federal Way, WA 98003
(47.332349, -122.332531)",International Relief & Development,36-4655387,"We support AIDS prevention, youth development, and orphan care in South Africa, Swaziland, Mozambique, Lesotho, Zimbabwe, and Botswana.",Education & Literacy,,19,31847,857
Pride Foundation,"2014 E Madison St Ste 300
Seattle, WA 98122
(47.617537, -122.305494)",Social & Economic Justice,91-1325007,Pride Foundation fuels transformational movements to advance equity and justice for LGBTQ+ people in all communities across the Northwest.,Community Development,Education & Literacy,101,19578,12
Prison Fellowship International,"44180 Riverside Parkway Ste 300
Lansdowne, VA 20176
(39.072243, -77.472554)",International Relief & Development,51-0247185,"Programs in prisons around the world that are proven to restore prisoners, help their families, and integrate them back into the community.",Youth Development,Community Development,,29432,
Prison Fellowship Ministries,"44180 Riverside Pkwy
Lansdowne, VA 20176
(39.072243, -77.472554)",Community Development,62-0988294,"Helps restore those affected by crime & incarceration and strives to make prisons safer and more rehabilitative by supporting prisoners, former prisoners, and their families.",Spiritual Development,Legal Advocacy,,29432,
Prison Scholar Fund,"1752 NW Market St #953
Seattle, WA 98107
(47.66866, -122.381145)",Education & Literacy,41-2175677,We provide education and employment assistance to help incarcerated people succeed and thrive in society while avoiding homelessness and the revolving door of reincarceration.,Food & Hunger,Social & Economic Justice,101,18386,344
Project Access Northwest,"200 Broadway Ste 202
Seattle, WA 98122
(47.60377, -122.320746)",Health (General),20-4377921,We collaborate with the health care community to open doors to specialty medical and dental care for individuals with limited access.,"Disease, Disorders, & Medical Research",,101,19578,785
Project Canine,"1037 NE 65th St #193
Seattle, WA 98115
(47.675826, -122.3161)",Animals,26-0734413,"We provide therapy dog education, certification and outreach. Our certified therapy dog teams visit all over King County at eldercare facilities, hospitals, schools, and much more.",,,101,18792,1244
Project Feast,"202 W Gowe St Ste L
Kent, WA 98032
(47.380902, -122.234118)",Social & Economic Justice,46-2005131,We prepare low-income refugee and immigrant cooks for careers in the food industry; we provide a platform for them to share their food and cuisine with the community.,Community Development,Housing & Employment,76,17370,479
Project HOPE,"7500 Old Georgetown Rd #600
Bethesda, MD 20814
(38.985196, -77.094939)",International Relief & Development,53-0242962,"Working with health care workers and their communities, addressing the greatest public health challenges enabling people to live their best lives.",Community Development,Human & Civil Rights,,31801,
Project SeaWolf Coastal Protection,,Animals,91-1877519,"A 100% volunteer-run environmental and marine wildlife protection group, our educational, youth programs, and wildlife advocacy programs protect orca whale ecosystems in the PNW.",Environment,Education & Literacy,,,
PROVAIL,"12550 Aurora Ave N
Seattle, WA 98133
(47.720069, -122.344936)","Mental Health, Disabilities, & Substance Abuse",91-0593488,Supporting children and adults with disabilities to fulfill their life choices in the Greater Seattle area.,Health (General),,101,19582,234
PSC Partners Seeking a Cure,"6900 E Belleview Ave Ste 202
Greenwood Village, CO 80111
(39.624076, -104.908133)",Health (General),20-2112635,"Our mission is to provide education and support to PSC patients, families, and caregivers and raise funds to research causes, treatments, and cures for PSC.","Disease, Disorders, & Medical Research","Science and Technology Research, Institutions, & Services",,20299,
PSLA,,Food & Hunger,91-0927902,"Since 1975, we have served our communities by providing food bank services, building wheelchair ramps, and connecting clients to essential resources.",Emergency & Disaster Services,Community Development,,,
Puget Sound Community School,"660 S Dearborn St
Seattle, WA 98134
(47.595836, -122.324427)",Education & Literacy,91-1646126,"Relationship-driven, community-based middle and high school.",Community Development,Youth Development,101,19584,15
Puget Sound Goat Rescue and Adoptions,,Animals,80-0640425,"Rescues goats & sheep from situations where they are being abused, neglected, mistreated or harmed. We rehabilitate & adopt to permanent homes.",,,,,
Puget Soundkeeper Alliance,"5305 Shilshole Ave NW Ste 150
Seattle, WA 98107
(47.666854, -122.38525)",Environment,91-1285783,"Protects and preserves the waters of Puget Sound through on-the-water volunteer patrols, shoreline cleanups, and enforcement of the Clean Water Act.",,,101,18386,344
Puget Sound Rescue,"17206 SE 338th St
Auburn, WA 98092
(47.298588, -122.112072)",Animals,27-0950705,Puget Sound Rescue is dedicated to saving dogs in need. We provide long-term foster and veterinary care for dogs and adopt dogs to the homes of carefully screened applicants.,,,61,18080,866
Puget Sound Sage,"414 Maynard Ave S
Seattle, WA 98104
(47.59903, -122.325069)",Environment,20-8974030,"Puget Sound Sage charts a path to a living economy in the South Salish Sea and Duwamish River Valley regions by developing community power to influence, lead and govern.",Social & Economic Justice,Community Development,101,18379,15
Puget Sound Training Center,,Housing & Employment,91-2036279,"PSTC provides skills training and employment services to individuals who are unemployed or under-employed, and who possess limited skills, education and English comprehension.",Education & Literacy,Community Development,,,
PUP Dog Rescue,"6929 Autumn Ave SE
Snoqualmie, WA 98065
(47.538181, -121.871219)",Animals,20-5054914,Our mission is to help homeless dogs and cats find homes. We also hope to enrich the lives of those who adopt them through our support programs.,Community Development,,91,18064,532
Puppies Behind Bars,"263 W 38th St 4th Fl
New York, NY 10018
(40.754446, -73.990991)",Animals,13-3969389,"Wounded war veterans and first responders receive prison-trained service dogs, free of charge, through the Dog Tags initiative of Puppies Behind Bars.",,,,12080,
Purrfect Pals,"230 McRae Rd NE
Arlington, WA 98223
(48.143261, -122.227964)",Animals,94-3127448,"Through placement and prevention programs, Purrfect Pals works to end cat homelessness in the Puget Sound region - because every cat matters. Our priority is special-needs cats.",,,,18642,1022
Pushing Boundaries,"4162 148th Ave NE
Redmond, WA 98052
(47.648107, -122.14297)",Health (General),20-2043330,Delivering health and hope through rehabilitative exercise therapy for individuals experiencing paralysis or mobility issues due to any neurological illness or disease.,"Mental Health, Disabilities, & Substance Abuse",,97,17806,426
Puyallup Food Bank,"110 23rd St SE
Puyallup, WA 98372
(47.191192, -122.264932)",Food & Hunger,23-7259739,"Boldly and passionately serving our neighbors in need since 1972. We are now serving over 3x the number of clients since before COVID, over 11,500 clients a month.",,,,12217,1147
Queen Anne Helpline,"311 W McGraw St
Seattle, WA 98119
(47.6396, -122.361432)",Housing & Employment,91-1187354,Our mission is to prevent homelessness and stabilize the lives of neighbors in need through financial and supportive services.,Food & Hunger,,101,19575,1112
Rabbit Haven,,Animals,91-2032325,"Shelter for abused and abandoned rabbits; care, housing, and veterinary needs. We help educate the public about rabbits, and give discounts to military and senior citizens.",,,,,
Rails-to-Trails Conservancy,"2121 Ward Court NW 5th Fl
Washington, DC 20037
(38.906544, -77.047572)",Environment,52-1437006,"Converts thousands of miles of unused railroad corridors into public trails for walking, bicycling, hiking, wildlife habitats and nature appreciation.","Recreation, Sports, Leisure, & Athletics",Community Development,,4499,
Rainbow Center,"2215 Pacific Ave
Tacoma, WA 98402
(47.241521, -122.435853)",Social & Economic Justice,91-1859897,"Through education, advocacy, and celebration, the Rainbow Center expands resources and safe space for lesbian, gay, bisexual, transgender, queer, and allied (LGBTQA) community.",Legal Advocacy,Community Development,,12600,1138
