"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"Canceled - Proposition O Administrative Oversight Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T15:00:00.000",,,,,,,"http://ens.lacity.org/cao/propoadmincomm/caopropoadmincomm2355104888_07282016.pdf",,,,"104888"
"El Pueblo Commission Agenda 07/28/2016",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T14:00:00.000",,,,,,,"http://ens.lacity.org/elp/elp_commisson/elpelp_commisson3240104891_07282016.pdf",,,,"104891"
"KCON",,"Yes","Convention",,,,"Convention Center","2016-07-28T12:00:00.000","2016-07-28T18:00:00.000","Los Angeles Convention Center, South Hall GH & K, Concourse EF, 300s Meeting Rooms","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.kconusa.com/",,,,
"BLC Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T11:00:00.000",,,,,,,"http://ens.lacity.org/lapl/agendas/laplagendas266104899_07282016.pdf",,,,"104899"
"Board of Civil Service Commission Agenda July 28, 2016",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T10:00:00.000",,,,,,,"http://ens.lacity.org/per/agendas/peragendas330104860_07282016.pdf",,,,"104860"
"Transportation Construction Traffic Management Committee",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T09:00:00.000",,,,,,,"http://ens.lacity.org/engr/tctmc/engrtctmc3159104865_07282016.pdf",,,,"104865"
"City Planning Commission Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T08:30:00.000",,,,,,,"http://ens.lacity.org/pln/cityplnagenda/plncityplnagenda285104856_07282016.pdf",,,,"104856"
"HHPNC Sustainability Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/highlandpark/ensnchighlandpark801104934_07272016.pdf",,,,"104934"
"ENC_GENBoardMeeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/encinocc/ensncencinocc818104820_07272016.pdf",,,,"104820"
"Palms NC Commercial Corridor Activation Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410104926_07272016.pdf",,,,"104926"
"MPNC Agenda de Reunión Especial Ejecutiva. Executive Special Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841104955_07272016.pdf",,,,"104955"
"BABCNC Regular Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/belairbc/ensncbelairbc1020104933_07272016.pdf",,,,"104933"
"	Northridge West NC Executive Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgewest/ensncnorthridgewest2414104887_07272016.pdf",,,,"104887"
"NWNC Special Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgewest/ensncnorthridgewest2414104927_07272016.pdf",,,,"104927"
"	HGNNC Outreach Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/harborgatewayn/ensncharborgatewayn826104929_07272016.pdf",,,,"104929"
"MCWCC Communications and Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805104854_07272016.pdf",,,,"104854"
"WLASNC Speical Board Meeting ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westlosangeles/ensncwestlosangeles847104920_07272016.pdf",,,,"104920"
"NHENC SPECIAL Land Use Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325104951_07272016.pdf",,,,"104951"
"Central Alameda NC Gen'l Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/centralalameda/ensnccentralalameda848104931_07272016.pdf",,,,"104931"
"NHENC-SPECIAL Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325104950_07272016.pdf",,,,"104950"
"Harbor City NC Public Meeting July 27, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/harborcitync/ensncharborcitync788104914_07272016.pdf",,,,"104914"
"LA32NC july 27 Exec Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800104960_07272016.pdf",,,,"104960"
"Central San Pedro NC - Committee on Homeless",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851104919_07272016.pdf",,,,"104919"
"Coastal San Pedro NC Communications Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sanpedronc/ensncsanpedronc768104924_07272016.pdf",,,,"104924"
"East Los Angeles Area Planning Commission Meeting Agenda - Canceled",,"No ","Meeting - Board","Government",,,"ITA","2016-07-27T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/eastlaagenda/plneastlaagenda288104833_07272016.pdf",,,,"104833"
"Homelessness and Poverty Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-07-27T15:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3405104426_07272016.html",,,,"104426"
"Transportation Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-07-27T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend30104867_07272016.html",,,,"104867"
"CCFS Sub-Committee Special Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-07-27T11:00:00.000",,,,,,,"http://ens.lacity.org/hcid/ccfsagenda/hcidccfsagenda3329104956_07272016.pdf",,,,"104956"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-07-27T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86104876_07272016.html",,,,"104876"
"Los Angeles City Council Agenda, Cancelled",,"No ","Meeting - Council","Government",,,"ITA","2016-07-27T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3104669_07272016.html",,,,"104669"
"Board of Public Works","Regular BPW Meeting",,"Meeting-Board",,,,,"2016-07-27T10:00:00.000","2016-07-27T00:00:00.000","City Hall Room 350","200 North Spring Street
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201607/20160727/20160725_ag.pdf.pdf",,,,
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-07-27T10:00:00.000","2016-07-27T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://cityclerk.lacity.org/councilagenda/MeetingView.aspx?MeetingID=3118&MinutesMeetingID=-1&doctype=Agenda",,,,
"Mid City West NC Transportation Meeting July 27, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T08:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805104893_07272016.pdf",,,,"104893"
"Venice NC Neighborhood Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-27T08:25:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141104922_07272016.pdf",,,,"104922"
"MCWCC Executive Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805104852_07262016.pdf",,,,"104852"
"West Hills NC Transportaion Committee Meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770104910_07262016.pdf",,,,"104910"
"Greater Cypress Park Outreach Committee Agenda July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/cypresspark/ensnccypresspark827104902_07262016.pdf",,,,"104902"
"Lake Balboa NC special board meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/wvannuysnc/ensncwvannuysnc2411104906_07262016.pdf",,,,"104906"
"Tarzana NC Board Meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/tarzananc/ensnctarzananc830104896_07262016.pdf",,,,"104896"
"Glassell Park NC Technology Committee meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/glassellparknc/ensncglassellparknc769104915_07262016.pdf",,,,"104915"
"HGNNC Gen'l Membership Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/harborgatewayn/ensncharborgatewayn826104917_07262016.pdf",,,,"104917"
"Greater Cypress Park NC Outreach Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/cypresspark/ensnccypresspark827104886_07262016.pdf",,,,"104886"
"Studio City NC July 26 2016 Bylaws Committee Meeting Agenda",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824104916_07262016.pdf",,,,"104916"
"Mid-Town NoHo NC Planning, Land Use, Housing and Transportation",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/midtownnholly/ensncmidtownnholly816104843_07262016.pdf",,,,"104843"
"Palms NC Bylaws Committee Meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410104901_07262016.pdf",,,,"104901"
"Sylmar NC SPECIAL Bylaws Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839104940_07262016.pdf",,,,"104940"
"EPNC Board Meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/echoparkelysian/ensncechoparkelysian791104907_07262016.pdf",,,,"104907"
"Mid City West CC_Public Safety Comt Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805104691_07262016.pdf",,,,"104691"
"EC southeast NC board meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congressseast/ensnccongressseast785104892_07262016.pdf",,,,"104892"
"Greater Wilshire NC Land Use Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/gwilshire/ensncgwilshire1024104849_07262016.pdf",,,,"104849"
"West Hills NC Committee board Meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770104897_07262016.pdf",,,,"104897"
"	Eagle Rock NC Finance Committee Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/eaglerocknc/ensnceaglerocknc789104932_07262016.pdf",,,,"104932"
"Palms NC Bylaws Committee Meeting July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410104898_07262016.pdf",,,,"104898"
"	WANC July Special Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westadamsnc/ensncwestadamsnc774104937_07262016.pdf",,,,"104937"
"Palms NC Committee agenda July 26, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410104900_07262016.pdf",,,,"104900"
"Northwest San Pedro NC Port Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773104889_07262016.pdf",,,,"104889"
"Central San Pedro Rules and Bylaws Comt Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851104850_07262016.pdf",,,,"104850"
"Central San Pedro Rules and Bylaws Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/centralhollywoo/ensnccentralhollywoo790104811_07262016.pdf",,,,"104811"
"Central Area Planning Commission Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-07-26T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/centralagenda/plncentralagenda282104918_07262016.pdf",,,,"104918"
"Eagle Rock NC Exec. Comte Mtg.",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-26T16:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/eaglerocknc/ensnceaglerocknc789104823_07262016.pdf",,,,"104823"
"CANCELLED - Planning and Land Use Management Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-07-26T14:30:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend26104862_07262016.html",,,,"104862"
"Economic Development Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-07-26T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend2811104717_07262016.html",,,,"104717"
"LACERS Board of Administration Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-07-26T10:00:00.000",,,,,,,"http://ens.lacity.org/cers/agendas/cersagendas166104848_07262016.pdf",,,,"104848"
"Los Angeles City Council Agenda, Cancelled",,"No ","Meeting - Council","Government",,,"ITA","2016-07-26T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3104668_07262016.html",,,,"104668"
"Zoo Commission Special Agenda -  July 2016",,"No ","Meeting - Board","Government",,,"ITA","2016-07-26T10:00:00.000",,,,,,,"http://ens.lacity.org/zoo/zooagendas/zoozooagendas1504104800_07262016.pdf",,,,"104800"
"Board of Police Commissioners Meeting Cancellation Notice",,"No ","Meeting - Board","Government",,,"ITA","2016-07-26T09:30:00.000",,,,,,,"http://ens.lacity.org/lapd/agendas/lapdagendas261104807_07262016.pdf",,,,"104807"
"Health, Mental Health and Education Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-07-26T09:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend3403104805_07262016.html",,,,"104805"
"Executive Employee Relations Committee 2016-07-26 CANCELED",,"No ","Meeting - Board","Government",,,"ITA","2016-07-26T08:30:00.000",,,,,,,"http://ens.lacity.org/eerc/eercagendas/eerceercagendas3076104799_07262016.pdf",,,,"104799"
"	LA32NC July 25 SPECIAL Joint Board and Bylaws",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800104935_07252016.pdf",,,,"104935"
"Arroyo Seco Neighborhood Council Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/arroyoseconc/ensncarroyoseconc817104884_07252016.pdf",,,,"104884"
"	MPNC Agenda de Reunión Regular.Regular Meeting [Spanish] [English] ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841104846_07252016.pdf",,,,"104846"
"SORONC_Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809104802_07252016.pdf",,,,"104802"
"HUNC Em Prep Ctte",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodunited/ensnchollywoodunited822104841_07252016.pdf",,,,"104841"
"FTDNC Rules and Elections Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/foothilltrails/ensncfoothilltrails836104885_07252016.pdf",,,,"104885"
"LA 32 Neighborhood Council Special Joint Ad Hoc Board Retreat Committee and Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800104878_07252016.pdf",,,,"104878"
"Los Feliz Neighborhood Council Budget and Finance Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/griffithparknc/ensncgriffithparknc803104880_07252016.pdf",,,,"104880"
"Winnetka NC Transportation Committee Meeting July 25, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/winnetkanc/ensncwinnetkanc845104909_07252016.pdf",,,,"104909"
"Empowerment Congress Central NDC Regular Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/congresscentral/ensnccongresscentral783104882_07252016.pdf",,,,"104882"
"Venice Neighborhood Council Homeless Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141104881_07252016.pdf",,,,"104881"
"Adjournment of meeting   Next Scheduled Community Meeting will be on August 22, 2016.",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805104844_07252016.pdf",,,,"104844"
"MCWCC Public Safety Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitywestnc/ensncmidcitywestnc805104853_07252016.pdf",,,,"104853"
"LA 32 Joint Special Ad Hoc Inventory Committee Meeting and Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800104877_07252016.pdf",,,,"104877"
"MVCC Education Committee Meeting July 25, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc810104905_07252016.pdf",,,,"104905"
"Central San Pedro Joint Finance Commitee Meeting July 25, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851104903_07252016.pdf",,,,"104903"
"CHNC Regular Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/centralhollywoo/ensnccentralhollywoo790104851_07252016.pdf",,,,"104851"
"LA 32 Neighborhood Council Special Arts and Cultural Committee Meeting General Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-25T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800104879_07252016.pdf",,,,"104879"
