"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.98"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","162.70"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","58.59"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.67"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","292.86"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","6.61"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","28.25"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.50"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","14.68"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","62.76"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","130.19"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.40"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","1.49"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","43.39"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","130.17"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.24"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","20.92"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","3.71"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","43.40"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.47"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","4.89"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","76.01"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.87"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","8.57"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.15"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.81"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","190.65"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","36.64"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","400.40"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","142.56"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","195.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","100.44"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","48.42"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","11.32"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","117.12"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","585.80"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","1.15"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","6.05"
