"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2021","OUTDOOR SIREN","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","OUTDOOR SIREN","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","100000","DRA DISTRIBUTION",
"2021","BUS STOP IMPROVEMENTS","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","BUS STOP IMPROVEMENTS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","10612","COMMUNITY DEVELOPMENT",
"2021","EAGLE VALLEY PARK DEV","CULTURE AND REC - CAP","PARK DIVISION","NONE","EAGLE VALLEY PARK DEV","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","180447","DRA DISTRIBUTION",
"2021","NW ARTERIAL LEFT ON JFK","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","NW ARTERIAL LEFT ON JFK","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","30000","STREET CONSTRUCTION",
"2022","DICW","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DICW","CAPITAL-GOV FUNDS","LAND ACQUISITION","4230155","GENERAL CONSTRUCTION",
"2021","SLATTERY CENTER REN ENTR","CULTURE AND REC - CAP","PARK DIVISION","NONE","SLATTERY CENTER REN ENTR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","9950","SALES TAX CONSTRUCTION",
"2021","SEWER EXTENSIONS NEW DEV.","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER EXTENSIONS NEW DEV.","CAPITAL-ENTERPRISE","LAND/ACQ-W/IMPROV","104510","SANITARY SEWER CONSTRUCTI",
"2021","CHAVENELLE TRAIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CHAVENELLE TRAIL","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","75","GENERAL CONSTRUCTION",
"2021","HEEB STREET","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HEEB STREET RECON","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","300000","GENERAL CONSTRUCTION",
"2021","MULTICULTURAL FAMILY CTR","GEN GOVERNMENT - CAP","MULTICULTURAL FAMILY CTR","NONE","MULTICULTURAL FAMILY CTR","CAPITAL-GOV FUNDS","ARCHITECTURAL SERVICES","4705","GENERAL CONSTRUCTION",
"2021","CELL 9 PHASE 4","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","CELL 9 PHASE 4","NOT REPORTED","CONST.CONTR-NOT BLDG","612695.79","DMASWA-GENERAL",
"2021","RIVERFRONT LEASEHOLD IMPR","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","RIVERFRONT LEASEHOLD IMPR","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","2031.5","SALES TAX CONSTRUCTION",
"2021","DUMP TRUCK REPLACEMENT","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","DUMP TRUCK REPLACEMENT","CAPITAL-GOV FUNDS","TRUCK-REPLACEMENT","215000","ROAD USE TAX",
"2021","SIGNALIZATION PROGRAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNALIZATION PROGRAM","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","15000","STREET CONSTRUCTION",
"2021","UNDISTRIBUTED","PUBLIC WORKS-CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO GENERAL","30000","SPECIAL ASSESSMENT",
"2022","FOUR MOUNDS BUILD DBQ","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","FOUR MOUNDS BUILD DBQ","CAPITAL-GOV FUNDS","GRANTS","152425","COMMUNITY DEVELOPMENT",
"2021","LOCUST ST PARK RMP REPAIR","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","LOCUST ST PARK RMP REPAIR","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","12500","PARKING FACILITY CONSTRUC",
"2021","GRC ENERGY EFFICIENCY IMP","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC ENERGY EFFICIENCY IMP","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","2000","SALES TAX CONSTRUCTION",
"2021","STREETS TRAFFIC CONTROL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREETS TRAFFIC CONTROL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","423250","STREET CONSTRUCTION",
"2021","DICW","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DICW","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","103100","GENERAL CONSTRUCTION",
"2021","DRAIN TILE PROGRAM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","DRAIN TILE PROGRAM","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","STORM WATER CONSTRUCTION",
"2022","SINKHOLE MINE REMEDIATION","PUBLIC WORKS-CAPITAL","ENGINEERING","NONE","SINKHOLE MINE REMEDIATION","CAPITAL-GOV FUNDS","LIFE INSURANCE","6","GENERAL",
"2021","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","275974","SALES TAX INCREMENT",
"2021","COTTINGHAM RD WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","COTTINGHAM RD WATER MAIN","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","70000","WATER CONSTRUCTION",
"2021","EPP RETAINING WALL","CULTURE AND REC - CAP","PARK DIVISION","NONE","EPP RETAINING WALL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","75000","SALES TAX CONSTRUCTION",
"2021","REDUNDANT NETWORK SWITCH","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","REDUNDANT NETWORK SWITCH","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","11000","DRA DISTRIBUTION",
"2021","HEEB STREET","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HEEB STREET RECON","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","25000","STORM WATER CONSTRUCTION",
"2021","MUSEUM WETLAND RAILING","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","MUSEUM WETLAND RAILING","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","20000","SALES TAX CONSTRUCTION",
"2021","ELECT FUEL TANK GUAGE SYS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","ELECT FUEL TANK GUAGE SYS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","7886.97","AIRPORT CONSTRUCTION",
"2021","CURB REPLACEMENT PROGRAM","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","STREETS","CURB REPLACEMENT PROGRAM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","21916.75","STREET CONSTRUCTION",
"2021","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","20000","STREET CONSTRUCTION",
"2022","RENTAL & MORTGAGE ASSIST","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RENTAL & MORTGAGE ASSIST","CAPITAL-GOV FUNDS","GRANTS","76273","COMMUNITY DEVELOPMENT",
"2021","TRAFFIC SIGNAL MASTARM RE","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIGNAL MASTARM RE","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2021","ITS TRAFFIC CONTROL EQUIP","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","ITS TRAFFIC CONTROL EQUIP","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","18000","STREET CONSTRUCTION",
"2021","PAVEMENT PRESERVATION","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVEMENT PRESERVATION","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","43000","DRA DISTRIBUTION",
"2021","DUAL PACKER RECYCLE VEH","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","REFUSE","DUAL PACKER RECYCLE VEH","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","695039","REFUSE COLLECTION",
"2013","HAM HOUSE REPAIRS","CULTURE AND REC - CAP","PARK DIVISION","OPERATING","HAM HOUSE REPAIRS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","36000","DRA DISTRIBUTION",
"2021","SHORT-TERM FACILITIES","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","SHORT-TERM FACILITIES","NOT REPORTED","CONSULTANT SERVICES","315417.33","DMASWA-GENERAL",
"2021","FLOOD CONTROL MAINT FACIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","53654.85","SALES TAX INCREMENT",
"2021","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","2694","STREET CONSTRUCTION",
"2021","PAVE REHAB CONCRETE ST","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","PAVE REHAB CONCRETE ST","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","70000","STREET CONSTRUCTION",
"2021","REC OPERATING SYSTEM","CULTURE AND REC - CAP","RECREATION DIVISION","NONE","REC OPERATING SYSTEM","CAPITAL-GOV FUNDS","SOFTWARE","90000","DRA DISTRIBUTION",
"2021","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","50000","STREET CONSTRUCTION",
"2021","NETWORK SEC RISK ASSESS","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","NETWORK SEC RISK ASSESS","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","10000","DRA DISTRIBUTION",
"2022","18TH ST BLDG IMPROVEMENTS","GEN GOVERNMENT - CAP","ENGINEERING","NONE","18TH ST BLDG IMPROVEMENTS","CAPITAL-GOV FUNDS","HEALTH INSURANCE","89","GENERAL",
"2022","MCFADDEN WATER MAIN IMP","BUSINESS TYPE - CAPITAL","WATER","NONE","MCFADDEN WATER MAIN IMP","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","115000","WATER CONSTRUCTION",
"2021","HUD RESILIENCY","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HUD RESILIENCY","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","40920","HUD DISASTER RELIEF",
"2021","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","UTILITY EXP-ELECTRICITY","2073.7","HUD DISASTER RELIEF",
"2021","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","70498.37","STREET CONSTRUCTION",
"2021","WRR PLANT RENOVATION","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","NONE","WRR PLANT RENOVATION","CAPITAL-ENTERPRISE","LEGAL SERVICES","0.01","SANITARY SEWER CONSTRUCTI",
"2021","US-52 STORM IMPROVEMENTS","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","US 52/CENTRAL TRAFFIC IMP","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","22866.05","STORM WATER CONSTRUCTION",
"2021","COTTINGHAM RD WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","COTTINGHAM RD WATER MAIN","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","6970","WATER CONSTRUCTION",
"2021","SAN SEWER INTERNAL MAIN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER INTERNAL MAIN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","11310","SANITARY SEWER CONSTRUCTI",
"2021","ONBOARD SECURITY CAMERAS","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","ONBOARD SECURITY CAMERAS","CAPITAL-ENTERPRISE","CAMERA RELATED EQUIPMENT","112740","TRANSIT",
"2022","WATER MAIN REPLACEMENTS","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WATER MAIN REPLACEMENTS","CAPITAL-ENTERPRISE","LIFE INSURANCE","0.56","WATER CONSTRUCTION",
"2021","JACKSON PARK AMENITIES","CULTURE AND REC - CAP","PARK DIVISION","NONE","JACKSON PARK AMENITIES","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","240000","GENERAL CONSTRUCTION",
"2021","ALTHAUSER & EAGLE WTR MN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","ALTHAUSER & EAGLE WTR MN","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","27065","WATER CONSTRUCTION",
"2021","INTERSECTION PREEMPTION","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INTERSECTION PREEMPTION","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","15000","STREET CONSTRUCTION",
"2021","EPP REPLACE WATER LINES","CULTURE AND REC - CAP","PARK DIVISION","NONE","EPP REPLACE WATER LINES","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10000","DRA DISTRIBUTION",
"2021","COMISKEY PLAYGROUND REPLC","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PLAYGROUND REPLC","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","9205.94","DRA DISTRIBUTION",
"2021","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","PROGRAM EQUIP/SUPPLIES","4327.9","SALES TAX INCREMENT",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","PRINTER","2900","DRA DISTRIBUTION",
"2021","PURCHASE/RESALE/REHAB","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","PURCHASE/RESALE/REHAB","CAPITAL-GOV FUNDS","LAND/ACQ-W/IMPROV","21800","COMMUNITY DEVELOPMENT",
"2021","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","12000","GENERAL CONSTRUCTION",
"2021","INET FIBER BUILD OUT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","INET FIBER BUILD OUT","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","15000","STREET CONSTRUCTION",
"2021","LOCUST ST PARK RMP REPAIR","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","LOCUST ST PARK RMP REPAIR","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","16500","PARKING FACILITY CONSTRUC",
"2021","MILLWORK DIST PARKING IMP","PUBLIC WORKS-CAPITAL","PARKING DIVISION","NONE","MILLWORK DIST PARKING IMP","CAPITAL-GOV FUNDS","MISCELLANEOUS SERVICES","287.79","GENERAL CONSTRUCTION",
"2021","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","826297.95","HUD DISASTER RELIEF",
"2021","LANDFILL FLARE RELOCATE","NON-PROGRAM - CAPITAL","PUBLIC WORKS","LANDFILL","LANDFILL FLARE RELOCATE","NO DESCRIPTION","CONST.CONTR-NOT BLDG","130000","DMASWA-GENERAL",
"2021","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO DRA DISTRIBUTION","269112","SALES TAX CONSTRUCTION",
"2021","ROOSEVELT RD MAIN EXT.","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","ROOSEVELT RD MAIN EXT.","CAPITAL-ENTERPRISE","LEGAL SERVICES","500","WATER CONSTRUCTION",
"2021","CHAVANELLE RD REHAB","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CHAVANELLE RD REHAB","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","3400000","GENERAL CONSTRUCTION",
"2021","CURB/CATCH BASIN REPL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CURB/CATCH BASIN REPL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2021","MAINT WTR MN - RETAIN WAL","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","MAINT WTR MN - RETAIN WAL","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","2000","WATER CONSTRUCTION",
"2021","PUBLIC LEAD LINE WATER RE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","PUBLIC LEAD LINE WATER RE","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","12470","WATER CONSTRUCTION",
"2021","SW ART/HWY 20 UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SW ART/HWY 20 UTLTY RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","250019","SANITARY SEWER CONSTRUCTI",
"2015","PRIVATE WATER SYS PURCH","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","PRIVATE WATER SYS PURCH","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","150000","WATER CONSTRUCTION",
"2021","SEWER EXTENSIONS NEW DEV.","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SEWER EXTENSIONS NEW DEV.","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","90000","SANITARY SEWER CONSTRUCTI",
"2021","SNOW BROOM AND BLOWER","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","SNOW BROOM AND BLOWER","CAPITAL-GOV FUNDS","HEAVY EQUIP-REPLACEMENT","18500","AIRPORT CONSTRUCTION",
"2017","BRIDGE REPAIRS/MAINT.","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","BRIDGE REPAIRS/MAINT.","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","15000","STREET CONSTRUCTION",
"2021","JULIEN DBQ DR SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","JULIEN DBQ DR SANITARY","SEWER UTILITY","CONST.CONTR-NOT BLDG","80995.02","SANITARY SEWER CONSTRUCTI",
"2021","REHAB TAXIWAY A","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","REHAB TAXIWAY A","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","350000","AIRPORT CONSTRUCTION",
"2022","ENERGY SAVER PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","ENERGY SAVER PROGRAM","CAPITAL-GOV FUNDS","GRANTS","65000","COMMUNITY DEVELOPMENT",
"2021","REDUNDANT NETWORK SWITCH","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","REDUNDANT NETWORK SWITCH","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","63000","DRA DISTRIBUTION",
"2021","AIRPORT CAR WASH","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT CAR WASH","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","227750","AIRPORT CONSTRUCTION",
"2022","UNDISTRIBUTED","DEBT SERVICE - CAPITAL","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO GENERAL CONSTRUCTION","2401430","BOND ISSUES",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","COMPUTER","5.97","DRA GAMING",
"2021","ADDTL FUEL STORAGE TANK","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","ADDTL FUEL STORAGE TANK","CAPITAL-GOV FUNDS","MISCELLANEOUS EQUIPMENT","54050","AIRPORT CONSTRUCTION",
"2021","GENERAL SANITARY SEWER RE","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","GENERAL SANITARY SEWER RE","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","20000","SANITARY SEWER CONSTRUCTI",
"2021","BIJOU ROOM HALL TILE REPL","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","BIJOU ROOM HALL TILE REPL","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","50000","SALES TAX CONSTRUCTION",
"2021","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","62524","STREET CONSTRUCTION",
"2021","WEST LOCUST COMM/CAMERAS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","WEST LOCUST COMM/CAMERAS","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","2600","STREET CONSTRUCTION",
"2021","RANSOMWARE DEFENDER REC","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","RANSOMWARE DEFENDER REC","CAPITAL-GOV FUNDS","SOFTWARE","47400","DRA DISTRIBUTION",
"2021","LIBRARY LANDSCAPING","CULTURE AND REC - CAP","LIBRARY","NONE","LIBRARY LANDSCAPING","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","13191","SALES TAX CONSTRUCTION",
"2021","REPLACE WATER LINE LIBRAR","CULTURE AND REC - CAP","LIBRARY","NONE","REPLACE WATER LINE LIBRAR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","71835","DRA DISTRIBUTION",
"2021","CEDAR/TERM ASSESSMENTS","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CEDAR/TERM ASSESSMENTS","CAPITAL-ENTERPRISE","BARRICADES/WARN SIGNALS","1834","SANITARY SEWER CONSTRUCTI",
"2021","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO TRANSIT","467246","DRA DISTRIBUTION",
"2021","KERPER BLVD REVITE","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","KERPER BLVD REVITE","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","50000","DRA DISTRIBUTION",
"2021","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","64994.65","SALES TAX INCREMENT",
"2022","TWIN RIDGE LIFT ST ABANDO","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TWIN RIDGE LIFT ST ABANDO","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","123017","SANITARY SEWER CONSTRUCTI",
"2021","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","STORM WATER","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","PERIPHERALS, COMPUTER","950","STORM WATER CONSTRUCTION",
"2021","BRICK PAVER MAINT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","BRICK PAVER MAINT","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","5000","STREET CONSTRUCTION",
"2021","SOUTHWEST ARTERIAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SOUTHWEST ARTERIAL","CAPITAL-GOV FUNDS","CAMERA RELATED EQUIPMENT","382.38","STREET CONSTRUCTION",
"2021","UV DISINFECTION WRRC","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","UV DISINFECTION WRRC","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","SANITARY SEWER CONSTRUCTI",
"2022","NWA TOJ REHAB RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","NWA TOJ REHAB RECONSTRUCT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","9603420","STREET CONSTRUCTION",
"2015","DETENTION BASIN MAINTENAN","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","DETENTION BASIN MAINTENAN","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","2000","STORM WATER CONSTRUCTION",
"2022","18TH ST BLDG IMPROVEMENTS","GEN GOVERNMENT - CAP","ENGINEERING","NONE","18TH ST BLDG IMPROVEMENTS","CAPITAL-GOV FUNDS","SOCIAL SECURITY","31","GENERAL",
"2021","HWY 52 PHASE 4 CENTRAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HWY 52 PHASE 4 CENTRAL","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","726","GENERAL CONSTRUCTION",
"2021","ENTERPRISE FIREWALL SEC","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","ENTERPRISE FIREWALL SEC","CAPITAL-GOV FUNDS","HARDWARE","37955","SALES TAX CONSTRUCTION",
"2021","GRANDVIEW AVE.LIGHT POLES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRANDVIEW AVE.LIGHT POLES","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","23000","STREET CONSTRUCTION",
"2021","SIGNALIZATION PROGRAM","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","SIGNALIZATION PROGRAM","CAPITAL-GOV FUNDS","SOFTWARE LICENSE EXP","480","STREET CONSTRUCTION",
"2021","CREEK CROSSING RESTORE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","CREEK CROSSING RESTORE","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","5000","WATER CONSTRUCTION",
"2021","POD RIVERFRONT DOCK EXP","PUBLIC WORKS-CAPITAL","ENGINEERING","OTHER","POD RIVERFRONT DOCK EXP","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","875000","GENERAL CONSTRUCTION",
"2021","ENDLOADER PURCHASES","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","NONE","ENDLOADER PURCHASES","CAPITAL-GOV FUNDS","HEAVY EQUIP-REPLACEMENT","206350","STREET CONSTRUCTION",
"2021","MECHANICAL/ELECTRICAL SYS","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","MECHANICAL/ELECTRICAL SYS","CAPITAL-GOV FUNDS","PROPERTY MAINTENANCE","26010","SALES TAX CONSTRUCTION",
"2021","INTERNET,MICROS & PRINTER","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-GOV FUNDS","SERVERS","13688","SALES TAX CONSTRUCTION",
"2021","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TRANSFER TO STORMWATER","177978","DRA DISTRIBUTION",
"2021","REPLACE POLICE/CAD SOFTWR","PUBLIC SAFETY-CAPITAL","POLICE DEPARTMENT","NONE","REPLACE POLICE/CAD SOFTWR","CAPITAL-GOV FUNDS","SOFTWARE","28880","DRA GAMING",
