"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"Corporate Citizenship: Is business serious about being socially responsible or is it just window dressing ","29 May 2003 - Melbourne Town Hall ",,"220","George Littlewood MC, Ian Head, Elaine Henry, Gerard Brown , Maria McCarthy ","Corporate Citizenship Research Unit","Business is under pressure to lift its game and show leadership on social, environmental and economic responsibilities. Talk is of codes of conduct, radical change, ethical investments, community engagement, sustainability and Triple Bottom Line reporting, but how 'real' is all of this? Is it just PR spin or is a new business ethic emerging? Do you have a voice?"
"An Indigenous History for Contemporary Melbourne Forum 1 Invasion: Contesting Colonialism","21 May 2003 - BMW Edge Fed Square",,"400","Michael Cathcart (Chair) Joy Murphy Wandin , Tony Birch, Paul Fox - Curator Dr Clare Wright ","History Council of Victoria","Do Melbourne’s 19th century foundation stories still influence our contemporary relationships? How can indigenous encounters with Batman and Buckley lead to an ethics for interaction today? Learn about the Koori inhabitants of the land now occupied by Federation Square"
"Funny Business: Can you laugh all the way to the bank?","8 April 2003 - Melbourne Town Hall",,"400","Red Symons (MC) , Jodie J Hill , Kevin Whyte , Rachel Berger , Dave O’Neil  ","774 ABC Melbourne, Melbourne International Comedy festival","Beneath all the laughter, comedy is a pretty serious business. Some comedians will risk six months rent to put on a show; others have become household names. Gain some insights into how the art and business of comedy are balanced and hear how comedians blend their passion for getting up on stage with the demands of the entertainment business"
"NEW03: taking the pulse of contemporary art in Melbourne","2 April 2003 - BMW Edge Fed Square",,"250","Juliana Engberg, Emily Floyd, , Andrew McQualter , David Rosetzky, Louise Weaver ","Federation Square Management, Australian Centre for Contemporary Art (ACCA","NEW03 is a series of major new commissions offering outstanding emerged Australian artists an opportunity to create new projects at ACCA.  This evening’s discussion will address what prompts us to talk about contemporary art, the ‘pressure points’ in contemporary art and the sense of collegiality/community amongst artists in Melbourne"
"Art of Language - Language of Art: The function of writing in Islamic artistic and cultural traditions","27 March  2003 - Sidney Myer Asia Centre",,"300","MC Peter Clarke, Ass. Professor Abdullah Saeed, Dr Venetia Porter","University of Melbourne’s Ian Potter Museum of Art and the generous support of the Sidney Myer Asia Centre","A conversation about Islamic art and the critical function of script. Developed to celebrate a travelling exhibition at the Ian Potter Museum of Art Melbourne University."
"Ageing in Melbourne: Challenging the Perceptions","17 March 2003 - Melbourne Town Hall",,"250","MC Tonya Roberts, Associate Professor Zeinab Khalil –Sir Rupert Hamer AC KCMG – former Premier of Victoria, Sonja Rutherford , Sue Hendy ","N/A","A dicussion about the cahllenges associated with changing the perceptioins surrounding ageing in our society. Entertainment from St Andrew’s Ladies Pipe Band and Scottish Highland Dancers
"
"Contemporary Visual Arts and Craft – The Future of the Myer Report","13 March 2003 - Melbourne Town Hall",,"280","MC Councillor Kate Redwood, Rupert Myer , Tamara Winikoff , Kevin Murray, Lyndal Jones, Max Delany , Victoria Lynn","N/A","A discussion about the findings and likely outcomes of the Myer Report into the Visual Arts. "
"Water: Restrictions and Radical Solutions","20 February 2003 - Melbourne Town Hall",,"220","Peter Moon , Professor Peter Dillon, Brian Bayley, Rachel Ollivier ","774 ABC Melbourne","Water is tipped to be the ""blue gold"" of the 21st century but who's in control and who's missing out? What is the extent of Australia's water crisis and what's being done about urban water recycling?  On a local level, how do Melburnians need to change their water usage habits? Should current restrictions be permanent? What are the more radical solutions and how can individuals get involved? Listen to the experts and then make your own contributio"
"Sanity Clause - A survival plan for the Festive Season","9 December 2002 - Melbourne Town Hall ",,"230","Jane Clifton  Professor Ian Hickie, Dr Francis Macnab AM, Denise Scott ","774 ABC Melbourne","Office parties, presents, stress, families, overindulgence, happiness for many - depression for some, trashed credit cards ... but not enough sanity! Love it or hate it, whether you’re in the ""party hard"" or ""parent hard"" set, the festive season is upon us. Join our seasoned panel in the final Melbourne Conversation for 2003. Have a laugh, get some survival tips and share your stories"
"No 3 Rituals - The Minister, The Atheist and The Nun, – Conversations that wrestle with the big questions of life ","27 November 2002 - Melbourne Town Hall",,"300","Terry Lane(MC), Cr Dick Gross ,Dr Maryanne Confoy, Rev Tim Costello ","774 ABC Melbourne","Merry Rituals and Happy Christmas, Communion with God, Community Expression or Meaningless Party?Our panel turns their attention to rituals and their purpose in our society. With Hanukkah about to begin, Ramadan drawing to a close and Christmas fast approaching, this time of year is rich with religious and secular rituals and festivities"
"No 2 Meaning  - The Minister, The Atheist and The Nun, – Conversations that wrestle  with the big questions of life","13 November 2002 - Melbourne Town Hall ",,"340","Terry Lane(MC), Cr Dick Gross ,Dr Maryanne Confoy, Rev Tim Costello ","774 ABC Melbourne","Meaning - Does life have a higher purpose or none? What's the meaning of life? Why are we here?  What's life about?  We crave meaning and purpose in our lives, but does religion provide the only answer? Do we need a contemporary ""godless gospel"" - an ethical framework by which to live, cope with despair and enjoy our lives?"
"No 1 Death - Life everlasting or damn well nothing? - The Minister, The Atheist and The Nun, – Conversations that wrestle  with the big questions of life","30 October 2002 - Melbourne Town Hall",,"200","Terry Lane (MC), Rev Tim Costello, Cr Dick Gross, Dr Maryanne Confoy ","774 ABC Melbourne","Death - Life everlasting or damn well nothing?How do non-religious people cope with death? Does faith help or hinder?  Why are rituals so important to us? We crave meaning and purpose in our lives but does religion provide the only answer? Do we need a contemporary ""godless gospel"" - to live, cope with despair and enjoy our lives?"
"No 3 Censorship: The Controversy of Art - The ART of Conversations: A series of talks about the arts.","21 October 2002 - Melbourne Town Hall ",,"200","Associate Professor Louise Adler (MC), Adrian Martin , Kate MacNeill, Dr David Bennett, Terry Lane ","774 ABC Melbourne","The arts are littered with examples of censorship of one kind or another - Chloe, Rabelais, Salo, Piss Christ, Baise Moi, the list goes on. Which production will be the Ballet Frankfurt of this year's Melbourne Festival and whose moral sensibilities will be outraged? Will a new, more conservative world tolerate increased freedom of artistic expression? How do we strike a fair balance?  What's the role of the media? "
"No 2 What is Fringe in 2002? The ART of Conversations: A series of talks about the arts in Melbourne","14 October 2002 - Melbourne Town Hall ",,"175","Mary-Lou Jelbart (MC), Gideon Obarzanek, Palz Vaughan., David Pledger, Ian Pidd","774 ABC Melbourne","On the edge or mainstream? The term ""Fringe"" has been used in international cultural circles for years but what does it mean in 2002? How should the work of independent artists be described and supported? As the Melbourne Fringe Festival celebrates its 20th birthday, this evening’s forum provides an ideal opportunity to reflect on where fringe arts practice has come from, to evaluate what it means now and to consider what the journey into the future may hold. The panel comprises key figures from Melbourne's independent arts scene"
