"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Host a minimum of 2 in-destination events utilizing recognizable entertainment industry talent to draw media and public attention to the area.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"415",,"415_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Solid Waste","1 - Create a Quality Workforce in a Positive, Supportive Organization","Provide training on department-wide policies and procedures","2019-12-31T12:00:00.000","Department","Not Started","2020-06-29T12:00:00.000",,,"Ward, Carlee A",,,,"Provide training on department-wide policies and procedures (Thirsty Thursday/Onboarding/Scheduled Meetings)",,"511","This is a discretionary project to improve processes.","511_Solid Waste_7/6/2020 8:54 AM",
"Solid Waste","3 - Practice Superior Environmental Stewardship","Expand Landfill Capacity Through Ash Reuse","2025-12-31T12:00:00.000","BCC","In Progress","2020-11-20T12:00:00.000","30","The draft Tech Memo 1 for desk top study of similar technology has been submitted.  Staff has reviewed and submitted comments.  Ash lab analysis for engineering properties is nearly complete.  Conceptual design and planning will commence upon receipt of lab results.​","Embree, William","Embree, William",,"Embree, William","​Expand Landfill Capacity Through Ash Reuse​","Solid Waste","552","This is a discretionary project to improve processes.","552_Solid Waste_11/20/2020 10:40 AM","2020-01-27T12:00:00.000"
"Solid Waste","3 - Practice Superior Environmental Stewardship","Expand Landfill Capacity Through Ash Reuse","2025-12-31T12:00:00.000","BCC","In Progress","2020-05-13T12:00:00.000","5","​The Solid Waste Master Plan is complete.  Staff presented to the BCC on 2/6/20, where the BCC provided consensus direction to move forward as recommended.Staff has a continuing engineering contract with HDR.  Staff has drafted a scope of work and requested a proposal from HDR.​","Embree, William",,,,"​Expand Landfill Capacity Through Ash Reuse​","Solid Waste","552","This is a discretionary project to improve processes.","552_Solid Waste_5/13/2020 10:40 AM","2020-01-27T12:00:00.000"
"Solid Waste","1 - Create a Quality Workforce in a Positive, Supportive Organization","Host on-site professional association meetings","2020-12-11T12:00:00.000","Department","In Progress","2020-06-30T12:00:00.000",,"​6/30/20 This was put on hold due to Covid.2/28/20 Asscoication for Solid Waste Professionals list has been created. ​Staff will reach out to the associations to offer SW as a centralized meeting location.","Mills, Robert",,,,"Host professional association meetings on-site (develop list)",,"400","This is a discretionary project to improve processes.","400_Solid Waste_6/30/2020 10:59 AM",
"Solid Waste","3 - Practice Superior Environmental Stewardship","Implement a Universal Recycling Ordinance","2022-12-31T12:00:00.000","Department","Not Started","2020-06-30T12:00:00.000",,,"Sacco, Paul S",,,,"In the  unincorporated areas, there is not currently a County requirement for the  residences and businesses to participate in recycling collection services.  Providing universal recycling services via ordinance requiring residents and  businesses to participate in recycling would increase recycling participation  in the County. The establishment of a Universal Recycling Ordinance (URO) for  the unincorporated areas would require the drafting of the ordinance,",,"547",,"547_Solid Waste_6/30/2020 3:45 PM","2021-01-05T12:00:00.000"
"Solid Waste","3 - Practice Superior Environmental Stewardship","Standardize and Expand Recycling Education Efforts","2021-06-30T12:00:00.000","Department","Not Started","2020-06-30T12:00:00.000",,"​The results from the TMC's recycled materials compositon study will be used to also develop education and outreach around a standardized collection/disposal process.","Sacco, Paul S",,,,"From the  Master Plan, there are certain steps the County can take to move toward more  standardized recycling collection and therefore education and outreach in an  effort to minimize confusion and contamination in recyclables Countywide.",,"548",,"548_Solid Waste_6/30/2020 3:47 PM","2020-10-05T12:00:00.000"
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Implement Lien Settlement Program","2020-05-31T12:00:00.000","BCC","In Progress","2020-03-31T12:00:00.000","80","​The pilot program has been development and implemented. Staff has been processing cases through the settlement process, including use of the Hardship Committee. We have also discussed modificatoins to the program with our Assistant County Administrator. These items will be incorporated in to a draft ordinance and brought to the County Administrator for consideration before being scheduled to go to the BCC.This item has been delayed because of the County's COVID 19 response efforts. This matter is not considered essential, so the scheduling of this item on the BCC calendar has been postponed.","Lyon, Blake G","Rojas, C",,,"The lien      settlement program is how best to address the high volume of liens and      lien amounts that have been allowed to accrue over the years. The goal      is, like that of the foreclosure process, to return these properties back      into contributing assets for the community.","Building and Development Review Services, County Administrator, County Attorney","396","This is a discretionary project.","396_Building and Development Review Services_4/9/2020 11:22 AM",
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Elevate St. Pete Clearwater offering and brand awareness in Latin America through publicity.",,"Department","In Progress",,,,,,,,,,"419",,"419_Convention and Visitors Bureau_12/27/2019 2:02 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Billing Process","2020-11-18T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Policies will be developed by the Maintenance Division in Cityworks.","Bollenbacher, Alan",,,,"Implement written policies and procedures for the internal customer billing processes, including BTS notification and controls to detect invoicing Q errors.",,"450","This is as a result of an IG audit.","450_Utilities_12/24/2019 12:14 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Laboratory Services Cost Analysis","2020-03-31T12:00:00.000","Department","In Progress","2020-01-22T12:00:00.000","67","Reviewed Phase I cost analysis with OMB on August 14, 2019.  Working on Phase II.  Phase II completed by lab; OMB is reviewing 10-14-19.Phases III & IV to commence by 10/31/19.Phase III completed 12/16/19.Phase IV 70% completed.Phase V in progress.","Grimes, Terri L",,,"Grimes, Terri L","Laboratory Services Cost Analysis",,"402","This is a discretionary project.","402_Utilities_1/22/2020 2:06 PM","2019-05-01T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Support a minimum of 3 projects via the Film Business Development Program.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"416",,"416_Convention and Visitors Bureau_12/27/2019 2:02 PM",
"Airport","5 - Deliver First Class Services to the Public and Our Customers","Airport Management Internship","2020-09-30T12:00:00.000","Department","In Progress","2020-01-31T12:00:00.000",,,,,,,,,"404",,"404_Airport_1/31/2020 1:37 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Correct Billing Labor Rates","2020-11-18T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"It has been confirmed that daily pay rates will be pushed from OPUS to Cityworks. Temporary employees will be loaded at contracted rate. This rate does not change until a new contract is established.","Bollenbacher, Alan",,,,"Collaborate with BTS and OMB to verify Maximo programming when rate changes, such as the following, take effect Fiscal year benefit rate adjustments, Employee pay general increases, merit raises, promotion rate, demotion rate, temp employee OT rates",,"451","This is as a result of an IG audit.","451_Utilities_12/24/2019 12:14 PM",
"Public Works","1 - Create a Quality Workforce in a Positive, Supportive Organization","2021 Employee Voice Survey Improvment Plan - Survey & Mapping","2022-09-30T12:00:00.000","Department","In Progress","2021-12-13T12:00:00.000","5","​12/08/2021 Helf first meeting with SaM Management and Supervisory staff to discuss results and identify focus areas.  Met with Dan Mirabile to discuss same.","Scholpp, Susan C","Scholpp, Susan C",,"Scholpp, Susan C","Define focus areas and develop strategies for improvement based on the results of the employee voice survey for the Survey & Mapping Division​","Public Works","469","This is a discretionary project.","469_Public Works_12/13/2021 6:49 AM","2021-12-08T12:00:00.000"
"Airport","4 - Foster Continual Economic Growth and Vitality","Award New Advertising Concessionaire","2020-08-25T12:00:00.000","Department","Not Started","2020-02-12T12:00:00.000","0","Requirements and Scope of Work is due by February 26th to Purchasing.​","Aehle, Yvette M","Jewsbury, Thomas R.",,"Aehle, Yvette M","The Airport's current advertising concessionaire agreement expires in August 2020.  A new advertising concessionaire RFP needs to be put on the street and the new advertising concessionaire is needed to ensure the Airport has the most advertisers offering the latest technology, while paying the Airport the best percentage of the revenues.​","Airport","405","This is a discretionary project.","405_Airport_2/13/2020 1:45 PM","2020-02-26T12:00:00.000"
