"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Schenectady County","106 Erie Blvd","Schenectady","NY","12305","(518) 388-4615","SCHENECTADY","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028060","174409.00",,"POINT (-73.949607 42.811568)"
"Safe Horizon, Inc. (Bronx)","1775 Grand Concourse","Bronx","NY","10453","(929) 265-3600","BRONX","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/19","C027696","225220.00","http://www.safehorizon.org","POINT (-73.909908 40.846248)"
"Safe Center LI, Inc. Nassau","15 Grumman Road West","Bethpage","NY","11714","(516) 465-9313","NASSAU","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028057","198857.00","http://www.tscli.org","POINT (-73.489163 40.743873)"
"Circulo de la Hispanidad, Inc.","26 West Park Avenue","Long Beach","NY","11561","(516) 889-3869","NASSAU","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV18","193950.00","http://www.cdlh.org","POINT (-73.664984 40.588371)"
"Hispanos Unidos de Buffalo Inc.","254 Virginia Street","Buffalo","NY","14201","(716) 856-7110","ERIE","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028796","27000.00","http://hubwny.org/","POINT (-78.881861 42.894897)"
"Center for Safety and Change Inc.","9 Johnsons Lane","New City","NY","10956","(845) 634-3391","ROCKLAND","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029158","94027.00","Home - Center for Safety & Change (http://centerforsafetyandchange.org)","POINT (-73.990706 41.129913)"
"Allegany County of","772 Main Street","Olean","NY","14760","(716) 372-8532","CATTARAUGUS, ALLEGANY","Multidisciplinary/Children's Advocacy Center","VOCA (OVS)","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","5/1/20-9/30/22","C028957","141243.00","http://www.parenteducationprogram.org","POINT (-78.423669 42.096823)"
"Ulster County Department of Social Services","51 Hurley Avenue","Kingston","NY","12401","(845) 334-5155","ULSTER","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/18-1/31/23","C028142","208720.00",,"POINT (-74.027216 41.93654)"
"Safe Harbors of the Finger Lakes, Inc.","PO Box 624","Penn Yan","NY","14527","(315) 536-9654","YATES","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028769","32000.00","http://safeharborsfl.org",
"Crime Victims Treatment Center (formerly St. Luke's Roosevelt Hospital)","40 Exchange Place, Suite 510","New York","NY","10005","(212) 523-4728","NEW YORK CITY","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA13","91752.00","https://www.cvtcnyc.org/","POINT (-74.010179 40.705907)"
"Cornell Cooperative Extension of Tioga","56 Main Street","Owego","NY","13827","(607) 687-4020","TIOGA","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","Family Resource Center, Parent Education and support for families with children aged 0-5 years.","8/1/19-7/31/24","C028522","83505.00","http://tioga.cce.cornell.edu/family","POINT (-76.264034 42.102815)"
"Madison County Sheriff's Department","1068 Northside Shopping Center","Oneida","NY","13421","(315) 363-2816","MADISON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028052","163648.00","http://www.madisoncounty.ny.gov","POINT (-75.659821 43.102881)"
