"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Austin Public Health","https://data.austintexas.gov/d/hs5m-5cg7","Communicable Disease Clinic Patient Visits per Month","dataset","16","2019-04-19T00:00:00.000",,"Health and Community Services","sti,std,tb,tuberculosis,clinic,communicable disease,austin public health,patient,sexually transmitted infection,sexually transmitted disease","seidels","sarah.seidel@austintexas.gov","Public Domain","Austin Public Health",,,"Healthy Austin","N/A","Health","N/A","3"
"Emergency Medical Services","https://data.austintexas.gov/d/xc6y-pn5k","EMS - Distribution of Work","dataset","16","2018-03-27T00:00:00.000","As Needed","Public Safety","annual report,atcems,work distribution,ems","Austin-Travis County EMS","EMSDataAnalysis@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.autstintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
,"https://data.austintexas.gov/d/5w6q-adh8","2017 R2R Subjects","dataset","16","2019-01-08T00:00:00.000",,,"r2r,police,response to resistance","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"10"
,"https://data.austintexas.gov/d/hmfv-ymte","S.D.5.a. Municipal Court","dataset","16","2019-01-18T00:00:00.000",,,,"GAVLAM",,"Public Domain",,,,,,,,"12"
,"https://data.austintexas.gov/d/xqsy-y6eh","randyrd","gis map","16","2018-02-01T00:00:00.000",,"Locations and Maps","jurisdiction,history","chuck@cityplanningtech.com",,"Public Domain","Communications and Technology Management",,,,,,,"9"
"Communication and Technology Management","https://data.austintexas.gov/d/deyq-2cmg","Regulating Plan Subdistricts","gis map","15","2018-01-02T00:00:00.000","Monthly","Locations and Maps","regulating,plan,subdistrict","Kevin",,"Public Domain","City of Austin Planning & Development Review Department",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/tzsy-xaxd","CURE","gis map","15","2017-09-21T00:00:00.000","Monthly","Locations and Maps","combining,overlay,zoning,districts","Kevin",,"Public Domain","Planning and Development Review Department",,,,,,,"7"
"Austin Public Health","https://data.austintexas.gov/d/87b4-3p9b","Austin/Travis County Vaccines for Children & Adult Safety-Net Vaccine Provider Locations","dataset","14","2019-04-24T00:00:00.000",,"Health and Community Services","vaccine,immunizations,shots,clinic,austin public health,provider,vfc,asn,safety net,shots for tots,big shots,vaccines for children","seidels","sarah.seidel@austintexas.gov","Public Domain","Austin Public Health",,,"Healthy Austin","N/A","Health","N/A","3"
"Parks & Recreaction","https://data.austintexas.gov/d/s5re-de63","Off-Leash Areas + Dangerous Dogs Map","gis map","14","2017-09-21T00:00:00.000","As Needed","Locations and Maps",,"Nidhi",,"Public Domain","Austin Parks and Recreation Department","http://www.austintexas.gov/department/leash-areas",,,,,,"7"
"Emergency Medical Services","https://data.austintexas.gov/d/yvzj-snuv","EMS Special Events FY 2017","dataset","13","2018-09-18T00:00:00.000","As Needed","Public Safety","911,ambulance,atcems,austin,emergency medical service,ems,travis county,special events,annual report,fy2017","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","EMS Special Events","http://www.austintexas.gov/page/special-events",,"N/A","N/A","N/A","N/A","1"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/mn8y-drad","Kirwan Opportunity Map GIS Shapefile","gis map","13","2017-09-21T00:00:00.000","As Needed","Locations and Maps","affordable,economic,mobility,kirwan,housing,opportunity","Lauren","jonathan.tomko@austintexas.gov","Public Domain","The Kirwan Institute","http://www.arcgis.com/home/webmap/viewer.html?webmap=5db08646b03547abab85aec0a3592fb7&extent=-99.5238,29.0922,-95.8049,31.4568",,,,,,"5"
,"https://data.austintexas.gov/d/frs5-i55h","Michelle Data Set 2019","dataset","13","2019-01-10T00:00:00.000",,,,"FrankWick",,"Public Domain",,,,,,,,"12"
"Austin Police","https://data.austintexas.gov/d/v6rq-ainw","2015 RP Warnings + Field Observations","dataset","12","2018-07-30T00:00:00.000","As Needed","Public Safety","police,apd,racial profiling,warning,field observation","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
,"https://data.austintexas.gov/d/3xz8-tmbj","Tree Transplants","dataset","12","2019-05-07T00:00:00.000",,"Building and Development",,"Chris Dolph",,,"Christopher Dolph",,,"Green Infrastructure",,,,"10"
,"https://data.austintexas.gov/d/p66y-r7sw","UFG reporting","dataset","12","2019-05-07T00:00:00.000",,,,"Chris Dolph",,,,,,,,,,"13"
"Austin Energy","https://data.austintexas.gov/d/x5bq-vpqg","2017 EIA Residential Rates","dataset","11","2019-01-30T00:00:00.000",,"Utilities and City Services",,"LizJ",,"Public Domain",,,,,,,,"10"
"Watershed Protection","https://data.austintexas.gov/d/bsxc-uwzw","Parker Creek Ranch","gis map","11","2019-03-21T00:00:00.000","Monthly","Locations and Maps","biological resource gis,brg,critical environmental features,cefs,habitat,ecology,development","John Clement",,"Public Domain","City of Austin, Watershed Protection","https://www.austintexas.gov/department/watershed-protection/codes-and-regulations",,,,,,"6"
,"https://data.austintexas.gov/d/purg-fs9u","Test for Debug Purposes","dataset","11","2018-12-13T00:00:00.000",,,,"Austin Transportation",,"Public Domain",,,,,,,,"12"
"Austin Public Health","https://data.austintexas.gov/d/cfer-vyii","Participation & Sales by Month for Fresh 4 Less Farm Stands & Mobile Markets","dataset","10","2019-04-19T00:00:00.000",,"Health and Community Services","farm stand,mobile market,fresh 4 less,fresh food,sales,customers,healthy food","seidels","saraheseidel@gmail.com","Public Domain","Austin Public Health",,,"Healthy Austin","N/A","Health","N/A","3"
"Library","https://data.austintexas.gov/d/ij7x-skdw","Fiscal Year Circulation by Library and Format","dataset","10","2019-02-14T00:00:00.000",,"Recreation and Culture",,"Sarah","sarah.cronin@austintexas.gov","Public Domain",,,,"Workforce Development","Healthy Austin","Cultural and Learning Opportunities","Health","5"
"Communication and Technology Management","https://data.austintexas.gov/d/e9z2-9juq","ZAYO-CESAR CHAVEZ AND LAVACA","gis map","9","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","lveldanez",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/xrpe-eu9d","old bastrop road a","gis map","9","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","xyz",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/f8aw-x2az","NHCD Yearly Blueprint Goals","dataset","9","2019-04-15T00:00:00.000",,"Housing and Real Estate",,"Josh Rudow","NHCD@austintexas.gov",,,,,"Household Affordability",,"Economic Opportunity and Affordability",,"8"
,"https://data.austintexas.gov/d/98w2-cnmg","S.D.2.a.","dataset","9","2019-01-18T00:00:00.000",,,"municipal,court","GAVLAM",,"Public Domain",,,,,,,,"11"
,"https://data.austintexas.gov/d/krh9-4j67","S.D.6 Municipal Court","dataset","9","2019-01-18T00:00:00.000",,,,"GAVLAM",,"Public Domain",,,,,,,,"12"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/7suk-2nb6","View 1","gis map","8","2017-09-21T00:00:00.000","As Needed","Locations and Maps","affordable,economic,mobility,kirwan,housing","EM",,"Public Domain","The Kirwan Institute","http://www.arcgis.com/home/webmap/viewer.html?webmap=5db08646b03547abab85aec0a3592fb7&extent=-99.5238,29.0922,-95.8049,31.4568",,,,,,"6"
,"https://data.austintexas.gov/d/rn8n-zuca","EMS Continuing Education Hours FY 2017","dataset","8","2018-10-17T00:00:00.000",,"Public Safety","911,ambulance,ems,atcems,austin,travis county,emergency medical service,continuing education,fy2017","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Continuing Education","http://www.austintexas.gov/page/professional-practices-and-standards-division",,"N/A","N/A","N/A","N/A","3"
,"https://data.austintexas.gov/d/uzjy-58gd","EMS Total Charges by Payor FY2017","dataset","8","2018-10-16T00:00:00.000",,"Budget and Finance","911,ambulance,atcems,austin,emergency medical services,ems,travis county,billing","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Billing Services","http://www.austintexas.gov/department/billing-info",,"N/A","N/A","N/A","N/A","3"
"Communication and Technology Management","https://data.austintexas.gov/d/fkcg-ahhy","12","gis map","7","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","ajherskowitz",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/dfwh-qqjv","Test","gis map","7","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","Ron Thrower",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Emergency Medical Services","https://data.austintexas.gov/d/6zw3-h65i","EMS-Recruiting FY 2017","dataset","7","2018-08-31T00:00:00.000","As Needed","Public Safety","ems,atcems,recruiting,annual report 2017,911,ambulance,austin,emergency medical service,travis county","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain",,,,,,,,"7"
,"https://data.austintexas.gov/d/v734-u45j","randyrd2","gis map","7","2018-02-01T00:00:00.000",,"Locations and Maps","land base,basepoly,lots,planning cadastre","chuck@cityplanningtech.com",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"9"
,"https://data.austintexas.gov/d/qzcu-7h7k","Test site","gis map","6","2018-02-01T00:00:00.000",,"Locations and Maps","land base,basepoly,lots,planning cadastre","Jeffrey W. Ouellette",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"9"
"Communication and Technology Management","https://data.austintexas.gov/d/4yu7-zi28","11th and 35","gis map","5","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","Steven McGann - GDA",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/fdjw-ctra","A554","gis map","5","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","rlamarre",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/46zz-4nbs","sdfsd","gis map","5","2017-09-21T00:00:00.000","Monthly","Locations and Maps","watershed,floodplain","UDIT",,"Public Domain","City of Austin Watershed Protection Department Watershed Engineering Division",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/3s2e-cgws","823 Congress","gis map","5","2018-02-01T00:00:00.000","Monthly","Locations and Maps","zoning,planning cadastre,land use","LDH",,"Public Domain","Planning and Zoning",,,,,,,"7"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/errf-hs8p","Salvation Army Booth Village Apts","gis map","5","2017-09-21T00:00:00.000","As Needed","Locations and Maps","affordable,economic,mobility,kirwan,housing","David",,"Public Domain","The Kirwan Institute","http://www.arcgis.com/home/webmap/viewer.html?webmap=5db08646b03547abab85aec0a3592fb7&extent=-99.5238,29.0922,-95.8049,31.4568",,,,,,"6"
"Austin Energy","https://data.austintexas.gov/d/284v-tua6","2017 EIA Commercial & Industrial Rates","dataset","4","2019-01-30T00:00:00.000",,"Utilities and City Services",,"LizJ",,"Public Domain",,,,,,,,"10"
"Communication and Technology Management","https://data.austintexas.gov/d/usqy-k9r7","51ST STREET","gis map","4","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","Daniel McReynolds",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Parks & Recreaction","https://data.austintexas.gov/d/uwrr-qyfj","marktest","gis map","4","2017-09-21T00:00:00.000","As Needed","Locations and Maps","dog,dogs,pet,off-leash,areas,area","Mark Hoover",,"Public Domain","Austin Parks and Recreation Department","http://www.austintexas.gov/department/leash-areas",,,,,,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/akve-rtg4","aaa","gis map","3","2017-09-21T00:00:00.000","Monthly","Locations and Maps","watershed,floodplain","UDIT",,"Public Domain","City of Austin Watershed Protection Department Watershed Engineering Division",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/dspa-rvf7","CREK","gis map","3","2017-09-21T00:00:00.000","Monthly","Locations and Maps","watershed,floodplain","UDIT",,"Public Domain","City of Austin Watershed Protection Department Watershed Engineering Division",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/37fc-envc","aeria","gis map","3","2018-02-01T00:00:00.000","As Needed","Locations and Maps","land base,basepoly,lots,planning cadastre","Robbie Zamora",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/fkqz-8c9m","Libraries with council district","gis map","3","2019-04-16T00:00:00.000","Weekly","Locations and Maps","single member districts,council districts,10-1,10-one,agoltosocrata","Sarah",,"Public Domain","Office of the City Clerk",,,"Complete Communities (Imagine Austin Vision)","Healthy Austin","Government that Works for All of Us","Cultural and Learning Opportunities","3"
"Watershed Protection","https://data.austintexas.gov/d/ejss-bzk4","800 congress","gis map","3","2019-03-13T00:00:00.000","As Needed","Locations and Maps",,"Johanna",,"Public Domain","Watershed Protection Department, Stream Restoration Program",,,,,,,"8"
